videoID,day,likes
V_sR94Yuf68,2021-09-16,3806
V_sR94Yuf68,2021-09-17,3851
V_sR94Yuf68,2021-09-18,2229
V_sR94Yuf68,2021-09-19,2764
V_sR94Yuf68,2021-09-20,1665
V_sR94Yuf68,2021-09-21,1059
V_sR94Yuf68,2021-09-22,788
V_sR94Yuf68,2021-09-23,784
V_sR94Yuf68,2021-09-24,746
V_sR94Yuf68,2021-09-25,499
V_sR94Yuf68,2021-09-26,325
V_sR94Yuf68,2021-09-27,202
V_sR94Yuf68,2021-09-28,228
V_sR94Yuf68,2021-09-29,172
V_sR94Yuf68,2021-09-30,168
V_sR94Yuf68,2021-10-01,152
V_sR94Yuf68,2021-10-02,136
V_sR94Yuf68,2021-10-03,147
V_sR94Yuf68,2021-10-04,130
V_sR94Yuf68,2021-10-05,102
V_sR94Yuf68,2021-10-06,88
V_sR94Yuf68,2021-10-07,58
V_sR94Yuf68,2021-10-08,38
V_sR94Yuf68,2021-10-09,43
V_sR94Yuf68,2021-10-10,53
V_sR94Yuf68,2021-10-11,62
V_sR94Yuf68,2021-10-12,74
V_sR94Yuf68,2021-10-13,56
V_sR94Yuf68,2021-10-14,53
V_sR94Yuf68,2021-10-15,50
V_sR94Yuf68,2021-10-16,64
V_sR94Yuf68,2021-10-17,50
V_sR94Yuf68,2021-10-18,59
V_sR94Yuf68,2021-10-19,58
V_sR94Yuf68,2021-10-20,63
V_sR94Yuf68,2021-10-21,77
V_sR94Yuf68,2021-10-22,79
V_sR94Yuf68,2021-10-23,93
V_sR94Yuf68,2021-10-24,126
V_sR94Yuf68,2021-10-25,124
V_sR94Yuf68,2021-10-26,115
V_sR94Yuf68,2021-10-27,106
V_sR94Yuf68,2021-10-28,69
V_sR94Yuf68,2021-10-29,94
V_sR94Yuf68,2021-10-30,71
V_sR94Yuf68,2021-10-31,43
V_sR94Yuf68,2021-11-01,57
V_sR94Yuf68,2021-11-02,43
V_sR94Yuf68,2021-11-03,30
V_sR94Yuf68,2021-11-04,40
V_sR94Yuf68,2021-11-05,25
V_sR94Yuf68,2021-11-06,28
V_sR94Yuf68,2021-11-07,42
V_sR94Yuf68,2021-11-08,51
V_sR94Yuf68,2021-11-09,65
V_sR94Yuf68,2021-11-10,94
V_sR94Yuf68,2021-11-11,95
V_sR94Yuf68,2021-11-12,83
V_sR94Yuf68,2021-11-13,96
V_sR94Yuf68,2021-11-14,138
V_sR94Yuf68,2021-11-15,100
V_sR94Yuf68,2021-11-16,99
V_sR94Yuf68,2021-11-17,93
V_sR94Yuf68,2021-11-18,89
V_sR94Yuf68,2021-11-19,76
V_sR94Yuf68,2021-11-20,84
V_sR94Yuf68,2021-11-21,93
V_sR94Yuf68,2021-11-22,53
V_sR94Yuf68,2021-11-23,61
V_sR94Yuf68,2021-11-24,44
V_sR94Yuf68,2021-11-25,58
V_sR94Yuf68,2021-11-26,50
V_sR94Yuf68,2021-11-27,44
V_sR94Yuf68,2021-11-28,35
V_sR94Yuf68,2021-11-29,34
V_sR94Yuf68,2021-11-30,41
V_sR94Yuf68,2021-12-01,47
V_sR94Yuf68,2021-12-02,54
V_sR94Yuf68,2021-12-03,117
V_sR94Yuf68,2021-12-04,114
V_sR94Yuf68,2021-12-05,104
V_sR94Yuf68,2021-12-06,54
V_sR94Yuf68,2021-12-07,61
V_sR94Yuf68,2021-12-08,49
V_sR94Yuf68,2021-12-09,44
V_sR94Yuf68,2021-12-10,36
V_sR94Yuf68,2021-12-11,45
V_sR94Yuf68,2021-12-12,41
V_sR94Yuf68,2021-12-13,17
V_sR94Yuf68,2021-12-14,39
V_sR94Yuf68,2021-12-15,43
V_sR94Yuf68,2021-12-16,22
V_sR94Yuf68,2021-12-17,25
V_sR94Yuf68,2021-12-18,27
V_sR94Yuf68,2021-12-19,18
V_sR94Yuf68,2021-12-20,19
V_sR94Yuf68,2021-12-21,22
V_sR94Yuf68,2021-12-22,31
V_sR94Yuf68,2021-12-23,27
V_sR94Yuf68,2021-12-24,36
V_sR94Yuf68,2021-12-25,31
V_sR94Yuf68,2021-12-26,43
V_sR94Yuf68,2021-12-27,37
V_sR94Yuf68,2021-12-28,40
V_sR94Yuf68,2021-12-29,66
V_sR94Yuf68,2021-12-30,68
V_sR94Yuf68,2021-12-31,48
V_sR94Yuf68,2022-01-01,38
V_sR94Yuf68,2022-01-02,47
V_sR94Yuf68,2022-01-03,37
V_sR94Yuf68,2022-01-04,28
V_sR94Yuf68,2022-01-05,27
V_sR94Yuf68,2022-01-06,39
V_sR94Yuf68,2022-01-07,45
V_sR94Yuf68,2022-01-08,47
V_sR94Yuf68,2022-01-09,53
