videoID,day,likes
W3OXnUnxUsM,2021-03-30,2074
W3OXnUnxUsM,2021-03-31,1399
W3OXnUnxUsM,2021-04-01,1551
W3OXnUnxUsM,2021-04-02,1821
W3OXnUnxUsM,2021-04-03,1510
W3OXnUnxUsM,2021-04-04,1719
W3OXnUnxUsM,2021-04-05,1891
W3OXnUnxUsM,2021-04-06,1370
W3OXnUnxUsM,2021-04-07,1243
W3OXnUnxUsM,2021-04-08,1073
W3OXnUnxUsM,2021-04-09,814
W3OXnUnxUsM,2021-04-10,710
W3OXnUnxUsM,2021-04-11,672
W3OXnUnxUsM,2021-04-12,514
W3OXnUnxUsM,2021-04-13,387
W3OXnUnxUsM,2021-04-14,285
W3OXnUnxUsM,2021-04-15,266
W3OXnUnxUsM,2021-04-16,292
W3OXnUnxUsM,2021-04-17,307
W3OXnUnxUsM,2021-04-18,300
W3OXnUnxUsM,2021-04-19,250
W3OXnUnxUsM,2021-04-20,241
W3OXnUnxUsM,2021-04-21,268
W3OXnUnxUsM,2021-04-22,211
W3OXnUnxUsM,2021-04-23,197
W3OXnUnxUsM,2021-04-24,141
W3OXnUnxUsM,2021-04-25,202
W3OXnUnxUsM,2021-04-26,150
W3OXnUnxUsM,2021-04-27,151
W3OXnUnxUsM,2021-04-28,136
W3OXnUnxUsM,2021-04-29,131
W3OXnUnxUsM,2021-04-30,131
W3OXnUnxUsM,2021-05-01,172
W3OXnUnxUsM,2021-05-02,175
W3OXnUnxUsM,2021-05-03,131
W3OXnUnxUsM,2021-05-04,127
W3OXnUnxUsM,2021-05-05,106
W3OXnUnxUsM,2021-05-06,94
W3OXnUnxUsM,2021-05-07,95
W3OXnUnxUsM,2021-05-08,102
W3OXnUnxUsM,2021-05-09,104
W3OXnUnxUsM,2021-05-10,88
W3OXnUnxUsM,2021-05-11,79
W3OXnUnxUsM,2021-05-12,99
W3OXnUnxUsM,2021-05-13,110
W3OXnUnxUsM,2021-05-14,106
W3OXnUnxUsM,2021-05-15,133
W3OXnUnxUsM,2021-05-16,138
W3OXnUnxUsM,2021-05-17,144
W3OXnUnxUsM,2021-05-18,172
W3OXnUnxUsM,2021-05-19,180
W3OXnUnxUsM,2021-05-20,172
W3OXnUnxUsM,2021-05-21,153
W3OXnUnxUsM,2021-05-22,177
W3OXnUnxUsM,2021-05-23,203
W3OXnUnxUsM,2021-05-24,281
W3OXnUnxUsM,2021-05-25,198
W3OXnUnxUsM,2021-05-26,200
W3OXnUnxUsM,2021-05-27,159
W3OXnUnxUsM,2021-05-28,149
W3OXnUnxUsM,2021-05-29,135
W3OXnUnxUsM,2021-05-30,141
W3OXnUnxUsM,2021-05-31,136
W3OXnUnxUsM,2021-06-01,103
W3OXnUnxUsM,2021-06-02,109
W3OXnUnxUsM,2021-06-03,110
W3OXnUnxUsM,2021-06-04,112
W3OXnUnxUsM,2021-06-05,106
W3OXnUnxUsM,2021-06-06,119
