day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2019-01-01,109,9,0,2,0,1,0,0,1033,78,568,61.480000000000004,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-01-02,98,12,0,0,0,1,0,0,912,119,558,60.38,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-01-03,104,3,0,5,0,2,0,0,970,46,559,60.53000000000001,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-01-04,99,8,1,2,0,1,0,0,1032,85,625,67.62,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-01-05,99,5,0,2,0,2,0,0,968,55,587,63.49,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2019-01-06,111,5,0,2,0,3,1,0,1054,61,569,61.62,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-01-07,103,4,0,4,0,3,3,0,954,45,556,60.12,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-01-08,79,5,0,0,0,4,3,0,652,46,495,53.57999999999999,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2019-01-09,78,4,0,0,0,1,0,0,675,49,519,56.14,0,0,0,0,0,0,0,1.0,0.0,1,0,1,1,0,0
2019-01-10,90,7,0,2,0,2,1,0,857,45,571,61.809999999999995,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2019-01-11,94,7,0,3,0,4,0,0,1021,81,652,70.5,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-01-12,110,12,0,1,0,4,0,0,1117,125,609,65.9,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-01-13,111,5,0,2,0,0,1,3,1006,59,543,58.81000000000001,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-01-14,107,12,0,4,0,2,1,1,1097,85,615,66.53,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2019-01-15,104,12,0,2,0,2,3,1,1073,139,619,66.97,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-01-16,99,8,1,4,0,1,0,0,907,42,550,59.47,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-01-17,103,9,0,2,0,0,0,1,1007,114,586,63.44,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-01-18,88,7,0,2,0,4,0,0,888,105,605,65.46,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2019-01-19,126,7,0,4,0,1,0,1,1309,80,623,67.4,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-01-20,135,12,0,4,0,3,0,0,1409,131,626,67.73,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-01-21,155,11,0,4,0,3,3,1,1374,128,531,57.50999999999999,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
