videoID,day,likes
XRlY6i42S9M,2020-11-16,2240
XRlY6i42S9M,2020-11-17,873
XRlY6i42S9M,2020-11-18,654
XRlY6i42S9M,2020-11-19,329
XRlY6i42S9M,2020-11-20,239
XRlY6i42S9M,2020-11-21,201
XRlY6i42S9M,2020-11-22,174
XRlY6i42S9M,2020-11-23,82
XRlY6i42S9M,2020-11-24,79
XRlY6i42S9M,2020-11-25,32
XRlY6i42S9M,2020-11-26,79
XRlY6i42S9M,2020-11-27,60
XRlY6i42S9M,2020-11-28,48
XRlY6i42S9M,2020-11-29,30
XRlY6i42S9M,2020-11-30,36
XRlY6i42S9M,2020-12-01,27
XRlY6i42S9M,2020-12-02,37
XRlY6i42S9M,2020-12-03,33
XRlY6i42S9M,2020-12-04,34
XRlY6i42S9M,2020-12-05,22
XRlY6i42S9M,2020-12-06,17
XRlY6i42S9M,2020-12-07,17
XRlY6i42S9M,2020-12-08,14
XRlY6i42S9M,2020-12-09,22
XRlY6i42S9M,2020-12-10,14
XRlY6i42S9M,2020-12-11,14
XRlY6i42S9M,2020-12-12,25
XRlY6i42S9M,2020-12-13,15
XRlY6i42S9M,2020-12-14,15
XRlY6i42S9M,2020-12-15,11
XRlY6i42S9M,2020-12-16,16
XRlY6i42S9M,2020-12-17,12
XRlY6i42S9M,2020-12-18,9
XRlY6i42S9M,2020-12-19,18
XRlY6i42S9M,2020-12-20,17
XRlY6i42S9M,2020-12-21,17
XRlY6i42S9M,2020-12-22,19
XRlY6i42S9M,2020-12-23,15
XRlY6i42S9M,2020-12-24,10
XRlY6i42S9M,2020-12-25,12
XRlY6i42S9M,2020-12-26,10
XRlY6i42S9M,2020-12-27,22
XRlY6i42S9M,2020-12-28,21
XRlY6i42S9M,2020-12-29,27
XRlY6i42S9M,2020-12-30,18
XRlY6i42S9M,2020-12-31,12
XRlY6i42S9M,2021-01-01,8
XRlY6i42S9M,2021-01-02,10
XRlY6i42S9M,2021-01-03,12
XRlY6i42S9M,2021-01-04,8
XRlY6i42S9M,2021-01-05,12
XRlY6i42S9M,2021-01-06,24
XRlY6i42S9M,2021-01-07,17
XRlY6i42S9M,2021-01-08,22
XRlY6i42S9M,2021-01-09,22
XRlY6i42S9M,2021-01-10,35
XRlY6i42S9M,2021-01-11,22
XRlY6i42S9M,2021-01-12,30
XRlY6i42S9M,2021-01-13,25
XRlY6i42S9M,2021-01-14,30
XRlY6i42S9M,2021-01-15,28
XRlY6i42S9M,2021-01-16,44
XRlY6i42S9M,2021-01-17,29
XRlY6i42S9M,2021-01-18,27
XRlY6i42S9M,2021-01-19,49
XRlY6i42S9M,2021-01-20,84
XRlY6i42S9M,2021-01-21,94
XRlY6i42S9M,2021-01-22,76
XRlY6i42S9M,2021-01-23,133
XRlY6i42S9M,2021-01-24,179
XRlY6i42S9M,2021-01-25,168
XRlY6i42S9M,2021-01-26,243
XRlY6i42S9M,2021-01-27,255
XRlY6i42S9M,2021-01-28,248
XRlY6i42S9M,2021-01-29,248
XRlY6i42S9M,2021-01-30,264
XRlY6i42S9M,2021-01-31,237
XRlY6i42S9M,2021-02-01,183
XRlY6i42S9M,2021-02-02,143
XRlY6i42S9M,2021-02-03,201
XRlY6i42S9M,2021-02-04,270
XRlY6i42S9M,2021-02-05,205
XRlY6i42S9M,2021-02-06,184
XRlY6i42S9M,2021-02-07,136
XRlY6i42S9M,2021-02-08,92
XRlY6i42S9M,2021-02-09,73
XRlY6i42S9M,2021-02-10,84
XRlY6i42S9M,2021-02-11,46
XRlY6i42S9M,2021-02-12,35
XRlY6i42S9M,2021-02-13,38
XRlY6i42S9M,2021-02-14,29
XRlY6i42S9M,2021-02-15,34
XRlY6i42S9M,2021-02-16,26
XRlY6i42S9M,2021-02-17,51
XRlY6i42S9M,2021-02-18,40
XRlY6i42S9M,2021-02-19,41
XRlY6i42S9M,2021-02-20,33
XRlY6i42S9M,2021-02-21,24
XRlY6i42S9M,2021-02-22,19
XRlY6i42S9M,2021-02-23,32
XRlY6i42S9M,2021-02-24,19
XRlY6i42S9M,2021-02-25,20
XRlY6i42S9M,2021-02-26,11
XRlY6i42S9M,2021-02-27,12
XRlY6i42S9M,2021-02-28,14
XRlY6i42S9M,2021-03-01,23
XRlY6i42S9M,2021-03-02,27
XRlY6i42S9M,2021-03-03,24
XRlY6i42S9M,2021-03-04,20
XRlY6i42S9M,2021-03-05,25
XRlY6i42S9M,2021-03-06,16
XRlY6i42S9M,2021-03-07,16
XRlY6i42S9M,2021-03-08,24
XRlY6i42S9M,2021-03-09,28
XRlY6i42S9M,2021-03-10,17
XRlY6i42S9M,2021-03-11,19
XRlY6i42S9M,2021-03-12,17
XRlY6i42S9M,2021-03-13,15
XRlY6i42S9M,2021-03-14,15
XRlY6i42S9M,2021-03-15,11
XRlY6i42S9M,2021-03-16,24
XRlY6i42S9M,2021-03-17,12
XRlY6i42S9M,2021-03-18,13
XRlY6i42S9M,2021-03-19,18
XRlY6i42S9M,2021-03-20,18
XRlY6i42S9M,2021-03-21,10
XRlY6i42S9M,2021-03-22,20
XRlY6i42S9M,2021-03-23,15
XRlY6i42S9M,2021-03-24,26
XRlY6i42S9M,2021-03-25,30
XRlY6i42S9M,2021-03-26,43
XRlY6i42S9M,2021-03-27,40
XRlY6i42S9M,2021-03-28,42
XRlY6i42S9M,2021-03-29,41
XRlY6i42S9M,2021-03-30,29
XRlY6i42S9M,2021-03-31,18
XRlY6i42S9M,2021-04-01,32
XRlY6i42S9M,2021-04-02,9
XRlY6i42S9M,2021-04-03,19
XRlY6i42S9M,2021-04-04,17
XRlY6i42S9M,2021-04-05,15
XRlY6i42S9M,2021-04-06,14
XRlY6i42S9M,2021-04-07,17
XRlY6i42S9M,2021-04-08,29
XRlY6i42S9M,2021-04-09,25
XRlY6i42S9M,2021-04-10,23
XRlY6i42S9M,2021-04-11,22
XRlY6i42S9M,2021-04-12,27
XRlY6i42S9M,2021-04-13,16
XRlY6i42S9M,2021-04-14,20
XRlY6i42S9M,2021-04-15,31
XRlY6i42S9M,2021-04-16,41
XRlY6i42S9M,2021-04-17,53
XRlY6i42S9M,2021-04-18,47
XRlY6i42S9M,2021-04-19,32
XRlY6i42S9M,2021-04-20,89
XRlY6i42S9M,2021-04-21,71
XRlY6i42S9M,2021-04-22,88
XRlY6i42S9M,2021-04-23,107
XRlY6i42S9M,2021-04-24,145
XRlY6i42S9M,2021-04-25,97
XRlY6i42S9M,2021-04-26,111
XRlY6i42S9M,2021-04-27,108
XRlY6i42S9M,2021-04-28,104
XRlY6i42S9M,2021-04-29,92
XRlY6i42S9M,2021-04-30,57
XRlY6i42S9M,2021-05-01,79
XRlY6i42S9M,2021-05-02,66
XRlY6i42S9M,2021-05-03,70
XRlY6i42S9M,2021-05-04,49
XRlY6i42S9M,2021-05-05,70
XRlY6i42S9M,2021-05-06,60
XRlY6i42S9M,2021-05-07,59
XRlY6i42S9M,2021-05-08,83
XRlY6i42S9M,2021-05-09,76
XRlY6i42S9M,2021-05-10,89
XRlY6i42S9M,2021-05-11,82
XRlY6i42S9M,2021-05-12,96
XRlY6i42S9M,2021-05-13,85
XRlY6i42S9M,2021-05-14,64
XRlY6i42S9M,2021-05-15,85
XRlY6i42S9M,2021-05-16,70
XRlY6i42S9M,2021-05-17,61
XRlY6i42S9M,2021-05-18,63
XRlY6i42S9M,2021-05-19,49
XRlY6i42S9M,2021-05-20,48
XRlY6i42S9M,2021-05-21,46
XRlY6i42S9M,2021-05-22,48
XRlY6i42S9M,2021-05-23,65
XRlY6i42S9M,2021-05-24,65
XRlY6i42S9M,2021-05-25,55
XRlY6i42S9M,2021-05-26,72
