day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2021-11-05,46522,7714,124,2768,33,3922,267,185,776031,145995,1000,36.51,0,0,0,0,0,0,0,0,0,0,0,0,0,87,12
2021-11-06,42614,7017,64,1851,22,2126,418,123,694192,131413,977,35.66,0,0,0,0,0,0,0,0,0,0,0,0,0,107,8
2021-11-07,92169,15111,111,3204,57,4060,429,199,1474717,262954,960,35.02,0,0,0,0,0,0,0,0,0,0,0,0,0,384,24
2021-11-08,124658,17924,103,3520,94,4955,565,240,1812953,293591,872,31.840000000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,608,24
2021-11-09,116690,16608,93,2763,96,4018,721,217,1719039,270202,883,32.25,0,0,0,0,0,0,0,0,0,0,0,0,0,605,20
2021-11-10,86320,11496,87,1748,46,2529,405,167,1301455,198649,904,33.0,0,0,0,0,0,0,0,0,0,0,0,0,0,384,11
2021-11-11,98845,12689,65,1979,74,2975,528,162,1361935,196965,826,30.159999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,530,19
2021-11-12,92318,11236,77,1762,71,2833,434,183,1252922,175440,814,29.710000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,439,11
2021-11-13,89524,10700,62,1550,64,2426,425,153,1208906,165863,810,29.56,0,0,0,0,0,0,0,0,0,0,0,0,0,412,14
2021-11-14,84909,10278,51,1644,57,2453,423,138,1129928,159413,798,29.13,0,0,0,0,0,0,0,0,0,0,0,0,0,442,23
2021-11-15,59524,7071,31,1008,54,1740,359,133,787771,109329,794,28.970000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,289,11
2021-11-16,41258,4961,28,671,29,1155,309,93,556229,77346,808,29.51,0,0,0,0,0,0,0,0,0,0,0,0,0,209,10
2021-11-17,38544,4868,21,538,28,904,237,63,527073,77995,820,29.93,0,0,0,0,0,0,0,0,0,0,0,0,0,166,8
2021-11-18,33881,3886,17,495,28,789,263,59,440315,60282,779,28.449999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,155,5
