videoID,day,likes
Xo6w5QVrABc,2021-11-05,2768
Xo6w5QVrABc,2021-11-06,1851
Xo6w5QVrABc,2021-11-07,3204
Xo6w5QVrABc,2021-11-08,3520
Xo6w5QVrABc,2021-11-09,2763
Xo6w5QVrABc,2021-11-10,1748
Xo6w5QVrABc,2021-11-11,1979
Xo6w5QVrABc,2021-11-12,1762
Xo6w5QVrABc,2021-11-13,1550
Xo6w5QVrABc,2021-11-14,1644
Xo6w5QVrABc,2021-11-15,1008
Xo6w5QVrABc,2021-11-16,671
Xo6w5QVrABc,2021-11-17,538
Xo6w5QVrABc,2021-11-18,495
Xo6w5QVrABc,2021-11-19,354
Xo6w5QVrABc,2021-11-20,213
Xo6w5QVrABc,2021-11-21,213
Xo6w5QVrABc,2021-11-22,166
Xo6w5QVrABc,2021-11-23,117
Xo6w5QVrABc,2021-11-24,120
Xo6w5QVrABc,2021-11-25,110
Xo6w5QVrABc,2021-11-26,83
Xo6w5QVrABc,2021-11-27,95
Xo6w5QVrABc,2021-11-28,86
Xo6w5QVrABc,2021-11-29,108
Xo6w5QVrABc,2021-11-30,93
Xo6w5QVrABc,2021-12-01,91
Xo6w5QVrABc,2021-12-02,93
Xo6w5QVrABc,2021-12-03,130
Xo6w5QVrABc,2021-12-04,215
Xo6w5QVrABc,2021-12-05,207
Xo6w5QVrABc,2021-12-06,105
Xo6w5QVrABc,2021-12-07,131
Xo6w5QVrABc,2021-12-08,95
Xo6w5QVrABc,2021-12-09,95
Xo6w5QVrABc,2021-12-10,58
Xo6w5QVrABc,2021-12-11,57
Xo6w5QVrABc,2021-12-12,66
Xo6w5QVrABc,2021-12-13,71
Xo6w5QVrABc,2021-12-14,55
Xo6w5QVrABc,2021-12-15,67
Xo6w5QVrABc,2021-12-16,60
Xo6w5QVrABc,2021-12-17,41
Xo6w5QVrABc,2021-12-18,53
Xo6w5QVrABc,2021-12-19,52
Xo6w5QVrABc,2021-12-20,59
Xo6w5QVrABc,2021-12-21,79
Xo6w5QVrABc,2021-12-22,76
Xo6w5QVrABc,2021-12-23,58
Xo6w5QVrABc,2021-12-24,66
Xo6w5QVrABc,2021-12-25,43
Xo6w5QVrABc,2021-12-26,64
Xo6w5QVrABc,2021-12-27,70
Xo6w5QVrABc,2021-12-28,97
Xo6w5QVrABc,2021-12-29,85
Xo6w5QVrABc,2021-12-30,83
Xo6w5QVrABc,2021-12-31,89
Xo6w5QVrABc,2022-01-01,110
Xo6w5QVrABc,2022-01-02,149
Xo6w5QVrABc,2022-01-03,124
Xo6w5QVrABc,2022-01-04,142
Xo6w5QVrABc,2022-01-05,133
Xo6w5QVrABc,2022-01-06,148
Xo6w5QVrABc,2022-01-07,128
Xo6w5QVrABc,2022-01-08,112
Xo6w5QVrABc,2022-01-09,104
Xo6w5QVrABc,2022-01-10,124
Xo6w5QVrABc,2022-01-11,102
Xo6w5QVrABc,2022-01-12,129
Xo6w5QVrABc,2022-01-13,117
Xo6w5QVrABc,2022-01-14,112
Xo6w5QVrABc,2022-01-15,119
Xo6w5QVrABc,2022-01-16,125
Xo6w5QVrABc,2022-01-17,80
Xo6w5QVrABc,2022-01-18,79
Xo6w5QVrABc,2022-01-19,65
Xo6w5QVrABc,2022-01-20,57
Xo6w5QVrABc,2022-01-21,47
Xo6w5QVrABc,2022-01-22,79
Xo6w5QVrABc,2022-01-23,73
Xo6w5QVrABc,2022-01-24,60
Xo6w5QVrABc,2022-01-25,82
Xo6w5QVrABc,2022-01-26,72
Xo6w5QVrABc,2022-01-27,81
Xo6w5QVrABc,2022-01-28,64
Xo6w5QVrABc,2022-01-29,46
Xo6w5QVrABc,2022-01-30,63
Xo6w5QVrABc,2022-01-31,42
Xo6w5QVrABc,2022-02-01,48
Xo6w5QVrABc,2022-02-02,39
Xo6w5QVrABc,2022-02-03,40
Xo6w5QVrABc,2022-02-04,72
Xo6w5QVrABc,2022-02-05,78
Xo6w5QVrABc,2022-02-06,71
Xo6w5QVrABc,2022-02-07,62
Xo6w5QVrABc,2022-02-08,52
Xo6w5QVrABc,2022-02-09,49
Xo6w5QVrABc,2022-02-10,52
Xo6w5QVrABc,2022-02-11,89
Xo6w5QVrABc,2022-02-12,103
Xo6w5QVrABc,2022-02-13,78
Xo6w5QVrABc,2022-02-14,86
Xo6w5QVrABc,2022-02-15,82
Xo6w5QVrABc,2022-02-16,66
Xo6w5QVrABc,2022-02-17,82
Xo6w5QVrABc,2022-02-18,74
Xo6w5QVrABc,2022-02-19,94
Xo6w5QVrABc,2022-02-20,85
Xo6w5QVrABc,2022-02-21,81
Xo6w5QVrABc,2022-02-22,58
Xo6w5QVrABc,2022-02-23,48
Xo6w5QVrABc,2022-02-24,39
Xo6w5QVrABc,2022-02-25,42
Xo6w5QVrABc,2022-02-26,40
Xo6w5QVrABc,2022-02-27,37
Xo6w5QVrABc,2022-02-28,40
Xo6w5QVrABc,2022-03-01,39
Xo6w5QVrABc,2022-03-02,23
Xo6w5QVrABc,2022-03-03,23
Xo6w5QVrABc,2022-03-04,20
Xo6w5QVrABc,2022-03-05,25
Xo6w5QVrABc,2022-03-06,24
Xo6w5QVrABc,2022-03-07,49
Xo6w5QVrABc,2022-03-08,56
Xo6w5QVrABc,2022-03-09,47
Xo6w5QVrABc,2022-03-10,44
Xo6w5QVrABc,2022-03-11,44
Xo6w5QVrABc,2022-03-12,50
Xo6w5QVrABc,2022-03-13,41
Xo6w5QVrABc,2022-03-14,56
