day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2021-06-30,37780,5803,203,2891,49,3015,566,123,211926,35818,336,59.36,0,0,0,0,0,0,0,0.2143,0.0032,70,13743,15,44,34,21
2021-07-01,32221,4716,111,1830,41,1582,506,86,167496,28291,311,55.010000000000005,0,0,0,0,0,0,0,0.2982,0.0044,57,9800,17,43,61,18
2021-07-02,23390,3430,41,1100,26,996,363,60,118824,19945,304,53.76,0,0,0,0,0,0,0,0.225,0.0034999999999999996,40,6548,9,23,49,17
2021-07-03,14974,2009,25,622,15,579,260,27,74035,11605,296,52.32,0,0,0,0,0,0,0,0.3,0.0023,20,3964,6,9,48,9
2021-07-04,9061,1280,19,425,12,421,246,21,46891,7337,310,54.76,0,0,0,0,0,0,0,0.29410000000000003,0.004699999999999999,17,2766,5,13,44,4
2021-07-05,5536,900,8,283,5,250,174,17,30635,5498,332,58.56,0,0,0,0,0,0,0,0.2143,0.0051,14,1779,3,9,16,11
2021-07-06,3218,518,9,164,2,161,132,5,16966,3033,316,55.78999999999999,0,0,0,0,0,0,0,0.3333,0.0051,6,983,2,5,14,9
2021-07-07,1888,278,2,107,0,73,103,9,10215,1698,324,57.26,0,0,0,0,0,0,0,0.0,0.0033,3,602,0,2,8,0
2021-07-08,1539,207,3,49,1,52,87,2,8386,1240,326,57.66,0,0,0,0,0,0,0,0.4,0.006,5,500,2,3,7,6
2021-07-09,1298,204,2,52,1,50,76,4,6786,1187,313,55.33,0,0,0,0,0,0,0,0.0,0.0,0,361,0,0,4,4
2021-07-10,1198,206,1,53,2,40,50,2,6209,1141,310,54.85,0,0,0,0,0,0,0,0.25,0.0058,4,347,1,2,6,1
2021-07-11,1591,243,3,67,0,61,46,2,7791,1207,293,51.82,0,0,0,0,0,0,0,0.75,0.009399999999999999,4,425,3,4,5,6
2021-07-12,1655,251,2,68,2,50,60,1,7317,1178,265,46.78,0,0,0,0,0,0,0,1.0,0.0,1,408,1,0,9,0
2021-07-13,1697,286,3,76,3,62,37,2,8507,1476,300,53.05,0,0,0,0,0,0,0,0.0,0.005600000000000001,3,534,0,3,10,2
2021-07-14,2182,437,2,100,1,62,42,4,11196,2336,307,54.29999999999999,0,0,0,0,0,0,0,0.3333,0.0075,6,668,2,5,5,0
2021-07-15,2191,423,1,93,2,68,40,2,11095,2198,303,53.59,0,0,0,0,0,0,0,0.5,0.0078000000000000005,4,643,2,5,15,1
2021-07-16,2215,397,5,96,-3,77,47,1,10943,2096,296,52.28,0,0,0,0,0,0,0,0.1429,0.0062,7,645,1,4,13,1
2021-07-17,2658,442,2,92,3,101,33,4,12481,2069,281,49.69,0,0,0,0,0,0,0,0.3333,0.0039000000000000003,3,762,1,3,13,0
