day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2020-10-05,17933,2299,101,2037,11,2032,365,119,140253,19381,469,60.78,0,0,0,0,0,0,0,0.0458,0.023700000000000002,240,9204,11,218,28,15
2020-10-06,11296,1430,39,813,5,502,291,67,85341,11979,453,58.71999999999999,0,0,0,0,0,0,0,0.0337,0.0149,89,5565,3,83,50,1
2020-10-07,4622,577,12,318,2,210,169,27,35876,4767,465,60.33,0,0,0,0,0,0,0,0.0263,0.0161,38,2110,1,34,24,2
2020-10-08,3351,387,8,188,2,161,97,23,24679,3285,441,57.24,0,0,0,0,0,0,0,0.0588,0.018500000000000003,34,1728,2,32,22,5
2020-10-09,2966,371,5,176,0,115,88,14,23361,3091,472,61.22,0,0,0,0,0,0,0,0.0667,0.019,30,1527,2,29,16,2
2020-10-10,2585,302,4,131,2,71,68,12,21230,2581,492,63.83,0,0,0,0,0,0,0,0.10710000000000001,0.0216,28,1206,3,26,7,1
2020-10-11,2191,278,6,133,2,57,68,5,17950,2487,491,63.67,0,0,0,0,0,0,0,0.0741,0.0208,27,1105,2,23,12,0
2020-10-12,1793,186,3,58,2,44,51,9,13161,1514,440,57.05,0,0,0,0,0,0,0,0.0667,0.019299999999999998,15,726,1,14,5,0
2020-10-13,1429,172,4,60,0,28,42,1,11649,1573,489,63.35999999999999,0,0,0,0,0,0,0,0.0,0.0166,12,664,0,11,4,2
2020-10-14,1176,141,3,58,1,31,48,3,9656,1274,492,63.82,0,0,0,0,0,0,0,0.25,0.010700000000000001,8,563,2,6,4,0
2020-10-15,1052,134,1,52,0,18,28,7,8659,1132,493,63.96999999999999,0,0,0,0,0,0,0,0.0,0.0039000000000000003,3,513,0,2,4,1
2020-10-16,947,99,1,46,1,28,26,3,7449,793,471,61.13000000000001,0,0,0,0,0,0,0,0.1176,0.033,17,485,2,16,3,1
2020-10-17,1914,232,1,117,1,35,27,5,15879,2048,497,64.48,0,0,0,0,0,0,0,0.1,0.0167,20,1135,2,19,9,1
2020-10-18,1380,193,3,73,0,34,30,7,11936,1645,518,67.22,0,0,0,0,0,0,0,0.125,0.0268,24,746,3,20,7,0
2020-10-19,971,119,2,46,0,16,26,2,8089,1075,499,64.75,0,0,0,0,0,0,0,0.2,0.0184,10,489,2,9,9,1
2020-10-20,750,104,0,33,1,21,17,4,6455,884,516,66.89,0,0,0,0,0,0,0,0.0,0.0051,2,390,0,2,1,0
2020-10-21,993,123,1,67,0,30,18,3,8288,1129,500,64.87,0,0,0,0,0,0,0,0.0,0.0113,6,530,0,6,4,0
2020-10-22,2027,218,4,120,1,73,26,7,16027,1875,474,61.45,0,0,0,0,0,0,0,0.05,0.014199999999999999,20,1129,1,16,8,0
2020-10-23,1550,185,5,96,0,60,28,3,12197,1608,472,61.15999999999999,0,0,0,0,0,0,0,0.0,0.0141,14,849,0,12,11,0
2020-10-24,1574,167,1,91,2,41,24,6,12397,1444,472,61.22,0,0,0,0,0,0,0,0.07139999999999999,0.0161,14,805,1,13,9,0
2020-10-25,1704,189,1,82,0,48,27,5,14196,1640,499,64.75,0,0,0,0,0,0,0,0.0625,0.018000000000000002,16,834,1,15,6,0
2020-10-26,1408,130,5,55,1,50,18,7,11274,1139,480,62.23,0,0,0,0,0,0,0,0.0667,0.0155,15,710,1,11,10,1
2020-10-27,1075,130,0,51,0,34,17,5,8234,1013,459,59.540000000000006,0,0,0,0,0,0,0,0.0,0.018799999999999997,10,532,0,10,6,0
2020-10-28,932,109,0,43,0,24,16,1,7289,970,469,60.79,0,0,0,0,0,0,0,0.0833,0.0212,12,471,1,10,3,0
2020-10-29,802,91,0,40,1,25,25,4,6640,783,496,64.35,0,0,0,0,0,0,0,0.16670000000000001,0.0118,6,425,1,5,1,1
2020-10-30,678,74,0,25,0,25,12,1,5431,620,480,62.25999999999999,0,0,0,0,0,0,0,0.0,0.0111,5,361,0,4,6,0
2020-10-31,498,65,0,11,0,9,12,1,3731,520,449,58.22999999999999,0,0,0,0,0,0,0,0.0,0.0,0,233,0,0,2,0
2020-11-01,622,84,0,21,1,18,20,4,5061,708,488,63.24999999999999,0,0,0,0,0,0,0,0.0,0.0033,1,302,0,1,2,0
2020-11-02,626,73,1,23,0,22,11,1,4937,644,473,61.309999999999995,0,0,0,0,0,0,0,0.0,0.012199999999999999,4,329,0,4,0,0
2020-11-03,602,71,1,22,1,13,6,2,4786,631,477,61.8,0,0,0,0,0,0,0,0.0,0.0101,3,297,0,3,1,0
2020-11-04,617,86,1,25,1,10,11,3,4972,749,483,62.63999999999999,0,0,0,0,0,0,0,0.16670000000000001,0.016,6,312,1,5,5,0
