videoID,day,likes
Y35LTzFB-2E,2020-10-05,2037
Y35LTzFB-2E,2020-10-06,813
Y35LTzFB-2E,2020-10-07,318
Y35LTzFB-2E,2020-10-08,188
Y35LTzFB-2E,2020-10-09,176
Y35LTzFB-2E,2020-10-10,131
Y35LTzFB-2E,2020-10-11,133
Y35LTzFB-2E,2020-10-12,58
Y35LTzFB-2E,2020-10-13,60
Y35LTzFB-2E,2020-10-14,58
Y35LTzFB-2E,2020-10-15,52
Y35LTzFB-2E,2020-10-16,46
Y35LTzFB-2E,2020-10-17,117
Y35LTzFB-2E,2020-10-18,73
Y35LTzFB-2E,2020-10-19,46
Y35LTzFB-2E,2020-10-20,33
Y35LTzFB-2E,2020-10-21,67
Y35LTzFB-2E,2020-10-22,120
Y35LTzFB-2E,2020-10-23,96
Y35LTzFB-2E,2020-10-24,91
Y35LTzFB-2E,2020-10-25,82
Y35LTzFB-2E,2020-10-26,55
Y35LTzFB-2E,2020-10-27,51
Y35LTzFB-2E,2020-10-28,43
Y35LTzFB-2E,2020-10-29,40
Y35LTzFB-2E,2020-10-30,25
Y35LTzFB-2E,2020-10-31,11
Y35LTzFB-2E,2020-11-01,21
Y35LTzFB-2E,2020-11-02,23
Y35LTzFB-2E,2020-11-03,22
Y35LTzFB-2E,2020-11-04,25
Y35LTzFB-2E,2020-11-05,20
Y35LTzFB-2E,2020-11-06,19
Y35LTzFB-2E,2020-11-07,23
Y35LTzFB-2E,2020-11-08,28
Y35LTzFB-2E,2020-11-09,23
Y35LTzFB-2E,2020-11-10,15
Y35LTzFB-2E,2020-11-11,17
Y35LTzFB-2E,2020-11-12,8
Y35LTzFB-2E,2020-11-13,22
Y35LTzFB-2E,2020-11-14,24
Y35LTzFB-2E,2020-11-15,15
Y35LTzFB-2E,2020-11-16,16
Y35LTzFB-2E,2020-11-17,14
Y35LTzFB-2E,2020-11-18,14
Y35LTzFB-2E,2020-11-19,13
Y35LTzFB-2E,2020-11-20,15
Y35LTzFB-2E,2020-11-21,6
Y35LTzFB-2E,2020-11-22,11
Y35LTzFB-2E,2020-11-23,9
Y35LTzFB-2E,2020-11-24,19
Y35LTzFB-2E,2020-11-25,14
Y35LTzFB-2E,2020-11-26,26
Y35LTzFB-2E,2020-11-27,22
Y35LTzFB-2E,2020-11-28,33
Y35LTzFB-2E,2020-11-29,41
Y35LTzFB-2E,2020-11-30,26
Y35LTzFB-2E,2020-12-01,37
Y35LTzFB-2E,2020-12-02,34
Y35LTzFB-2E,2020-12-03,35
Y35LTzFB-2E,2020-12-04,30
Y35LTzFB-2E,2020-12-05,26
Y35LTzFB-2E,2020-12-06,33
