day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2019-12-19,6,0,0,1,0,1,0,1,28,0,289,68.58,0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,0,0
2019-12-20,13873,1274,74,1146,10,1258,181,72,65821,6248,284,67.46,0,0,0,0,0,0,0,0.061500000000000006,0.0146,130,7876,8,115,10,13
2019-12-21,10460,792,28,540,9,547,203,45,46537,3816,266,63.25999999999999,0,0,0,0,0,0,0,0.0,0.013999999999999999,79,5151,0,72,38,4
2019-12-22,6148,469,15,246,17,337,128,23,26691,2274,260,61.73,0,0,0,0,0,0,0,0.023799999999999998,0.0123,42,3254,1,40,26,3
2019-12-23,3262,238,7,124,1,147,84,16,14134,996,259,61.61,0,0,0,0,0,0,0,0.0417,0.0116,24,1809,1,21,19,0
2019-12-24,2447,216,5,98,1,114,57,6,10898,1014,267,63.32,0,0,0,0,0,0,0,0.0,0.0128,18,1406,0,18,18,1
2019-12-25,2212,199,2,88,2,99,53,8,9589,907,260,61.64000000000001,0,0,0,0,0,0,0,0.0,0.0194,26,1235,0,24,16,1
2019-12-26,2082,179,1,62,1,97,54,12,9171,863,264,62.63000000000001,0,0,0,0,0,0,0,0.0417,0.018000000000000002,24,1167,1,21,18,3
2019-12-27,1705,140,3,70,0,91,52,11,7256,649,255,60.52000000000001,0,0,0,0,0,0,0,0.0,0.0248,24,928,0,23,20,2
2019-12-28,1061,109,0,34,0,42,32,7,4513,447,255,60.49,0,0,0,0,0,0,0,0.0,0.016200000000000003,9,555,0,9,7,2
2019-12-29,899,70,2,34,1,34,44,0,3934,339,262,62.22,0,0,0,0,0,0,0,0.0,0.0173,10,462,0,8,4,1
2019-12-30,889,86,1,31,1,35,21,3,3945,425,266,63.11,0,0,0,0,0,0,0,0.0625,0.0333,16,450,1,15,8,2
2019-12-31,641,57,1,28,0,29,18,1,2842,262,266,63.04,0,0,0,0,0,0,0,0.0,0.018500000000000003,6,324,0,6,4,0
2020-01-01,805,70,1,28,0,29,21,2,3648,362,271,64.44,0,0,0,0,0,0,0,0.16670000000000001,0.0165,6,424,1,7,3,1
2020-01-02,722,61,1,34,0,24,17,3,3221,275,267,63.44,0,0,0,0,0,0,0,0.0,0.0139,5,361,0,5,7,2
2020-01-03,613,58,0,28,0,27,19,1,2880,292,281,66.81,0,0,0,0,0,0,0,0.0,0.0095,3,315,0,3,4,0
