day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2019-06-01,2,0,0,0,0,0,0,0,5,0,162,21.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-02,1,0,0,0,0,0,0,0,0,0,52,6.819999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-03,11456,902,107,1060,14,688,114,84,94835,7721,496,64.42,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6
2019-06-04,5538,374,31,389,8,201,108,34,42248,2983,457,59.37,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2
2019-06-05,1516,89,7,96,3,48,45,7,10736,703,424,55.11000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1
2019-06-06,744,51,4,48,1,25,32,5,5468,413,441,57.2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2
2019-06-07,617,39,3,25,1,34,16,5,4448,258,432,56.11000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2019-06-08,467,30,1,13,1,11,12,4,3380,244,434,56.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-06-09,516,34,0,28,0,17,16,6,3818,298,443,57.58,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
2019-06-10,281,10,0,16,0,8,12,2,2108,99,450,58.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-06-11,429,29,0,17,0,29,9,10,2916,211,407,52.910000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
2019-06-12,398,21,1,21,0,19,8,5,2795,165,421,54.669999999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2019-06-13,328,20,0,15,1,4,9,3,2288,157,418,54.28999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
2019-06-14,272,25,0,15,2,11,12,3,1999,235,441,57.2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2019-06-15,147,9,3,9,0,9,12,0,1182,86,482,62.59,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2019-06-16,124,8,1,6,0,9,4,0,1006,63,486,63.13999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-06-17,115,7,0,8,0,2,6,0,880,77,459,59.57,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-06-18,79,2,0,3,0,2,6,0,588,1,447,57.99999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-19,78,5,0,3,0,2,7,2,597,36,459,59.599999999999994,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-06-20,75,5,0,3,0,1,4,1,555,43,444,57.60000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-21,72,4,0,3,0,5,4,1,569,31,474,61.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-22,122,9,0,11,0,0,2,4,956,68,470,61.03999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-23,87,3,0,4,0,1,7,2,752,36,519,67.35,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-06-24,63,5,0,3,0,0,3,0,545,49,519,67.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-25,55,3,1,1,0,1,5,3,429,27,468,60.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-26,47,1,0,4,0,2,2,0,404,0,516,67.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-27,50,1,0,4,0,0,1,0,411,2,494,64.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-28,99,3,0,2,0,2,4,0,829,37,502,65.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-29,94,4,1,5,0,0,3,0,886,28,565,73.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-30,81,7,0,3,0,2,2,0,586,60,434,56.35,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-07-01,86,5,0,4,0,2,6,0,647,27,451,58.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-02,57,6,1,4,0,0,3,0,442,56,465,60.35,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-07-03,58,1,0,1,0,1,2,2,421,12,436,56.61999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-04,35,2,0,2,0,0,3,0,342,25,586,76.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-05,36,1,0,3,0,0,3,0,263,0,439,56.95,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
2019-07-06,43,6,0,5,0,3,1,1,304,49,424,55.06999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-07,53,0,0,1,0,1,1,0,424,0,480,62.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-08,51,2,0,0,0,3,3,1,371,23,436,56.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-09,46,1,0,0,0,0,6,0,269,12,352,45.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-10,38,2,0,0,0,0,4,0,302,8,477,61.919999999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-11,46,4,0,5,0,1,0,2,369,26,481,62.480000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-07-12,36,0,0,4,0,2,3,0,252,0,421,54.67999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-13,51,4,0,1,0,0,1,2,423,37,498,64.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-14,41,2,0,3,0,1,1,0,352,14,516,66.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-15,52,3,0,1,0,0,2,0,454,25,524,67.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-16,58,1,0,1,0,1,1,0,471,10,487,63.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-17,53,10,0,1,0,0,1,0,429,71,486,63.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-18,51,1,0,0,0,1,5,0,413,0,486,63.14999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-19,72,3,0,1,0,0,1,0,587,36,489,63.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-20,74,1,0,3,1,0,0,0,589,12,478,62.03999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-07-21,61,3,0,0,0,0,2,0,591,35,581,75.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-22,53,2,0,2,0,0,0,0,348,23,394,51.11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-07-23,56,1,0,2,0,0,0,0,479,12,514,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-24,52,2,0,1,0,2,1,0,354,4,408,53.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-25,47,1,0,2,0,2,1,0,329,3,420,54.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-26,51,6,0,0,0,1,3,0,318,28,374,48.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-27,52,3,0,0,0,0,1,1,375,27,432,56.16,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
