videoID,day,likes
Ya_1-8VzJlI,2019-06-01,0
Ya_1-8VzJlI,2019-06-02,0
Ya_1-8VzJlI,2019-06-03,1060
Ya_1-8VzJlI,2019-06-04,389
Ya_1-8VzJlI,2019-06-05,96
Ya_1-8VzJlI,2019-06-06,48
Ya_1-8VzJlI,2019-06-07,25
Ya_1-8VzJlI,2019-06-08,13
Ya_1-8VzJlI,2019-06-09,28
Ya_1-8VzJlI,2019-06-10,16
Ya_1-8VzJlI,2019-06-11,17
Ya_1-8VzJlI,2019-06-12,21
Ya_1-8VzJlI,2019-06-13,15
Ya_1-8VzJlI,2019-06-14,15
Ya_1-8VzJlI,2019-06-15,9
Ya_1-8VzJlI,2019-06-16,6
Ya_1-8VzJlI,2019-06-17,8
Ya_1-8VzJlI,2019-06-18,3
Ya_1-8VzJlI,2019-06-19,3
Ya_1-8VzJlI,2019-06-20,3
Ya_1-8VzJlI,2019-06-21,3
Ya_1-8VzJlI,2019-06-22,11
Ya_1-8VzJlI,2019-06-23,4
Ya_1-8VzJlI,2019-06-24,3
Ya_1-8VzJlI,2019-06-25,1
Ya_1-8VzJlI,2019-06-26,4
Ya_1-8VzJlI,2019-06-27,4
Ya_1-8VzJlI,2019-06-28,2
Ya_1-8VzJlI,2019-06-29,5
Ya_1-8VzJlI,2019-06-30,3
Ya_1-8VzJlI,2019-07-01,4
Ya_1-8VzJlI,2019-07-02,4
Ya_1-8VzJlI,2019-07-03,1
Ya_1-8VzJlI,2019-07-04,2
Ya_1-8VzJlI,2019-07-05,3
Ya_1-8VzJlI,2019-07-06,5
Ya_1-8VzJlI,2019-07-07,1
Ya_1-8VzJlI,2019-07-08,0
Ya_1-8VzJlI,2019-07-09,0
Ya_1-8VzJlI,2019-07-10,0
Ya_1-8VzJlI,2019-07-11,5
Ya_1-8VzJlI,2019-07-12,4
Ya_1-8VzJlI,2019-07-13,1
Ya_1-8VzJlI,2019-07-14,3
Ya_1-8VzJlI,2019-07-15,1
Ya_1-8VzJlI,2019-07-16,1
Ya_1-8VzJlI,2019-07-17,1
Ya_1-8VzJlI,2019-07-18,0
Ya_1-8VzJlI,2019-07-19,1
Ya_1-8VzJlI,2019-07-20,3
Ya_1-8VzJlI,2019-07-21,0
Ya_1-8VzJlI,2019-07-22,2
Ya_1-8VzJlI,2019-07-23,2
Ya_1-8VzJlI,2019-07-24,1
Ya_1-8VzJlI,2019-07-25,2
Ya_1-8VzJlI,2019-07-26,0
Ya_1-8VzJlI,2019-07-27,0
Ya_1-8VzJlI,2019-07-28,1
Ya_1-8VzJlI,2019-07-29,0
Ya_1-8VzJlI,2019-07-30,2
Ya_1-8VzJlI,2019-07-31,3
Ya_1-8VzJlI,2019-08-01,2
Ya_1-8VzJlI,2019-08-02,1
Ya_1-8VzJlI,2019-08-03,2
Ya_1-8VzJlI,2019-08-04,2
Ya_1-8VzJlI,2019-08-05,1
Ya_1-8VzJlI,2019-08-06,3
Ya_1-8VzJlI,2019-08-07,4
Ya_1-8VzJlI,2019-08-08,4
Ya_1-8VzJlI,2019-08-09,0
Ya_1-8VzJlI,2019-08-10,2
Ya_1-8VzJlI,2019-08-11,1
Ya_1-8VzJlI,2019-08-12,2
Ya_1-8VzJlI,2019-08-13,0
Ya_1-8VzJlI,2019-08-14,1
Ya_1-8VzJlI,2019-08-15,1
Ya_1-8VzJlI,2019-08-16,2
Ya_1-8VzJlI,2019-08-17,4
Ya_1-8VzJlI,2019-08-18,5
Ya_1-8VzJlI,2019-08-19,1
Ya_1-8VzJlI,2019-08-20,1
Ya_1-8VzJlI,2019-08-21,1
Ya_1-8VzJlI,2019-08-22,2
Ya_1-8VzJlI,2019-08-23,1
Ya_1-8VzJlI,2019-08-24,7
Ya_1-8VzJlI,2019-08-25,3
Ya_1-8VzJlI,2019-08-26,0
Ya_1-8VzJlI,2019-08-27,1
Ya_1-8VzJlI,2019-08-28,1
Ya_1-8VzJlI,2019-08-29,1
Ya_1-8VzJlI,2019-08-30,0
Ya_1-8VzJlI,2019-08-31,2
Ya_1-8VzJlI,2019-09-01,4
Ya_1-8VzJlI,2019-09-02,0
Ya_1-8VzJlI,2019-09-03,0
Ya_1-8VzJlI,2019-09-04,0
Ya_1-8VzJlI,2019-09-05,0
Ya_1-8VzJlI,2019-09-06,0
Ya_1-8VzJlI,2019-09-07,-1
Ya_1-8VzJlI,2019-09-08,3
Ya_1-8VzJlI,2019-09-09,0
Ya_1-8VzJlI,2019-09-10,2
