day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2018-11-02,6226,394,49,502,6,363,81,29,9864,613,95,85.64,0,0,0,0,0,0,0,0.0,2.0,9,2,0,4,6,10
2018-11-03,3142,149,8,159,1,101,68,14,4799,226,91,82.58,0,0,0,0,0,0,0,0.0,0.0,1,0,0,0,8,3
2018-11-04,1596,94,4,70,1,53,36,5,2528,139,95,85.63,0,0,0,0,0,0,0,0.0,0.5,1,2,0,1,2,2
2018-11-05,1023,62,1,46,0,27,18,1,1621,88,95,85.68,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,4,0
2018-11-06,724,43,4,28,1,26,23,3,1139,67,94,85.11,0,0,0,0,0,0,0,0.0,0.0,1,0,0,0,2,1
2018-11-07,568,33,2,21,0,9,15,0,888,50,93,84.55,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,2
2018-11-08,604,32,2,22,1,21,7,2,933,38,92,83.56,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,5,6
2018-11-09,472,14,2,10,0,4,7,1,729,20,92,83.59,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,1
2018-11-10,281,22,0,12,1,8,5,1,444,36,94,85.48,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2018-11-11,262,17,2,12,1,7,3,0,427,25,97,88.22,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2018-11-12,238,16,2,12,0,7,12,0,370,25,93,84.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2018-11-13,190,13,3,8,0,2,2,0,305,18,96,87.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0
2018-11-14,180,11,0,8,1,7,4,1,288,20,96,86.72,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,2,0
2018-11-15,149,13,4,5,0,2,6,0,232,20,93,84.23,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2018-11-16,151,10,0,7,0,6,3,0,217,9,86,77.76,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2018-11-17,153,14,0,7,0,4,4,0,259,24,101,91.59,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2018-11-18,185,11,0,2,0,2,2,0,285,17,92,83.29,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2018-11-19,130,6,1,4,0,5,1,0,195,7,90,81.23,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2018-11-20,128,11,0,5,0,4,3,0,199,15,93,84.12,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,2
2018-11-21,123,12,0,6,0,7,4,0,198,13,96,87.09,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2018-11-22,150,12,0,6,0,5,5,0,225,12,90,81.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2018-11-23,129,7,0,6,0,4,2,0,206,10,95,86.37,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2018-11-24,186,12,0,7,0,3,5,1,298,19,96,86.65,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2018-11-25,242,11,1,10,0,5,3,0,394,13,97,88.1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,4,0
2018-11-26,284,24,0,15,0,5,7,0,455,34,96,86.67,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,3,0
2018-11-27,336,29,0,14,0,4,1,0,547,46,97,88.11,0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,6,0
2018-11-28,349,16,1,17,0,7,3,0,547,21,94,84.87,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,4,0
2018-11-29,239,16,0,11,0,5,2,0,377,21,94,85.43,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2018-11-30,197,6,0,7,1,4,4,1,300,10,91,82.58,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,3,0
2018-12-01,156,7,0,2,0,1,1,2,239,9,92,83.12,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2018-12-02,137,5,0,6,0,2,3,0,209,6,91,82.5,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2018-12-03,83,1,0,1,0,0,1,0,133,1,96,86.75,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2018-12-04,69,3,0,0,1,2,1,0,107,4,93,84.3,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2018-12-05,50,3,0,1,0,0,4,0,80,5,96,86.66,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2018-12-06,57,1,0,1,0,2,2,1,90,1,95,85.76,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2018-12-07,56,3,0,2,0,1,1,0,86,3,93,83.81,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2018-12-08,73,6,0,1,0,1,0,0,116,11,95,86.18,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2018-12-09,74,3,0,2,0,1,1,0,126,5,102,92.04,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2018-12-10,73,1,0,2,0,4,1,0,114,1,94,85.12,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2018-12-11,71,2,0,2,0,1,1,0,103,3,87,78.93,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2018-12-12,57,1,0,1,0,0,0,0,91,1,96,86.88,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2018-12-13,56,5,0,1,0,1,2,0,75,9,80,72.51,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,1,0
2018-12-14,75,2,0,1,0,0,0,0,123,3,98,88.69,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2018-12-15,79,6,0,2,0,0,1,2,123,6,93,84.65,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2018-12-16,133,8,0,5,0,2,3,1,205,12,92,83.46,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,1,0
2018-12-17,75,6,0,2,0,1,1,1,120,7,96,86.54,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2018-12-18,70,7,0,2,0,1,1,0,106,9,91,82.13,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,3,0
2018-12-19,96,6,0,5,0,1,2,0,150,10,93,84.5,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2018-12-20,60,2,0,1,0,1,1,0,92,2,92,82.95,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2018-12-21,62,1,0,1,0,1,0,0,95,1,92,83.69,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2018-12-22,76,10,0,5,0,0,0,0,120,14,94,85.53,0,0,0,0,0,0,0,0.0,0.0,1,0,0,1,0,0
2018-12-23,76,2,0,1,0,1,0,0,129,3,101,91.82,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2018-12-24,66,3,0,4,0,1,2,0,106,4,96,86.91,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2018-12-25,79,8,0,3,0,1,0,0,130,14,99,89.41,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2018-12-26,72,7,0,1,0,0,0,0,113,12,94,85.52,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2018-12-27,60,3,0,2,0,0,0,0,97,5,97,87.89,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2018-12-28,71,4,0,3,0,3,2,0,105,7,89,80.32,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2018-12-29,80,2,0,1,0,0,0,0,124,2,93,84.45,0,0,0,0,0,0,0,0.0,0.0,1,0,0,0,0,0
2018-12-30,68,2,0,0,0,0,2,0,106,2,93,84.36,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2018-12-31,69,2,0,3,0,4,1,1,100,3,87,79.03,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2019-01-01,75,3,0,3,0,3,2,0,115,4,92,83.13,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0
2019-01-02,83,6,0,0,0,1,1,0,129,9,93,84.47,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,1
2019-01-03,79,1,0,2,0,0,0,0,118,1,90,81.09,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-01-04,69,3,0,1,0,0,0,0,106,5,92,83.12,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,0,0
2019-01-05,78,4,0,0,0,3,1,0,122,4,94,84.69,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-01-06,53,1,0,2,0,1,1,0,87,1,98,89.08,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-01-07,65,3,0,1,0,2,1,1,100,5,92,83.64,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-01-08,39,0,0,2,0,1,1,0,62,0,95,86.21,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-01-09,43,1,0,2,1,0,0,0,72,1,101,91.04,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-01-10,45,3,0,1,0,1,2,0,67,3,89,80.75,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-01-11,59,6,0,1,0,1,0,1,92,11,94,84.83,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-01-12,76,2,0,3,0,2,0,3,114,3,90,81.61,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-01-13,70,6,0,3,0,0,1,0,112,10,96,86.5,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-01-14,73,6,1,4,0,1,0,0,112,9,92,83.12,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-01-15,66,2,0,3,0,1,2,0,108,3,98,88.48,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2019-01-16,52,2,0,2,0,1,0,0,89,3,102,92.55,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2019-01-17,44,4,0,0,0,0,0,0,68,6,93,84.58,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-01-18,51,0,0,2,0,0,0,0,69,0,82,73.93,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-01-19,72,3,0,3,0,1,0,0,101,3,84,76.09,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-01-20,52,6,0,0,0,1,1,0,72,8,83,75.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-01-21,67,4,0,0,0,1,1,1,94,7,84,76.57,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-01-22,53,3,0,2,0,0,0,0,84,5,96,86.56,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-01-23,50,2,0,2,0,1,2,0,80,3,97,87.43,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-01-24,51,2,0,1,0,1,3,0,77,3,91,82.16,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-01-25,31,1,0,1,0,0,1,0,47,0,92,83.54,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-01-26,70,7,0,1,0,1,1,0,103,10,89,80.19,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-01-27,62,4,0,2,0,4,0,0,99,7,95,86.34,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-01-28,46,3,0,1,0,0,0,0,71,4,93,84.5,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
