day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2019-11-01,41030,2263,131,1874,43,1420,224,122,302353,18475,442,61.07,0,0,0,0,0,0,0,0.0288,0.015700000000000002,382,22075,11,346,110,13
2019-11-02,65875,2900,123,1446,55,1539,281,177,410040,21142,373,51.580000000000005,0,0,0,0,0,0,0,0.0452,0.013500000000000002,531,34751,24,468,324,12
2019-11-03,39264,1361,60,671,51,813,205,125,212285,9211,324,44.81,0,0,0,0,0,0,0,0.0462,0.011699999999999999,303,22671,14,266,249,10
2019-11-04,21817,791,40,320,24,449,137,44,119232,5064,327,45.29,0,0,0,0,0,0,0,0.0479,0.0115,167,12503,8,144,112,6
2019-11-05,14359,527,33,195,19,288,90,43,76989,3434,321,44.43,0,0,0,0,0,0,0,0.060899999999999996,0.016399999999999998,115,8307,7,136,90,2
2019-11-06,7863,265,12,116,9,105,64,21,43113,1920,328,45.44,0,0,0,0,0,0,0,0.0333,0.0116,60,4413,2,51,41,0
2019-11-07,5982,197,3,89,4,103,51,13,34160,1419,342,47.32,0,0,0,0,0,0,0,0.0377,0.0139,53,3302,2,46,34,2
2019-11-08,4662,149,2,79,3,71,57,7,25952,1060,334,46.13,0,0,0,0,0,0,0,0.0,0.011200000000000002,31,2591,0,29,27,2
2019-11-09,3379,122,9,51,6,52,47,2,18659,885,331,45.76,0,0,0,0,0,0,0,0.0313,0.016200000000000003,32,1911,1,31,20,1
2019-11-10,3458,145,3,46,4,36,36,12,19041,983,330,45.63,0,0,0,0,0,0,0,0.0638,0.019299999999999998,47,1918,3,37,8,0
2019-11-11,2665,122,4,28,1,26,24,8,14267,740,321,44.37,0,0,0,0,0,0,0,0.0,0.019,33,1529,0,29,11,0
2019-11-12,1911,75,3,27,0,12,26,3,10811,557,339,46.89,0,0,0,0,0,0,0,0.0,0.016,17,1128,0,18,12,2
2019-11-13,1381,43,0,21,0,13,25,0,7898,271,343,47.4,0,0,0,0,0,0,0,0.0833,0.0087,12,802,1,7,11,1
2019-11-14,1430,48,3,27,2,12,15,2,8553,300,358,49.57,0,0,0,0,0,0,0,0.1818,0.0144,11,834,2,12,4,0
2019-11-15,1353,50,0,30,0,9,19,4,8235,383,365,50.44,0,0,0,0,0,0,0,0.0,0.0084,9,831,0,7,5,0
2019-11-16,1730,71,4,21,1,12,11,3,10299,535,357,49.34,0,0,0,0,0,0,0,0.0588,0.013600000000000001,17,1029,1,14,15,0
2019-11-17,2060,94,4,24,1,17,14,3,12284,691,357,49.42,0,0,0,0,0,0,0,0.0417,0.017,24,1176,1,20,3,0
2019-11-18,1575,53,2,17,0,12,22,3,9353,395,356,49.22,0,0,0,0,0,0,0,0.0,0.0084,9,958,0,8,8,0
2019-11-19,1731,54,2,20,2,19,9,2,10363,388,359,49.62,0,0,0,0,0,0,0,0.125,0.0215,24,1022,3,22,5,0
2019-11-20,1708,62,0,14,1,22,13,3,10837,458,380,52.57999999999999,0,0,0,0,0,0,0,0.0,0.0154,16,1042,0,16,10,0
2019-11-21,1725,66,1,27,0,18,12,4,10963,502,381,52.67000000000001,0,0,0,0,0,0,0,0.1176,0.0141,17,1062,2,15,11,0
2019-11-22,1539,50,1,18,1,9,10,3,10211,431,398,54.99000000000001,0,0,0,0,0,0,0,0.0,0.0101,11,887,0,9,8,0
2019-11-23,1522,60,3,21,0,11,10,2,10405,512,410,56.66,0,0,0,0,0,0,0,0.07139999999999999,0.013500000000000002,14,891,1,12,9,0
2019-11-24,1577,60,1,26,3,6,9,6,10948,417,416,57.54,0,0,0,0,0,0,0,0.0,0.013500000000000002,12,889,0,12,12,0
2019-11-25,1427,56,0,23,0,12,9,3,9926,465,417,57.65,0,0,0,0,0,0,0,0.0,0.0123,11,814,0,10,6,2
2019-11-26,1649,65,3,27,0,11,9,0,11992,491,436,60.27,0,0,0,0,0,0,0,0.0909,0.0101,11,892,1,9,4,0
2019-11-27,1725,76,4,11,2,10,9,4,12549,607,436,60.29,0,0,0,0,0,0,0,0.1429,0.0168,14,893,2,15,7,0
2019-11-28,2041,84,2,23,1,15,14,1,15471,691,454,62.82,0,0,0,0,0,0,0,0.2353,0.0141,17,993,4,14,4,0
2019-11-29,1989,88,1,19,1,15,11,0,14972,732,451,62.39,0,0,0,0,0,0,0,0.1333,0.0068000000000000005,15,1036,2,7,8,0
