videoID,day,likes
Z9-iX3ymcyU,2019-11-01,1874
Z9-iX3ymcyU,2019-11-02,1446
Z9-iX3ymcyU,2019-11-03,671
Z9-iX3ymcyU,2019-11-04,320
Z9-iX3ymcyU,2019-11-05,195
Z9-iX3ymcyU,2019-11-06,116
Z9-iX3ymcyU,2019-11-07,89
Z9-iX3ymcyU,2019-11-08,79
Z9-iX3ymcyU,2019-11-09,51
Z9-iX3ymcyU,2019-11-10,46
Z9-iX3ymcyU,2019-11-11,28
Z9-iX3ymcyU,2019-11-12,27
Z9-iX3ymcyU,2019-11-13,21
Z9-iX3ymcyU,2019-11-14,27
Z9-iX3ymcyU,2019-11-15,30
Z9-iX3ymcyU,2019-11-16,21
Z9-iX3ymcyU,2019-11-17,24
Z9-iX3ymcyU,2019-11-18,17
Z9-iX3ymcyU,2019-11-19,20
Z9-iX3ymcyU,2019-11-20,14
Z9-iX3ymcyU,2019-11-21,27
Z9-iX3ymcyU,2019-11-22,18
Z9-iX3ymcyU,2019-11-23,21
Z9-iX3ymcyU,2019-11-24,26
Z9-iX3ymcyU,2019-11-25,23
Z9-iX3ymcyU,2019-11-26,27
Z9-iX3ymcyU,2019-11-27,11
Z9-iX3ymcyU,2019-11-28,23
Z9-iX3ymcyU,2019-11-29,19
Z9-iX3ymcyU,2019-11-30,37
Z9-iX3ymcyU,2019-12-01,28
Z9-iX3ymcyU,2019-12-02,31
Z9-iX3ymcyU,2019-12-03,25
Z9-iX3ymcyU,2019-12-04,21
Z9-iX3ymcyU,2019-12-05,17
Z9-iX3ymcyU,2019-12-06,20
Z9-iX3ymcyU,2019-12-07,15
Z9-iX3ymcyU,2019-12-08,16
Z9-iX3ymcyU,2019-12-09,19
Z9-iX3ymcyU,2019-12-10,13
Z9-iX3ymcyU,2019-12-11,17
Z9-iX3ymcyU,2019-12-12,18
Z9-iX3ymcyU,2019-12-13,18
Z9-iX3ymcyU,2019-12-14,14
Z9-iX3ymcyU,2019-12-15,24
Z9-iX3ymcyU,2019-12-16,19
Z9-iX3ymcyU,2019-12-17,28
Z9-iX3ymcyU,2019-12-18,8
Z9-iX3ymcyU,2019-12-19,15
Z9-iX3ymcyU,2019-12-20,11
Z9-iX3ymcyU,2019-12-21,18
Z9-iX3ymcyU,2019-12-22,10
Z9-iX3ymcyU,2019-12-23,11
Z9-iX3ymcyU,2019-12-24,14
Z9-iX3ymcyU,2019-12-25,12
Z9-iX3ymcyU,2019-12-26,21
Z9-iX3ymcyU,2019-12-27,19
Z9-iX3ymcyU,2019-12-28,14
Z9-iX3ymcyU,2019-12-29,20
Z9-iX3ymcyU,2019-12-30,10
Z9-iX3ymcyU,2019-12-31,9
Z9-iX3ymcyU,2020-01-01,14
Z9-iX3ymcyU,2020-01-02,11
Z9-iX3ymcyU,2020-01-03,12
Z9-iX3ymcyU,2020-01-04,13
Z9-iX3ymcyU,2020-01-05,14
Z9-iX3ymcyU,2020-01-06,12
Z9-iX3ymcyU,2020-01-07,16
Z9-iX3ymcyU,2020-01-08,16
Z9-iX3ymcyU,2020-01-09,11
Z9-iX3ymcyU,2020-01-10,21
Z9-iX3ymcyU,2020-01-11,14
Z9-iX3ymcyU,2020-01-12,20
Z9-iX3ymcyU,2020-01-13,24
Z9-iX3ymcyU,2020-01-14,16
Z9-iX3ymcyU,2020-01-15,22
Z9-iX3ymcyU,2020-01-16,12
Z9-iX3ymcyU,2020-01-17,11
Z9-iX3ymcyU,2020-01-18,10
Z9-iX3ymcyU,2020-01-19,14
Z9-iX3ymcyU,2020-01-20,14
Z9-iX3ymcyU,2020-01-21,12
Z9-iX3ymcyU,2020-01-22,12
Z9-iX3ymcyU,2020-01-23,13
Z9-iX3ymcyU,2020-01-24,16
Z9-iX3ymcyU,2020-01-25,18
Z9-iX3ymcyU,2020-01-26,15
Z9-iX3ymcyU,2020-01-27,18
Z9-iX3ymcyU,2020-01-28,17
Z9-iX3ymcyU,2020-01-29,14
Z9-iX3ymcyU,2020-01-30,13
Z9-iX3ymcyU,2020-01-31,12
Z9-iX3ymcyU,2020-02-01,16
Z9-iX3ymcyU,2020-02-02,13
Z9-iX3ymcyU,2020-02-03,18
Z9-iX3ymcyU,2020-02-04,16
Z9-iX3ymcyU,2020-02-05,15
Z9-iX3ymcyU,2020-02-06,20
Z9-iX3ymcyU,2020-02-07,15
Z9-iX3ymcyU,2020-02-08,7
Z9-iX3ymcyU,2020-02-09,14
Z9-iX3ymcyU,2020-02-10,16
Z9-iX3ymcyU,2020-02-11,12
Z9-iX3ymcyU,2020-02-12,9
Z9-iX3ymcyU,2020-02-13,6
Z9-iX3ymcyU,2020-02-14,9
Z9-iX3ymcyU,2020-02-15,5
Z9-iX3ymcyU,2020-02-16,17
Z9-iX3ymcyU,2020-02-17,12
Z9-iX3ymcyU,2020-02-18,11
Z9-iX3ymcyU,2020-02-19,13
Z9-iX3ymcyU,2020-02-20,10
Z9-iX3ymcyU,2020-02-21,19
Z9-iX3ymcyU,2020-02-22,18
Z9-iX3ymcyU,2020-02-23,10
Z9-iX3ymcyU,2020-02-24,8
Z9-iX3ymcyU,2020-02-25,8
Z9-iX3ymcyU,2020-02-26,6
Z9-iX3ymcyU,2020-02-27,8
Z9-iX3ymcyU,2020-02-28,5
Z9-iX3ymcyU,2020-02-29,11
Z9-iX3ymcyU,2020-03-01,14
Z9-iX3ymcyU,2020-03-02,3
Z9-iX3ymcyU,2020-03-03,2
Z9-iX3ymcyU,2020-03-04,4
Z9-iX3ymcyU,2020-03-05,6
Z9-iX3ymcyU,2020-03-06,1
Z9-iX3ymcyU,2020-03-07,1
Z9-iX3ymcyU,2020-03-08,4
Z9-iX3ymcyU,2020-03-09,2
Z9-iX3ymcyU,2020-03-10,8
Z9-iX3ymcyU,2020-03-11,7
Z9-iX3ymcyU,2020-03-12,2
Z9-iX3ymcyU,2020-03-13,2
Z9-iX3ymcyU,2020-03-14,2
Z9-iX3ymcyU,2020-03-15,6
Z9-iX3ymcyU,2020-03-16,4
Z9-iX3ymcyU,2020-03-17,3
Z9-iX3ymcyU,2020-03-18,4
Z9-iX3ymcyU,2020-03-19,2
Z9-iX3ymcyU,2020-03-20,0
Z9-iX3ymcyU,2020-03-21,3
Z9-iX3ymcyU,2020-03-22,0
Z9-iX3ymcyU,2020-03-23,4
Z9-iX3ymcyU,2020-03-24,3
Z9-iX3ymcyU,2020-03-25,2
Z9-iX3ymcyU,2020-03-26,4
Z9-iX3ymcyU,2020-03-27,3
Z9-iX3ymcyU,2020-03-28,3
Z9-iX3ymcyU,2020-03-29,5
Z9-iX3ymcyU,2020-03-30,2
Z9-iX3ymcyU,2020-03-31,10
Z9-iX3ymcyU,2020-04-01,7
Z9-iX3ymcyU,2020-04-02,1
Z9-iX3ymcyU,2020-04-03,7
Z9-iX3ymcyU,2020-04-04,11
Z9-iX3ymcyU,2020-04-05,5
Z9-iX3ymcyU,2020-04-06,6
Z9-iX3ymcyU,2020-04-07,4
Z9-iX3ymcyU,2020-04-08,5
Z9-iX3ymcyU,2020-04-09,9
Z9-iX3ymcyU,2020-04-10,8
Z9-iX3ymcyU,2020-04-11,5
Z9-iX3ymcyU,2020-04-12,6
Z9-iX3ymcyU,2020-04-13,8
Z9-iX3ymcyU,2020-04-14,4
Z9-iX3ymcyU,2020-04-15,5
Z9-iX3ymcyU,2020-04-16,7
Z9-iX3ymcyU,2020-04-17,5
Z9-iX3ymcyU,2020-04-18,8
Z9-iX3ymcyU,2020-04-19,1
Z9-iX3ymcyU,2020-04-20,3
Z9-iX3ymcyU,2020-04-21,1
Z9-iX3ymcyU,2020-04-22,2
Z9-iX3ymcyU,2020-04-23,3
Z9-iX3ymcyU,2020-04-24,2
Z9-iX3ymcyU,2020-04-25,4
Z9-iX3ymcyU,2020-04-26,4
Z9-iX3ymcyU,2020-04-27,1
Z9-iX3ymcyU,2020-04-28,4
Z9-iX3ymcyU,2020-04-29,1
Z9-iX3ymcyU,2020-04-30,1
Z9-iX3ymcyU,2020-05-01,4
Z9-iX3ymcyU,2020-05-02,5
Z9-iX3ymcyU,2020-05-03,8
Z9-iX3ymcyU,2020-05-04,6
Z9-iX3ymcyU,2020-05-05,8
Z9-iX3ymcyU,2020-05-06,1
Z9-iX3ymcyU,2020-05-07,1
Z9-iX3ymcyU,2020-05-08,6
Z9-iX3ymcyU,2020-05-09,3
Z9-iX3ymcyU,2020-05-10,2
Z9-iX3ymcyU,2020-05-11,2
Z9-iX3ymcyU,2020-05-12,8
Z9-iX3ymcyU,2020-05-13,7
Z9-iX3ymcyU,2020-05-14,5
Z9-iX3ymcyU,2020-05-15,6
Z9-iX3ymcyU,2020-05-16,7
Z9-iX3ymcyU,2020-05-17,10
Z9-iX3ymcyU,2020-05-18,11
Z9-iX3ymcyU,2020-05-19,8
Z9-iX3ymcyU,2020-05-20,7
Z9-iX3ymcyU,2020-05-21,15
Z9-iX3ymcyU,2020-05-22,6
Z9-iX3ymcyU,2020-05-23,23
Z9-iX3ymcyU,2020-05-24,12
Z9-iX3ymcyU,2020-05-25,15
Z9-iX3ymcyU,2020-05-26,20
Z9-iX3ymcyU,2020-05-27,18
Z9-iX3ymcyU,2020-05-28,18
Z9-iX3ymcyU,2020-05-29,12
Z9-iX3ymcyU,2020-05-30,10
Z9-iX3ymcyU,2020-05-31,8
Z9-iX3ymcyU,2020-06-01,3
Z9-iX3ymcyU,2020-06-02,5
Z9-iX3ymcyU,2020-06-03,5
Z9-iX3ymcyU,2020-06-04,4
Z9-iX3ymcyU,2020-06-05,7
Z9-iX3ymcyU,2020-06-06,10
Z9-iX3ymcyU,2020-06-07,10
Z9-iX3ymcyU,2020-06-08,9
Z9-iX3ymcyU,2020-06-09,8
Z9-iX3ymcyU,2020-06-10,10
Z9-iX3ymcyU,2020-06-11,6
Z9-iX3ymcyU,2020-06-12,4
Z9-iX3ymcyU,2020-06-13,6
Z9-iX3ymcyU,2020-06-14,12
Z9-iX3ymcyU,2020-06-15,13
Z9-iX3ymcyU,2020-06-16,5
Z9-iX3ymcyU,2020-06-17,8
Z9-iX3ymcyU,2020-06-18,5
Z9-iX3ymcyU,2020-06-19,7
Z9-iX3ymcyU,2020-06-20,10
Z9-iX3ymcyU,2020-06-21,13
Z9-iX3ymcyU,2020-06-22,9
Z9-iX3ymcyU,2020-06-23,14
Z9-iX3ymcyU,2020-06-24,12
Z9-iX3ymcyU,2020-06-25,10
Z9-iX3ymcyU,2020-06-26,17
Z9-iX3ymcyU,2020-06-27,12
Z9-iX3ymcyU,2020-06-28,11
Z9-iX3ymcyU,2020-06-29,8
Z9-iX3ymcyU,2020-06-30,7
Z9-iX3ymcyU,2020-07-01,5
Z9-iX3ymcyU,2020-07-02,10
Z9-iX3ymcyU,2020-07-03,7
Z9-iX3ymcyU,2020-07-04,7
Z9-iX3ymcyU,2020-07-05,5
Z9-iX3ymcyU,2020-07-06,8
Z9-iX3ymcyU,2020-07-07,7
Z9-iX3ymcyU,2020-07-08,5
Z9-iX3ymcyU,2020-07-09,13
Z9-iX3ymcyU,2020-07-10,5
Z9-iX3ymcyU,2020-07-11,7
Z9-iX3ymcyU,2020-07-12,8
Z9-iX3ymcyU,2020-07-13,5
Z9-iX3ymcyU,2020-07-14,10
Z9-iX3ymcyU,2020-07-15,4
Z9-iX3ymcyU,2020-07-16,2
Z9-iX3ymcyU,2020-07-17,0
Z9-iX3ymcyU,2020-07-18,3
Z9-iX3ymcyU,2020-07-19,5
Z9-iX3ymcyU,2020-07-20,3
Z9-iX3ymcyU,2020-07-21,3
Z9-iX3ymcyU,2020-07-22,6
Z9-iX3ymcyU,2020-07-23,5
Z9-iX3ymcyU,2020-07-24,3
Z9-iX3ymcyU,2020-07-25,6
Z9-iX3ymcyU,2020-07-26,4
Z9-iX3ymcyU,2020-07-27,3
Z9-iX3ymcyU,2020-07-28,2
Z9-iX3ymcyU,2020-07-29,2
Z9-iX3ymcyU,2020-07-30,14
Z9-iX3ymcyU,2020-07-31,7
Z9-iX3ymcyU,2020-08-01,3
Z9-iX3ymcyU,2020-08-02,4
Z9-iX3ymcyU,2020-08-03,6
Z9-iX3ymcyU,2020-08-04,3
Z9-iX3ymcyU,2020-08-05,2
Z9-iX3ymcyU,2020-08-06,1
Z9-iX3ymcyU,2020-08-07,4
Z9-iX3ymcyU,2020-08-08,3
Z9-iX3ymcyU,2020-08-09,7
Z9-iX3ymcyU,2020-08-10,6
Z9-iX3ymcyU,2020-08-11,2
Z9-iX3ymcyU,2020-08-12,2
Z9-iX3ymcyU,2020-08-13,4
Z9-iX3ymcyU,2020-08-14,0
Z9-iX3ymcyU,2020-08-15,6
Z9-iX3ymcyU,2020-08-16,2
Z9-iX3ymcyU,2020-08-17,1
Z9-iX3ymcyU,2020-08-18,3
Z9-iX3ymcyU,2020-08-19,1
Z9-iX3ymcyU,2020-08-20,2
Z9-iX3ymcyU,2020-08-21,5
Z9-iX3ymcyU,2020-08-22,1
Z9-iX3ymcyU,2020-08-23,0
Z9-iX3ymcyU,2020-08-24,1
Z9-iX3ymcyU,2020-08-25,4
Z9-iX3ymcyU,2020-08-26,3
Z9-iX3ymcyU,2020-08-27,1
Z9-iX3ymcyU,2020-08-28,6
Z9-iX3ymcyU,2020-08-29,2
Z9-iX3ymcyU,2020-08-30,2
Z9-iX3ymcyU,2020-08-31,2
Z9-iX3ymcyU,2020-09-01,1
Z9-iX3ymcyU,2020-09-02,5
Z9-iX3ymcyU,2020-09-03,3
Z9-iX3ymcyU,2020-09-04,3
Z9-iX3ymcyU,2020-09-05,3
Z9-iX3ymcyU,2020-09-06,4
Z9-iX3ymcyU,2020-09-07,4
Z9-iX3ymcyU,2020-09-08,5
Z9-iX3ymcyU,2020-09-09,3
Z9-iX3ymcyU,2020-09-10,5
Z9-iX3ymcyU,2020-09-11,6
Z9-iX3ymcyU,2020-09-12,13
Z9-iX3ymcyU,2020-09-13,9
Z9-iX3ymcyU,2020-09-14,5
Z9-iX3ymcyU,2020-09-15,12
Z9-iX3ymcyU,2020-09-16,5
Z9-iX3ymcyU,2020-09-17,7
Z9-iX3ymcyU,2020-09-18,3
Z9-iX3ymcyU,2020-09-19,5
Z9-iX3ymcyU,2020-09-20,3
Z9-iX3ymcyU,2020-09-21,3
Z9-iX3ymcyU,2020-09-22,0
Z9-iX3ymcyU,2020-09-23,4
Z9-iX3ymcyU,2020-09-24,3
Z9-iX3ymcyU,2020-09-25,4
Z9-iX3ymcyU,2020-09-26,3
Z9-iX3ymcyU,2020-09-27,2
Z9-iX3ymcyU,2020-09-28,3
Z9-iX3ymcyU,2020-09-29,0
Z9-iX3ymcyU,2020-09-30,2
Z9-iX3ymcyU,2020-10-01,2
Z9-iX3ymcyU,2020-10-02,2
Z9-iX3ymcyU,2020-10-03,2
Z9-iX3ymcyU,2020-10-04,5
Z9-iX3ymcyU,2020-10-05,4
Z9-iX3ymcyU,2020-10-06,2
Z9-iX3ymcyU,2020-10-07,1
Z9-iX3ymcyU,2020-10-08,5
Z9-iX3ymcyU,2020-10-09,2
Z9-iX3ymcyU,2020-10-10,2
Z9-iX3ymcyU,2020-10-11,3
Z9-iX3ymcyU,2020-10-12,3
Z9-iX3ymcyU,2020-10-13,1
Z9-iX3ymcyU,2020-10-14,2
Z9-iX3ymcyU,2020-10-15,3
Z9-iX3ymcyU,2020-10-16,4
Z9-iX3ymcyU,2020-10-17,3
Z9-iX3ymcyU,2020-10-18,5
Z9-iX3ymcyU,2020-10-19,6
Z9-iX3ymcyU,2020-10-20,2
Z9-iX3ymcyU,2020-10-21,2
Z9-iX3ymcyU,2020-10-22,3
Z9-iX3ymcyU,2020-10-23,3
Z9-iX3ymcyU,2020-10-24,2
Z9-iX3ymcyU,2020-10-25,3
Z9-iX3ymcyU,2020-10-26,1
Z9-iX3ymcyU,2020-10-27,4
Z9-iX3ymcyU,2020-10-28,1
Z9-iX3ymcyU,2020-10-29,3
Z9-iX3ymcyU,2020-10-30,5
Z9-iX3ymcyU,2020-10-31,2
Z9-iX3ymcyU,2020-11-01,3
Z9-iX3ymcyU,2020-11-02,3
Z9-iX3ymcyU,2020-11-03,2
Z9-iX3ymcyU,2020-11-04,2
Z9-iX3ymcyU,2020-11-05,4
Z9-iX3ymcyU,2020-11-06,1
Z9-iX3ymcyU,2020-11-07,2
Z9-iX3ymcyU,2020-11-08,0
Z9-iX3ymcyU,2020-11-09,3
Z9-iX3ymcyU,2020-11-10,0
Z9-iX3ymcyU,2020-11-11,3
Z9-iX3ymcyU,2020-11-12,4
Z9-iX3ymcyU,2020-11-13,1
Z9-iX3ymcyU,2020-11-14,0
Z9-iX3ymcyU,2020-11-15,2
Z9-iX3ymcyU,2020-11-16,5
Z9-iX3ymcyU,2020-11-17,3
Z9-iX3ymcyU,2020-11-18,4
Z9-iX3ymcyU,2020-11-19,2
Z9-iX3ymcyU,2020-11-20,4
Z9-iX3ymcyU,2020-11-21,6
Z9-iX3ymcyU,2020-11-22,8
Z9-iX3ymcyU,2020-11-23,5
Z9-iX3ymcyU,2020-11-24,6
Z9-iX3ymcyU,2020-11-25,4
Z9-iX3ymcyU,2020-11-26,5
Z9-iX3ymcyU,2020-11-27,6
