day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2019-09-13,6,0,0,1,0,2,0,1,32,0,324,79.91,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-09-14,41585,3208,177,2575,42,1870,336,183,195477,16028,282,69.47,0,0,0,0,0,0,0,0.3456,0.0269,570,14617,197,393,144,14
2019-09-15,40411,2841,93,1389,27,1287,346,107,178216,13601,264,65.17,0,0,0,0,0,0,0,0.3318,0.0246,437,12053,145,297,258,7
2019-09-16,25395,2134,61,976,24,1104,296,102,112902,10228,266,65.7,0,0,0,0,0,0,0,0.3668,0.0279,349,8209,128,229,245,3
2019-09-17,16414,1553,26,621,18,753,246,52,73651,7234,269,66.31,0,0,0,0,0,0,0,0.3508,0.0292,248,5554,87,162,258,8
2019-09-18,12434,1229,30,496,7,572,174,53,55920,5621,269,66.46,0,0,0,0,0,0,0,0.3354,0.0239,158,4227,53,101,177,1
2019-09-19,10548,900,26,424,9,506,156,34,46349,4007,263,64.94,0,0,0,0,0,0,0,0.3286,0.0268,140,3467,46,93,142,2
2019-09-20,7220,608,17,241,7,345,138,32,32068,2933,266,65.64,0,0,0,0,0,0,0,0.4,0.0269,105,2412,42,65,91,4
2019-09-21,5906,470,18,239,9,256,116,25,25992,2163,264,65.04,0,0,0,0,0,0,0,0.34149999999999997,0.0271,82,1995,28,54,77,3
2019-09-22,8665,736,8,287,11,399,114,24,38267,3310,264,65.27,0,0,0,0,0,0,0,0.4118,0.0263,119,3038,49,80,127,3
2019-09-23,8393,804,12,293,12,427,127,34,37090,3666,265,65.31,0,0,0,0,0,0,0,0.32520000000000004,0.0282,123,2975,40,84,129,2
2019-09-24,7227,611,20,270,8,333,101,22,31758,2784,263,64.94,0,0,0,0,0,0,0,0.40630000000000005,0.032,128,2561,52,82,117,2
2019-09-25,7423,570,16,301,8,357,94,24,33258,2670,268,66.21,0,0,0,0,0,0,0,0.38299999999999995,0.024300000000000002,94,2634,36,64,113,2
2019-09-26,7208,584,16,238,7,346,95,19,31545,2656,262,64.68,0,0,0,0,0,0,0,0.4432,0.023700000000000002,88,2493,39,59,131,0
