videoID,day,likes
ZxSxuRWlHCs,2019-09-13,1
ZxSxuRWlHCs,2019-09-14,2575
ZxSxuRWlHCs,2019-09-15,1389
ZxSxuRWlHCs,2019-09-16,976
ZxSxuRWlHCs,2019-09-17,621
ZxSxuRWlHCs,2019-09-18,496
ZxSxuRWlHCs,2019-09-19,424
ZxSxuRWlHCs,2019-09-20,241
ZxSxuRWlHCs,2019-09-21,239
ZxSxuRWlHCs,2019-09-22,287
ZxSxuRWlHCs,2019-09-23,293
ZxSxuRWlHCs,2019-09-24,270
ZxSxuRWlHCs,2019-09-25,301
ZxSxuRWlHCs,2019-09-26,238
ZxSxuRWlHCs,2019-09-27,210
ZxSxuRWlHCs,2019-09-28,240
ZxSxuRWlHCs,2019-09-29,378
ZxSxuRWlHCs,2019-09-30,293
ZxSxuRWlHCs,2019-10-01,289
ZxSxuRWlHCs,2019-10-02,155
ZxSxuRWlHCs,2019-10-03,229
ZxSxuRWlHCs,2019-10-04,189
ZxSxuRWlHCs,2019-10-05,102
ZxSxuRWlHCs,2019-10-06,95
ZxSxuRWlHCs,2019-10-07,51
ZxSxuRWlHCs,2019-10-08,55
ZxSxuRWlHCs,2019-10-09,48
ZxSxuRWlHCs,2019-10-10,61
ZxSxuRWlHCs,2019-10-11,42
ZxSxuRWlHCs,2019-10-12,29
ZxSxuRWlHCs,2019-10-13,47
ZxSxuRWlHCs,2019-10-14,31
ZxSxuRWlHCs,2019-10-15,14
ZxSxuRWlHCs,2019-10-16,13
ZxSxuRWlHCs,2019-10-17,15
ZxSxuRWlHCs,2019-10-18,13
ZxSxuRWlHCs,2019-10-19,11
ZxSxuRWlHCs,2019-10-20,21
ZxSxuRWlHCs,2019-10-21,25
ZxSxuRWlHCs,2019-10-22,19
ZxSxuRWlHCs,2019-10-23,15
ZxSxuRWlHCs,2019-10-24,15
ZxSxuRWlHCs,2019-10-25,20
ZxSxuRWlHCs,2019-10-26,11
ZxSxuRWlHCs,2019-10-27,20
ZxSxuRWlHCs,2019-10-28,7
ZxSxuRWlHCs,2019-10-29,5
ZxSxuRWlHCs,2019-10-30,11
ZxSxuRWlHCs,2019-10-31,8
ZxSxuRWlHCs,2019-11-01,10
ZxSxuRWlHCs,2019-11-02,20
ZxSxuRWlHCs,2019-11-03,13
ZxSxuRWlHCs,2019-11-04,8
ZxSxuRWlHCs,2019-11-05,12
ZxSxuRWlHCs,2019-11-06,19
ZxSxuRWlHCs,2019-11-07,30
ZxSxuRWlHCs,2019-11-08,25
ZxSxuRWlHCs,2019-11-09,50
ZxSxuRWlHCs,2019-11-10,35
ZxSxuRWlHCs,2019-11-11,24
ZxSxuRWlHCs,2019-11-12,51
ZxSxuRWlHCs,2019-11-13,41
ZxSxuRWlHCs,2019-11-14,22
ZxSxuRWlHCs,2019-11-15,41
ZxSxuRWlHCs,2019-11-16,34
ZxSxuRWlHCs,2019-11-17,56
ZxSxuRWlHCs,2019-11-18,39
ZxSxuRWlHCs,2019-11-19,21
ZxSxuRWlHCs,2019-11-20,20
ZxSxuRWlHCs,2019-11-21,17
ZxSxuRWlHCs,2019-11-22,9
ZxSxuRWlHCs,2019-11-23,12
ZxSxuRWlHCs,2019-11-24,21
ZxSxuRWlHCs,2019-11-25,18
ZxSxuRWlHCs,2019-11-26,12
ZxSxuRWlHCs,2019-11-27,12
ZxSxuRWlHCs,2019-11-28,11
ZxSxuRWlHCs,2019-11-29,12
