day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2020-01-27,42405,3568,295,2871,34,2020,349,127,255059,21946,360,71.75,0,0,0,0,0,0,0,0.0455,0.0034000000000000002,88,17554,4,59,131,13
2020-01-28,41511,2829,209,1735,52,1323,412,112,231776,16435,335,66.6,0,0,0,0,0,0,0,0.0159,0.0026,63,15256,1,39,194,13
2020-01-29,17183,1135,77,693,27,489,247,47,91917,6423,320,63.81,0,0,0,0,0,0,0,0.0435,0.0022,23,5881,1,13,98,7
2020-01-30,9469,573,32,334,10,228,144,21,49696,3174,314,62.6,0,0,0,0,0,0,0,0.0625,0.0019,16,3147,1,6,51,3
2020-01-31,7599,462,32,278,1,161,112,12,39898,2532,315,62.63000000000001,0,0,0,0,0,0,0,0.0,0.0012,8,2469,0,3,41,4
2020-02-01,8292,489,29,252,6,183,92,14,44959,2791,325,64.68,0,0,0,0,0,0,0,0.0,0.0021,12,2803,0,6,40,2
2020-02-02,7941,514,34,252,1,162,96,15,43601,2934,329,65.5,0,0,0,0,0,0,0,0.0,0.0026,16,2712,0,7,37,1
2020-02-03,7002,484,18,203,8,135,58,8,37829,2668,324,64.44,0,0,0,0,0,0,0,0.0,0.0017000000000000001,8,2301,0,4,50,3
2020-02-04,5410,380,22,174,6,107,63,8,29474,2123,326,64.99,0,0,0,0,0,0,0,0.0,0.0021,5,1866,0,4,24,4
2020-02-05,5314,340,17,156,1,71,48,19,28669,2093,323,64.36,0,0,0,0,0,0,0,0.0,0.0029,9,1705,0,5,29,1
2020-02-06,4895,341,19,136,2,116,56,11,26664,1994,326,64.98,0,0,0,0,0,0,0,0.0,0.0006,2,1545,0,1,26,0
2020-02-07,4393,243,22,126,4,75,48,5,22892,1364,312,62.16,0,0,0,0,0,0,0,0.0,0.0022,4,1393,0,3,13,0
2020-02-08,4517,308,13,126,6,66,44,8,24454,1705,324,64.58,0,0,0,0,0,0,0,0.0,0.0013,4,1522,0,2,23,0
2020-02-09,3926,240,8,123,5,62,43,3,21325,1305,325,64.79,0,0,0,0,0,0,0,0.0,0.0022,4,1352,0,3,15,0
2020-02-10,3304,235,17,113,2,61,52,4,18160,1434,329,65.56,0,0,0,0,0,0,0,0.0,0.0009,6,1158,0,1,16,0
2020-02-11,3024,203,8,68,2,49,51,3,16248,1183,322,64.1,0,0,0,0,0,0,0,0.0,0.0029,4,1040,0,3,17,0
2020-02-12,2316,165,14,66,0,42,30,5,12625,878,327,65.03,0,0,0,0,0,0,0,0.0,0.0,2,809,0,0,10,1
2020-02-13,1859,144,7,44,1,34,34,3,10038,866,324,64.42,0,0,0,0,0,0,0,0.0,0.0031,2,650,0,2,5,0
2020-02-14,1529,111,8,53,0,38,27,0,8217,605,322,64.11,0,0,0,0,0,0,0,0.0,0.0,0,482,0,0,6,0
2020-02-15,1819,135,4,46,1,31,33,3,9826,805,324,64.44,0,0,0,0,0,0,0,0.5,0.0016,4,642,2,1,5,0
2020-02-16,1882,134,4,45,2,27,24,1,10111,740,322,64.09,0,0,0,0,0,0,0,0.0,0.0015,1,652,0,1,11,2
2020-02-17,1523,106,1,34,1,23,15,5,7764,528,305,60.809999999999995,0,0,0,0,0,0,0,0.0,0.0055000000000000005,3,544,0,3,9,0
2020-02-18,1576,117,8,43,1,30,17,2,8090,645,308,61.24000000000001,0,0,0,0,0,0,0,0.0,0.0,2,540,0,0,11,1
2020-02-19,1492,81,5,37,1,27,22,0,7699,435,309,61.56,0,0,0,0,0,0,0,0.0,0.004,4,502,0,2,4,0
2020-02-20,1604,102,6,50,0,28,23,5,8310,622,310,61.8,0,0,0,0,0,0,0,0.0,0.0018,2,543,0,1,13,1
2020-02-21,2698,196,10,72,1,35,16,2,15041,1100,334,66.5,0,0,0,0,0,0,0,0.3333,0.0059,6,841,2,5,13,1
2020-02-22,3813,260,5,100,4,70,19,6,21467,1581,337,67.16,0,0,0,0,0,0,0,0.0,0.0032,9,1245,0,4,23,1
2020-02-23,4443,279,14,114,7,63,37,4,24265,1626,327,65.15,0,0,0,0,0,0,0,0.0,0.0013,3,1519,0,2,21,0
2020-02-24,4070,225,14,93,4,59,26,5,21655,1273,319,63.470000000000006,0,0,0,0,0,0,0,0.15380000000000002,0.0059,13,1367,2,8,15,0
2020-02-25,3354,193,14,67,1,50,23,13,17472,1154,312,62.13999999999999,0,0,0,0,0,0,0,0.0,0.0054,4,1114,0,6,16,1
2020-02-26,4072,207,15,91,5,62,27,10,20682,1179,304,60.589999999999996,0,0,0,0,0,0,0,0.0,0.0046,9,1307,0,6,19,0
2020-02-27,3812,163,5,64,2,34,24,7,19005,902,299,59.47,0,0,0,0,0,0,0,0.0,0.0049,8,1226,0,6,18,1
2020-02-28,2510,88,10,44,1,26,19,1,12221,487,292,58.08,0,0,0,0,0,0,0,0.0,0.0013,2,758,0,1,7,0
2020-02-29,2612,131,5,52,0,48,27,4,12986,698,298,59.31000000000001,0,0,0,0,0,0,0,0.0,0.0034000000000000002,5,875,0,3,12,1
2020-03-01,2325,109,5,33,1,43,21,2,11815,617,304,60.62,0,0,0,0,0,0,0,0.0,0.0067,5,749,0,5,6,1
2020-03-02,2231,113,1,53,1,29,14,2,11181,635,300,59.78,0,0,0,0,0,0,0,0.0,0.0014000000000000002,3,719,0,1,8,1
2020-03-03,1701,103,8,37,0,39,19,1,8765,626,309,61.47,0,0,0,0,0,0,0,0.0,0.0049,4,618,0,3,7,0
2020-03-04,1303,58,4,23,2,21,15,3,6598,341,303,60.4,0,0,0,0,0,0,0,0.0,0.0025,1,400,0,1,5,1
