videoID,day,likes
_GeapdGbGEc,2020-01-27,2871
_GeapdGbGEc,2020-01-28,1735
_GeapdGbGEc,2020-01-29,693
_GeapdGbGEc,2020-01-30,334
_GeapdGbGEc,2020-01-31,278
_GeapdGbGEc,2020-02-01,252
_GeapdGbGEc,2020-02-02,252
_GeapdGbGEc,2020-02-03,203
_GeapdGbGEc,2020-02-04,174
_GeapdGbGEc,2020-02-05,156
_GeapdGbGEc,2020-02-06,136
_GeapdGbGEc,2020-02-07,126
_GeapdGbGEc,2020-02-08,126
_GeapdGbGEc,2020-02-09,123
_GeapdGbGEc,2020-02-10,113
_GeapdGbGEc,2020-02-11,68
_GeapdGbGEc,2020-02-12,66
_GeapdGbGEc,2020-02-13,44
_GeapdGbGEc,2020-02-14,53
_GeapdGbGEc,2020-02-15,46
_GeapdGbGEc,2020-02-16,45
_GeapdGbGEc,2020-02-17,34
_GeapdGbGEc,2020-02-18,43
_GeapdGbGEc,2020-02-19,37
_GeapdGbGEc,2020-02-20,50
_GeapdGbGEc,2020-02-21,72
_GeapdGbGEc,2020-02-22,100
_GeapdGbGEc,2020-02-23,114
_GeapdGbGEc,2020-02-24,93
_GeapdGbGEc,2020-02-25,67
_GeapdGbGEc,2020-02-26,91
_GeapdGbGEc,2020-02-27,64
_GeapdGbGEc,2020-02-28,44
_GeapdGbGEc,2020-02-29,52
_GeapdGbGEc,2020-03-01,33
_GeapdGbGEc,2020-03-02,53
_GeapdGbGEc,2020-03-03,37
_GeapdGbGEc,2020-03-04,23
_GeapdGbGEc,2020-03-05,24
_GeapdGbGEc,2020-03-06,24
_GeapdGbGEc,2020-03-07,40
_GeapdGbGEc,2020-03-08,18
_GeapdGbGEc,2020-03-09,16
_GeapdGbGEc,2020-03-10,13
_GeapdGbGEc,2020-03-11,8
_GeapdGbGEc,2020-03-12,17
_GeapdGbGEc,2020-03-13,10
_GeapdGbGEc,2020-03-14,8
_GeapdGbGEc,2020-03-15,8
_GeapdGbGEc,2020-03-16,9
_GeapdGbGEc,2020-03-17,7
_GeapdGbGEc,2020-03-18,4
_GeapdGbGEc,2020-03-19,5
_GeapdGbGEc,2020-03-20,6
_GeapdGbGEc,2020-03-21,8
_GeapdGbGEc,2020-03-22,4
_GeapdGbGEc,2020-03-23,13
_GeapdGbGEc,2020-03-24,7
_GeapdGbGEc,2020-03-25,9
_GeapdGbGEc,2020-03-26,3
_GeapdGbGEc,2020-03-27,6
_GeapdGbGEc,2020-03-28,3
_GeapdGbGEc,2020-03-29,3
_GeapdGbGEc,2020-03-30,5
_GeapdGbGEc,2020-03-31,7
_GeapdGbGEc,2020-04-01,1
_GeapdGbGEc,2020-04-02,6
_GeapdGbGEc,2020-04-03,5
_GeapdGbGEc,2020-04-04,5
_GeapdGbGEc,2020-04-05,10
_GeapdGbGEc,2020-04-06,7
_GeapdGbGEc,2020-04-07,8
_GeapdGbGEc,2020-04-08,7
_GeapdGbGEc,2020-04-09,10
_GeapdGbGEc,2020-04-10,5
_GeapdGbGEc,2020-04-11,3
_GeapdGbGEc,2020-04-12,5
_GeapdGbGEc,2020-04-13,5
_GeapdGbGEc,2020-04-14,2
_GeapdGbGEc,2020-04-15,7
_GeapdGbGEc,2020-04-16,2
_GeapdGbGEc,2020-04-17,2
_GeapdGbGEc,2020-04-18,6
_GeapdGbGEc,2020-04-19,4
_GeapdGbGEc,2020-04-20,4
_GeapdGbGEc,2020-04-21,7
_GeapdGbGEc,2020-04-22,4
_GeapdGbGEc,2020-04-23,1
_GeapdGbGEc,2020-04-24,12
_GeapdGbGEc,2020-04-25,22
_GeapdGbGEc,2020-04-26,28
_GeapdGbGEc,2020-04-27,30
_GeapdGbGEc,2020-04-28,18
_GeapdGbGEc,2020-04-29,45
_GeapdGbGEc,2020-04-30,34
_GeapdGbGEc,2020-05-01,34
_GeapdGbGEc,2020-05-02,27
_GeapdGbGEc,2020-05-03,36
_GeapdGbGEc,2020-05-04,41
_GeapdGbGEc,2020-05-05,39
_GeapdGbGEc,2020-05-06,33
_GeapdGbGEc,2020-05-07,34
_GeapdGbGEc,2020-05-08,41
_GeapdGbGEc,2020-05-09,34
_GeapdGbGEc,2020-05-10,54
_GeapdGbGEc,2020-05-11,84
_GeapdGbGEc,2020-05-12,75
_GeapdGbGEc,2020-05-13,128
_GeapdGbGEc,2020-05-14,113
_GeapdGbGEc,2020-05-15,131
_GeapdGbGEc,2020-05-16,175
_GeapdGbGEc,2020-05-17,358
_GeapdGbGEc,2020-05-18,416
_GeapdGbGEc,2020-05-19,412
_GeapdGbGEc,2020-05-20,238
_GeapdGbGEc,2020-05-21,260
_GeapdGbGEc,2020-05-22,196
_GeapdGbGEc,2020-05-23,114
_GeapdGbGEc,2020-05-24,136
_GeapdGbGEc,2020-05-25,126
_GeapdGbGEc,2020-05-26,119
_GeapdGbGEc,2020-05-27,139
_GeapdGbGEc,2020-05-28,76
_GeapdGbGEc,2020-05-29,80
_GeapdGbGEc,2020-05-30,39
_GeapdGbGEc,2020-05-31,27
_GeapdGbGEc,2020-06-01,43
_GeapdGbGEc,2020-06-02,54
_GeapdGbGEc,2020-06-03,36
_GeapdGbGEc,2020-06-04,30
_GeapdGbGEc,2020-06-05,30
_GeapdGbGEc,2020-06-06,21
_GeapdGbGEc,2020-06-07,22
_GeapdGbGEc,2020-06-08,28
_GeapdGbGEc,2020-06-09,27
_GeapdGbGEc,2020-06-10,29
_GeapdGbGEc,2020-06-11,24
_GeapdGbGEc,2020-06-12,23
_GeapdGbGEc,2020-06-13,10
_GeapdGbGEc,2020-06-14,12
_GeapdGbGEc,2020-06-15,13
_GeapdGbGEc,2020-06-16,13
_GeapdGbGEc,2020-06-17,1
_GeapdGbGEc,2020-06-18,8
_GeapdGbGEc,2020-06-19,10
_GeapdGbGEc,2020-06-20,9
_GeapdGbGEc,2020-06-21,10
_GeapdGbGEc,2020-06-22,8
_GeapdGbGEc,2020-06-23,6
_GeapdGbGEc,2020-06-24,12
_GeapdGbGEc,2020-06-25,18
_GeapdGbGEc,2020-06-26,7
_GeapdGbGEc,2020-06-27,18
_GeapdGbGEc,2020-06-28,10
_GeapdGbGEc,2020-06-29,11
_GeapdGbGEc,2020-06-30,11
_GeapdGbGEc,2020-07-01,10
_GeapdGbGEc,2020-07-02,8
_GeapdGbGEc,2020-07-03,10
_GeapdGbGEc,2020-07-04,13
_GeapdGbGEc,2020-07-05,12
_GeapdGbGEc,2020-07-06,27
_GeapdGbGEc,2020-07-07,30
_GeapdGbGEc,2020-07-08,20
_GeapdGbGEc,2020-07-09,16
