day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2019-01-01,68,7,0,2,0,2,4,0,363,28,320,64.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-02,86,5,0,2,0,0,1,0,541,40,377,75.42,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2019-01-03,74,4,1,5,0,0,1,0,385,22,312,62.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-04,52,0,0,1,0,4,2,0,290,0,335,67.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-05,67,2,0,2,0,2,1,0,392,15,351,70.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-06,82,1,0,2,0,2,1,0,466,8,341,68.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-07,68,7,0,2,0,2,1,0,413,46,364,72.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-08,79,7,0,3,0,0,2,0,442,22,335,67.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-09,94,3,0,2,0,1,0,0,600,12,383,76.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-10,57,7,0,1,0,0,2,0,307,37,324,64.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-11,67,4,0,0,0,3,1,0,370,24,332,66.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-12,80,2,2,2,0,3,2,0,503,8,377,75.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-13,80,5,0,2,0,4,0,0,442,34,332,66.28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-01-14,111,8,0,5,0,2,2,0,597,36,323,64.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-15,125,9,1,2,0,4,0,0,726,43,348,69.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-16,149,6,0,2,0,2,0,1,913,26,367,73.39,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-01-17,204,10,0,5,0,8,0,1,1098,64,323,64.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-18,146,1,0,7,0,5,1,0,841,1,345,69.04,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-01-19,164,6,0,4,0,2,0,1,897,49,328,65.57,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-01-20,240,15,0,1,0,2,0,0,1353,98,338,67.56,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2019-01-21,253,16,0,10,0,8,1,1,1357,85,321,64.24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-01-22,195,6,0,4,0,2,0,0,1090,37,335,66.97,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-01-23,154,7,0,4,0,2,2,1,848,25,330,65.97,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2019-01-24,164,7,1,1,0,2,1,0,902,36,330,65.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-25,233,6,1,5,0,5,3,0,1222,27,314,62.84,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-01-26,408,30,0,10,0,5,2,2,2288,167,336,67.17,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2019-01-27,279,17,0,9,0,14,5,0,1515,66,326,65.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-28,222,15,1,4,1,4,1,1,1137,83,307,61.38,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-01-29,277,13,1,7,0,6,4,0,1546,74,334,66.85,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-01-30,252,8,0,6,0,3,3,0,1340,40,319,63.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-31,307,11,0,6,4,10,1,0,1688,64,329,65.86,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2019-02-01,276,8,0,7,1,11,5,2,1557,52,338,67.58,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2019-02-02,553,30,1,10,2,17,1,2,2966,165,321,64.23,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-02-03,427,19,0,8,1,9,5,0,2248,142,315,63.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-04,376,25,1,9,0,7,3,0,1960,152,312,62.44,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2019-02-05,268,17,0,3,0,6,4,0,1393,100,311,62.27,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2019-02-06,235,18,0,3,1,5,5,0,1325,99,338,67.52,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2019-02-07,185,9,0,2,0,4,2,0,898,39,291,58.15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-02-08,221,7,0,7,0,3,2,0,1211,25,329,65.67,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-02-09,355,15,0,6,0,7,2,0,1586,50,268,53.53,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-02-10,470,16,0,4,1,4,1,0,2132,78,272,54.339999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2019-02-11,626,30,0,5,0,8,2,0,2943,146,282,56.31,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2019-02-12,701,40,0,8,1,18,1,0,3168,200,271,54.14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-02-13,727,33,0,10,0,9,3,3,3328,158,274,54.83,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2019-02-14,835,28,0,11,1,16,2,0,3742,137,268,53.67999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
2019-02-15,374,10,0,9,0,10,3,0,1621,44,260,51.910000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2019-02-16,315,13,0,9,0,6,1,0,1589,77,302,60.41,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2019-02-17,495,27,1,12,0,13,4,0,2656,163,321,64.27,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1
2019-02-18,585,35,1,10,0,9,3,1,3021,163,309,61.85000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
2019-02-19,554,34,4,8,2,8,6,1,2832,160,306,61.24000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
2019-02-20,641,23,0,6,0,9,3,3,3258,149,305,60.88,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2019-02-21,609,25,1,9,0,9,1,1,3140,157,309,61.77,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2019-02-22,824,35,0,14,1,13,4,0,4123,179,300,59.92000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2019-02-23,677,27,0,7,1,7,3,1,3483,154,308,61.62,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
2019-02-24,719,29,1,9,0,12,7,0,3713,159,309,61.85000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
2019-02-25,989,41,0,11,0,17,5,0,4944,158,299,59.870000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
2019-02-26,1688,81,0,20,1,23,5,1,8453,451,300,59.97,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
2019-02-27,1528,82,0,19,1,24,6,0,7564,405,297,59.29,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
2019-02-28,765,33,2,10,0,9,4,2,4111,185,322,64.36,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
