day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2016-06-08,944,33,17,84,0,30,4,6,6357,220,404,49.7,0.009899999999999999,0.0602,878,704,797,7,48,0.0,0.0,0,16,0,0,4,1
2016-06-09,643,12,10,36,0,6,1,3,3748,52,349,43.03,0.002,0.07139999999999999,600,488,546,1,39,0.0,0.0,0,10,0,0,10,0
2016-06-10,320,7,0,10,0,5,3,2,1570,59,294,36.23,0.005,0.0736,252,202,231,1,17,0.0,0.0,0,4,0,0,1,0
2016-06-11,196,2,0,8,0,1,1,3,882,20,270,33.21,0.0,0.0365,152,118,137,0,5,0.0,0.0,0,0,0,0,0,0
2016-06-12,180,5,0,7,0,3,3,1,1052,67,350,43.14,0.0,0.0629,159,128,143,0,9,0.0,0.0,0,1,0,0,0,0
2016-06-13,132,2,1,2,0,2,0,2,757,13,344,42.38,0.0,0.059800000000000006,130,104,117,0,7,0.0,0.0,0,1,0,0,1,0
2016-06-14,95,4,1,3,0,2,0,0,550,15,347,42.76,0.0,0.0495,113,89,101,0,5,0.0,0.0,0,1,0,0,0,0
2016-06-15,77,0,0,2,0,1,0,0,486,0,379,46.68,0.0286,0.1519,84,70,79,2,12,0.0,0.0,0,1,0,0,0,0
2016-06-16,80,2,0,1,0,2,0,0,486,14,364,44.88,0.0,0.0702,63,51,57,0,4,0.0,0.0,0,1,0,0,0,0
2016-06-17,69,2,0,4,0,0,0,1,386,13,336,41.34,0.0,0.0,43,35,39,0,0,0.0,0.0,0,0,0,0,0,0
2016-06-18,66,1,2,4,0,1,0,0,392,4,356,43.9,0.02,0.0351,64,50,57,1,2,0.0,0.0,0,0,0,0,1,0
2016-06-19,63,0,0,1,0,2,1,0,333,0,317,39.03,0.0,0.0556,39,33,36,0,2,0.0,0.0,0,0,0,0,0,0
2016-06-20,59,3,0,0,0,1,1,0,386,15,393,48.39,0.0,0.0,88,68,78,0,0,0.0,0.0,0,0,0,0,0,0
2016-06-21,71,1,0,3,0,2,0,0,344,0,290,35.78,0.0,0.0227,49,39,44,0,1,0.0,0.0,0,0,0,0,0,0
2016-06-22,75,0,0,1,0,0,0,0,436,0,349,42.94,0.0,0.087,49,43,46,0,4,0.0,0.0,0,0,0,0,0,0
2016-06-23,91,1,2,3,0,0,0,0,598,13,394,48.55,0.0,0.046900000000000004,70,58,64,0,3,0.0,0.0,0,0,0,0,0,0
2016-06-24,60,0,0,1,0,1,0,1,285,0,285,35.12,0.0,0.5,15,13,14,0,7,0.0,0.0,0,0,0,0,1,0
2016-06-25,82,1,1,-2,0,1,1,0,496,11,363,44.66,0.0,0.0698,49,39,43,0,3,0.0,0.0,0,0,0,0,0,0
2016-06-26,81,3,1,0,0,1,1,3,450,6,333,41.03,0.02,0.0179,62,50,56,1,1,0.0,0.0,0,0,0,0,0,0
2016-06-27,89,3,0,1,0,2,0,1,459,2,309,38.08,0.0,0.046900000000000004,70,58,64,0,3,0.0,0.0,0,0,0,0,1,0
2016-06-28,70,3,0,0,0,1,0,0,335,15,287,35.32,0.0,0.0645,34,28,31,0,2,0.0,0.0,0,0,0,0,0,0
2016-06-29,55,1,0,0,0,1,0,0,287,0,313,38.56,0.0,0.0,36,28,33,0,0,0.0,0.0,0,0,0,0,0,0
2016-06-30,45,0,0,0,0,2,0,0,279,0,372,45.79,0.0,0.015600000000000001,72,56,64,0,1,0.0,0.0,0,0,0,0,0,0
2016-07-01,54,1,0,0,0,1,0,0,286,13,318,39.18,0.0,0.04,27,21,25,0,1,0.0,0.0,0,0,0,0,0,0
2016-07-02,66,0,0,0,0,0,0,0,442,0,402,49.53,0.0,0.0,71,55,64,0,0,0.0,0.0,0,0,0,0,0,0
2016-07-03,88,1,1,1,0,0,1,0,619,2,422,51.95000000000001,0.0,0.0484,68,54,62,0,3,0.0,0.0,0,0,0,0,1,0
2016-07-04,145,8,0,1,0,0,1,0,1173,60,485,59.73,0.005600000000000001,0.0483,231,177,207,1,10,0.0,0.0,0,0,0,0,0,0
2016-07-05,206,2,1,2,0,1,0,0,1482,9,431,53.12,0.0037,0.035699999999999996,343,269,308,1,11,0.0,0.0,0,0,0,0,1,0
2016-07-06,160,0,0,3,0,1,1,0,1098,0,411,50.67,0.0075,0.0588,169,133,153,1,9,0.0,0.0,0,0,0,0,2,0
2016-07-07,118,0,1,2,0,0,0,0,637,0,324,39.88,0.0,0.0917,121,97,109,0,10,0.0,0.0,0,0,0,0,0,0
2016-07-08,93,0,0,3,0,0,0,0,566,0,365,44.98,0.0139,0.048799999999999996,90,72,82,1,4,0.0,0.0,0,0,0,0,0,0
2016-07-09,120,0,1,1,0,0,0,2,712,0,356,43.82,0.0,0.04,137,109,125,0,5,0.0,0.0,0,0,0,0,1,0
2016-07-10,113,4,0,2,0,1,0,0,636,23,338,41.6,0.0,0.0471,93,75,85,0,4,0.0,0.0,0,0,0,0,0,0
2016-07-11,95,0,0,3,0,0,0,0,543,0,343,42.23,0.0,0.0536,124,98,112,0,6,0.0,0.0,0,0,0,0,1,0
2016-07-12,103,1,0,2,0,1,0,0,647,3,377,46.37,0.0,0.0625,70,56,64,0,4,0.0,0.0,0,0,0,0,1,0
2016-07-13,103,1,0,1,0,1,1,0,649,9,378,46.56,0.0,0.0125,91,67,80,0,1,0.0,0.0,0,0,0,0,0,0
2016-07-14,107,2,0,1,0,0,0,0,674,13,378,46.5,0.0,0.0,135,99,119,0,0,0.0,0.0,0,0,0,0,1,0
2016-07-15,105,0,1,1,0,0,1,0,521,0,297,36.65,0.0,0.0175,65,47,57,0,1,0.0,0.0,0,0,0,0,0,0
2016-07-16,105,3,1,2,0,0,0,1,591,14,337,41.55,0.0,0.0,93,67,81,0,0,0.0,0.0,0,0,0,0,1,0
2016-07-17,95,0,0,0,0,0,1,0,477,0,301,37.08,0.0,0.012,94,70,83,0,1,0.0,0.0,0,0,0,0,0,0
2016-07-18,83,0,1,1,0,0,0,1,404,0,292,35.96,0.0,0.0,52,40,46,0,0,0.0,0.0,0,0,0,0,1,0
2016-07-19,69,1,0,0,0,2,0,1,439,13,382,47.01,0.0,0.0,68,52,60,0,0,0.0,0.0,0,0,0,0,0,0
2016-07-20,66,0,2,1,0,0,0,0,353,0,321,39.57,0.0,0.0,46,34,40,0,0,0.0,0.0,0,0,0,0,0,0
2016-07-21,62,1,0,0,0,1,0,0,329,3,318,39.21,0.0,0.02,57,43,50,0,1,0.0,0.0,0,0,0,0,0,0
2016-07-22,70,3,0,0,0,0,0,0,351,6,301,37.11,0.0278,0.0,48,36,42,1,0,0.0,0.0,0,0,0,0,0,0
