videoID,day,likes
_aRAoM1i0D4,2016-06-08,84
_aRAoM1i0D4,2016-06-09,36
_aRAoM1i0D4,2016-06-10,10
_aRAoM1i0D4,2016-06-11,8
_aRAoM1i0D4,2016-06-12,7
_aRAoM1i0D4,2016-06-13,2
_aRAoM1i0D4,2016-06-14,3
_aRAoM1i0D4,2016-06-15,2
_aRAoM1i0D4,2016-06-16,1
_aRAoM1i0D4,2016-06-17,4
_aRAoM1i0D4,2016-06-18,4
_aRAoM1i0D4,2016-06-19,1
_aRAoM1i0D4,2016-06-20,0
_aRAoM1i0D4,2016-06-21,3
_aRAoM1i0D4,2016-06-22,1
_aRAoM1i0D4,2016-06-23,3
_aRAoM1i0D4,2016-06-24,1
_aRAoM1i0D4,2016-06-25,-2
_aRAoM1i0D4,2016-06-26,0
_aRAoM1i0D4,2016-06-27,1
_aRAoM1i0D4,2016-06-28,0
_aRAoM1i0D4,2016-06-29,0
_aRAoM1i0D4,2016-06-30,0
_aRAoM1i0D4,2016-07-01,0
_aRAoM1i0D4,2016-07-02,0
_aRAoM1i0D4,2016-07-03,1
_aRAoM1i0D4,2016-07-04,1
_aRAoM1i0D4,2016-07-05,2
_aRAoM1i0D4,2016-07-06,3
_aRAoM1i0D4,2016-07-07,2
_aRAoM1i0D4,2016-07-08,3
_aRAoM1i0D4,2016-07-09,1
_aRAoM1i0D4,2016-07-10,2
_aRAoM1i0D4,2016-07-11,3
_aRAoM1i0D4,2016-07-12,2
_aRAoM1i0D4,2016-07-13,1
_aRAoM1i0D4,2016-07-14,1
_aRAoM1i0D4,2016-07-15,1
_aRAoM1i0D4,2016-07-16,2
_aRAoM1i0D4,2016-07-17,0
_aRAoM1i0D4,2016-07-18,1
_aRAoM1i0D4,2016-07-19,0
_aRAoM1i0D4,2016-07-20,1
_aRAoM1i0D4,2016-07-21,0
_aRAoM1i0D4,2016-07-22,0
_aRAoM1i0D4,2016-07-23,1
_aRAoM1i0D4,2016-07-24,3
_aRAoM1i0D4,2016-07-25,1
_aRAoM1i0D4,2016-07-26,2
_aRAoM1i0D4,2016-07-27,1
_aRAoM1i0D4,2016-07-28,2
_aRAoM1i0D4,2016-07-29,0
_aRAoM1i0D4,2016-07-30,0
_aRAoM1i0D4,2016-07-31,1
_aRAoM1i0D4,2016-08-01,1
_aRAoM1i0D4,2016-08-02,0
_aRAoM1i0D4,2016-08-03,0
_aRAoM1i0D4,2016-08-04,1
_aRAoM1i0D4,2016-08-05,1
_aRAoM1i0D4,2016-08-06,0
_aRAoM1i0D4,2016-08-07,3
_aRAoM1i0D4,2016-08-08,1
_aRAoM1i0D4,2016-08-09,1
_aRAoM1i0D4,2016-08-10,3
_aRAoM1i0D4,2016-08-11,1
_aRAoM1i0D4,2016-08-12,1
_aRAoM1i0D4,2016-08-13,0
_aRAoM1i0D4,2016-08-14,0
_aRAoM1i0D4,2016-08-15,2
_aRAoM1i0D4,2016-08-16,1
_aRAoM1i0D4,2016-08-17,0
_aRAoM1i0D4,2016-08-18,0
_aRAoM1i0D4,2016-08-19,0
_aRAoM1i0D4,2016-08-20,1
_aRAoM1i0D4,2016-08-21,3
_aRAoM1i0D4,2016-08-22,0
_aRAoM1i0D4,2016-08-23,1
_aRAoM1i0D4,2016-08-24,2
_aRAoM1i0D4,2016-08-25,0
_aRAoM1i0D4,2016-08-26,0
_aRAoM1i0D4,2016-08-27,1
_aRAoM1i0D4,2016-08-28,0
_aRAoM1i0D4,2016-08-29,0
_aRAoM1i0D4,2016-08-30,1
_aRAoM1i0D4,2016-08-31,5
_aRAoM1i0D4,2016-09-01,4
_aRAoM1i0D4,2016-09-02,0
