day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2016-07-01,522,22,7,59,0,14,4,8,2077,94,238,71.49,0.0048,0.114,210,210,114,1,13,0,0.0,0,4,0,0,1,0
2016-07-02,684,26,3,44,0,7,0,5,2576,103,226,67.66,0.0028000000000000004,0.1316,362,362,190,1,25,0,0.0,0,9,0,0,7,0
2016-07-03,1156,27,5,35,0,9,1,20,4303,101,223,66.87,0.0108,0.0723,1107,1107,844,12,61,0,0.0,0,17,0,0,10,0
2016-07-04,7016,90,3,114,1,26,2,41,23257,312,198,59.54999999999999,0.0068000000000000005,0.0701,7307,7307,5674,50,398,0,0.0,0,71,0,0,49,2
2016-07-05,14092,128,9,194,2,49,7,81,47615,493,202,60.699999999999996,0.0096,0.0738,18177,18177,14165,175,1045,0,0.0,0,158,0,0,75,0
2016-07-06,8823,82,4,131,2,25,5,34,29378,288,199,59.81999999999999,0.0076,0.0713,9382,9382,7280,71,519,0,0.0,0,105,0,0,53,0
2016-07-07,2923,23,2,39,1,11,0,13,9702,74,199,59.63,0.0048,0.0683,2905,2905,2254,14,154,0,0.0,0,37,0,0,15,0
2016-07-08,1727,13,0,23,1,6,3,10,5628,45,195,58.540000000000006,0.0091,0.0682,1865,1865,1451,17,99,0,0.0,0,25,0,0,6,0
2016-07-09,1469,14,2,15,0,7,1,1,4526,54,184,55.35,0.0053,0.0545,1519,1519,1174,8,64,0,0.0,0,12,0,0,8,0
2016-07-10,742,7,1,7,1,7,1,2,2339,18,189,56.65,0.0078000000000000005,0.061200000000000004,769,769,605,6,37,0,0.0,0,7,0,0,4,0
2016-07-11,505,3,0,3,0,4,1,1,1519,6,180,54.05,0.0098,0.0827,509,509,399,5,33,0,0.0,0,4,0,0,3,0
2016-07-12,685,9,1,10,1,5,1,3,2035,24,178,53.38,0.004699999999999999,0.050199999999999995,638,638,478,3,24,0,0.0,0,7,0,0,5,0
2016-07-13,771,5,2,15,1,5,3,3,2486,21,193,57.93000000000001,0.0051,0.0288,780,780,556,4,16,0,0.0,0,6,0,0,3,0
2016-07-14,545,3,0,5,0,1,1,2,1630,1,179,53.76,0.0141,0.0144,497,497,348,7,5,0,0.0,0,6,0,0,3,0
2016-07-15,377,1,0,2,0,1,1,1,1115,0,177,53.16,0.0044,0.0,225,225,153,1,0,0,0.0,0,4,0,0,2,0
2016-07-16,373,2,0,5,0,0,0,1,1130,0,181,54.449999999999996,0.0037,0.0262,273,273,191,1,5,0,0.0,0,3,0,0,1,0
2016-07-17,343,6,0,7,0,0,2,6,1013,6,177,53.06999999999999,0.0037,0.0148,269,269,203,1,3,0,0.0,0,1,0,0,3,0
2016-07-18,307,1,1,6,0,2,0,2,860,5,168,50.34,0.0,0.024399999999999998,215,215,164,0,4,0,0.0,0,5,0,0,1,0
2016-07-19,323,0,1,5,0,1,0,2,979,0,181,54.48,0.0062,0.037000000000000005,324,324,243,2,9,0,0.0,0,2,0,0,1,0
2016-07-20,298,1,1,5,0,2,1,0,977,1,196,58.9,0.0155,0.0137,386,386,291,6,4,0,0.0,0,2,0,0,2,0
2016-07-21,234,4,0,2,0,2,0,0,758,10,194,58.25,0.011200000000000002,0.024900000000000002,269,269,201,3,5,0,0.0,0,2,0,0,0,0
2016-07-22,180,1,0,1,0,0,0,6,524,0,174,52.38,0.0,0.0275,146,146,109,0,3,0,0.0,0,1,0,0,0,0
2016-07-23,150,1,0,2,0,1,1,0,443,5,177,53.12,0.0187,0.049400000000000006,107,107,81,2,4,0,0.0,0,3,0,0,0,0
2016-07-24,155,4,1,4,0,0,0,0,426,5,165,49.48,0.0,0.0,87,87,66,0,0,0,0.0,0,0,0,0,0,0
2016-07-25,139,0,0,3,0,2,0,2,377,0,163,48.82,0.0128,0.0508,78,78,59,1,3,0,0.0,0,0,0,0,2,0
