day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2021-03-04,21873,3015,99,1812,29,1481,433,111,19301,2752,52,88.24,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14
2021-03-05,6634,780,14,410,15,184,195,31,5588,722,50,84.24,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3
2021-03-06,10005,1165,11,404,10,92,101,37,7781,900,46,77.77,0,0,0,0,0,0,0,0,0,0,0,0,0,37,1
2021-03-07,7804,919,9,322,4,45,69,44,6518,862,50,83.52,0,0,0,0,0,0,0,0,0,0,0,0,0,37,2
2021-03-08,5472,681,6,265,6,57,35,29,4144,546,45,75.74,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1
2021-03-09,4497,488,6,217,3,26,32,20,3362,467,44,74.76,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3
2021-03-10,3707,475,1,154,2,17,29,28,2785,407,45,75.13,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1
2021-03-11,3418,431,4,160,5,10,17,20,2599,339,45,76.04,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0
2021-03-12,3831,497,3,167,3,12,12,24,2717,380,42,70.93,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1
2021-03-13,2225,224,1,101,0,14,17,20,1591,176,42,71.51,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
2021-03-14,2308,268,4,114,1,9,19,19,1652,208,42,71.58,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
2021-03-15,2414,307,1,126,3,13,13,17,1645,224,40,68.15,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
2021-03-16,2774,361,2,151,2,8,11,29,2276,369,49,82.06,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1
2021-03-17,2077,242,1,101,5,19,5,11,1836,239,53,88.43,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1
2021-03-18,2521,287,0,134,2,21,10,29,1828,263,43,72.53,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2
2021-03-19,3072,360,2,153,8,20,8,38,2243,360,43,73.02,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0
2021-03-20,3870,489,2,210,7,17,9,47,2810,399,43,72.63,0,0,0,0,0,0,0,0,0,0,0,0,0,30,2
2021-03-21,4443,578,9,210,7,7,8,33,3384,468,45,76.18,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
2021-03-22,6214,735,3,274,5,10,5,73,4347,636,41,69.96,0,0,0,0,0,0,0,0,0,0,0,0,0,46,1
2021-03-23,7057,870,2,310,14,18,7,47,4823,677,41,68.35,0,0,0,0,0,0,0,0,0,0,0,0,0,52,2
2021-03-24,8402,980,8,423,15,13,9,87,6167,846,44,73.4,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0
2021-03-25,7771,893,3,382,15,9,3,68,5477,653,42,70.48,0,0,0,0,0,0,0,0,0,0,0,0,0,63,2
2021-03-26,7967,898,10,394,12,21,13,92,5829,727,43,73.17,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0
2021-03-27,10633,1188,9,553,9,17,5,118,8186,915,46,76.99,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0
2021-03-28,12559,1430,11,577,25,11,9,117,9566,1307,45,76.17,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0
2021-03-29,12786,1386,10,628,18,9,9,98,9227,1073,43,72.17,0,0,0,0,0,0,0,0,0,0,0,0,0,101,2
2021-03-30,13283,1451,11,699,19,18,4,140,9581,1120,43,72.13,0,0,0,0,0,0,0,0,0,0,0,0,0,92,4
2021-03-31,12988,1279,7,593,24,11,4,126,9434,944,43,72.64,0,0,0,0,0,0,0,0,0,0,0,0,0,96,1
2021-04-01,13263,1307,8,681,23,23,6,113,9659,1032,43,72.83,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0
2021-04-02,12780,1296,9,654,22,15,11,129,9088,918,42,71.12,0,0,0,0,0,0,0,0,0,0,0,0,0,89,2
