videoID,channelID,day,views
eZ_Sys5EM2c,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-14,3
jVSSFv3JBOg,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-07,62414
jVSSFv3JBOg,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-08,74787
jVSSFv3JBOg,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-09,98129
jVSSFv3JBOg,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-10,114027
jVSSFv3JBOg,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-11,89201
jVSSFv3JBOg,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-12,83244
jVSSFv3JBOg,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-13,74457
jVSSFv3JBOg,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-14,58740
e8U6S08uP0o,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-03,3244
e8U6S08uP0o,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-04,2316
e8U6S08uP0o,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-05,2530
e8U6S08uP0o,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-06,2444
e8U6S08uP0o,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-07,2373
e8U6S08uP0o,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-08,1289
e8U6S08uP0o,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-09,1138
e8U6S08uP0o,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-10,1031
e8U6S08uP0o,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-11,1100
e8U6S08uP0o,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-12,1154
e8U6S08uP0o,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-13,1265
e8U6S08uP0o,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-14,1469
rsa92VNVY7A,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-03,2456
rsa92VNVY7A,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-04,2570
rsa92VNVY7A,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-05,2385
rsa92VNVY7A,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-06,2842
rsa92VNVY7A,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-07,2702
rsa92VNVY7A,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-08,2115
rsa92VNVY7A,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-09,2896
rsa92VNVY7A,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-10,3370
rsa92VNVY7A,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-11,2134
rsa92VNVY7A,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-12,2508
rsa92VNVY7A,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-13,1841
rsa92VNVY7A,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-14,1916
HuIxSkD6wsA,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-03,10069
HuIxSkD6wsA,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-04,11535
HuIxSkD6wsA,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-05,11924
HuIxSkD6wsA,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-06,15789
HuIxSkD6wsA,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-07,13315
HuIxSkD6wsA,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-08,14427
HuIxSkD6wsA,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-09,16942
HuIxSkD6wsA,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-10,11259
HuIxSkD6wsA,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-11,18666
HuIxSkD6wsA,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-12,14753
HuIxSkD6wsA,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-13,20592
HuIxSkD6wsA,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-14,22213
sZZVVwqZ0rs,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-03,1534
sZZVVwqZ0rs,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-04,1571
sZZVVwqZ0rs,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-05,1224
sZZVVwqZ0rs,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-06,1324
sZZVVwqZ0rs,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-07,1316
sZZVVwqZ0rs,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-08,1304
sZZVVwqZ0rs,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-09,1325
sZZVVwqZ0rs,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-10,1187
sZZVVwqZ0rs,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-11,1155
sZZVVwqZ0rs,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-12,1340
sZZVVwqZ0rs,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-13,1362
sZZVVwqZ0rs,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-14,1006
AdT5duI716k,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-03,831
AdT5duI716k,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-04,843
AdT5duI716k,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-05,772
AdT5duI716k,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-06,975
AdT5duI716k,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-07,1079
AdT5duI716k,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-08,999
AdT5duI716k,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-09,1018
AdT5duI716k,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-10,785
AdT5duI716k,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-11,818
AdT5duI716k,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-12,997
AdT5duI716k,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-13,1263
AdT5duI716k,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-14,1228
