day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2020-01-17,14976,1360,217,1466,24,2342,1796,332,70335,6891,281,60.6,0,0,0,0,0,0,0,0.1456,0.0147,103,5177,15,76,18,9
2020-01-18,8312,636,37,545,8,220,120,174,36872,3134,266,57.24,0,0,0,0,0,0,0,0.2241,0.015300000000000001,58,2486,13,38,18,5
2020-01-19,4289,281,27,207,5,117,88,76,18040,1308,252,54.27000000000001,0,0,0,0,0,0,0,0.23079999999999998,0.0148,26,1146,6,17,7,4
2020-01-20,2612,187,11,118,0,41,55,49,10586,909,243,52.300000000000004,0,0,0,0,0,0,0,0.1333,0.0147,15,678,2,10,13,2
2020-01-21,2072,130,17,108,1,63,41,25,8341,663,241,51.94,0,0,0,0,0,0,0,0.1818,0.0075,11,530,2,4,10,2
2020-01-22,1699,141,13,76,2,38,20,34,7035,624,248,53.43,0,0,0,0,0,0,0,0.16670000000000001,0.0088,6,457,1,4,7,5
2020-01-23,1671,133,8,82,0,53,19,32,6479,636,232,50.029999999999994,0,0,0,0,0,0,0,0.1176,0.023799999999999998,17,420,2,10,8,2
2020-01-24,1389,84,10,59,2,30,20,19,5625,408,243,52.26,0,0,0,0,0,0,0,0.0,0.013999999999999999,5,357,0,5,5,2
2020-01-25,1081,81,3,48,1,25,11,9,4413,404,244,52.68000000000001,0,0,0,0,0,0,0,0.4,0.0182,5,275,2,5,4,1
2020-01-26,991,74,3,35,1,21,18,12,3937,355,238,51.25999999999999,0,0,0,0,0,0,0,0.0,0.0121,3,248,0,3,6,1
2020-01-27,865,67,7,47,0,26,19,5,3888,297,269,58.01,0,0,0,0,0,0,0,0.3333,0.0171,6,234,2,4,1,1
2020-01-28,828,74,1,55,0,21,10,8,3785,384,274,59.0,0,0,0,0,0,0,0,0.0,0.0,0,260,0,0,5,1
2020-01-29,828,71,3,33,0,19,19,12,3501,342,253,54.56999999999999,0,0,0,0,0,0,0,0.1429,0.0139,7,216,1,3,2,0
2020-01-30,709,47,7,32,1,24,9,16,2848,207,241,51.84000000000001,0,0,0,0,0,0,0,0.0,0.0105,3,190,0,2,2,0
2020-01-31,1152,102,3,46,1,32,7,10,4333,425,225,48.54,0,0,0,0,0,0,0,0.22219999999999998,0.022099999999999998,9,272,2,6,5,0
2020-02-01,1929,143,8,51,4,38,10,13,6446,535,200,43.12,0,0,0,0,0,0,0,0.0,0.0097,6,414,0,4,8,0
2020-02-02,3522,223,14,81,3,61,19,23,11483,821,195,42.07,0,0,0,0,0,0,0,0.125,0.006999999999999999,8,719,1,5,22,1
2020-02-03,5305,417,23,134,6,82,16,30,15913,1311,179,38.71,0,0,0,0,0,0,0,0.2778,0.0132,18,986,5,13,32,0
2020-02-04,4842,334,20,133,6,75,20,28,13814,1098,171,36.81,0,0,0,0,0,0,0,0.1429,0.0123,14,812,2,10,20,0
2020-02-05,3941,259,20,121,2,67,16,23,11000,918,167,36.02,0,0,0,0,0,0,0,0.1,0.018600000000000002,20,700,2,13,21,0
2020-02-06,5208,254,11,149,0,99,13,34,13572,763,156,33.63,0,0,0,0,0,0,0,0.0556,0.0132,18,834,1,11,32,1
2020-02-07,6740,265,19,181,9,97,21,21,14751,763,131,28.24,0,0,0,0,0,0,0,0.16670000000000001,0.025,30,801,5,20,37,0
2020-02-08,7656,308,26,246,2,131,25,29,16001,771,125,26.97,0,0,0,0,0,0,0,0.0227,0.0305,44,853,1,26,36,1
2020-02-09,8478,311,21,270,5,107,16,13,16839,777,119,25.629999999999995,0,0,0,0,0,0,0,0.08109999999999999,0.0349,37,803,3,28,36,1
2020-02-10,6047,241,17,168,5,105,24,23,12359,614,122,26.369999999999997,0,0,0,0,0,0,0,0.11109999999999999,0.0273,27,660,3,18,27,0
2020-02-11,3122,123,11,106,2,49,16,8,6375,325,122,26.35,0,0,0,0,0,0,0,0.0,0.0258,15,310,0,8,19,0
2020-02-12,1039,38,2,30,2,15,12,3,2481,126,143,30.820000000000004,0,0,0,0,0,0,0,0.0,0.031,6,129,0,4,6,0
2020-02-13,829,30,4,20,0,18,9,3,1887,97,136,29.37,0,0,0,0,0,0,0,0.0,0.0105,4,95,0,1,3,0
2020-02-14,568,23,1,10,0,8,6,2,1435,83,151,32.61,0,0,0,0,0,0,0,0.0,0.0152,2,66,0,1,3,0
2020-02-15,494,26,0,13,0,4,3,3,1297,102,157,33.9,0,0,0,0,0,0,0,0.0,0.0,0,73,0,0,0,0
2020-02-16,398,16,3,11,0,4,11,1,1067,41,160,34.6,0,0,0,0,0,0,0,0.0,0.0682,3,44,0,3,2,0
2020-02-17,414,13,2,7,0,5,6,1,1045,57,151,32.59,0,0,0,0,0,0,0,0.0,0.0169,2,59,0,1,3,0
2020-02-18,280,13,5,4,0,7,3,0,700,37,150,32.26,0,0,0,0,0,0,0,0.0,0.0,0,36,0,0,1,0
2020-02-19,257,13,0,6,0,5,9,0,734,53,171,36.85,0,0,0,0,0,0,0,0.0,0.0,0,37,0,0,1,1
2020-02-20,245,9,1,7,0,4,2,0,641,35,157,33.81,0,0,0,0,0,0,0,0.0,0.0294,1,34,0,1,2,0
2020-02-21,138,14,1,5,1,2,7,2,576,76,250,53.94,0,0,0,0,0,0,0,0.0,0.0,1,34,0,0,0,0
2020-02-22,121,3,0,6,0,4,6,0,512,15,254,54.669999999999995,0,0,0,0,0,0,0,0.0,0.0,0,25,0,0,1,0
2020-02-23,138,14,3,2,0,4,7,1,692,85,300,64.72,0,0,0,0,0,0,0,0.0,0.0,0,43,0,0,2,1
2020-02-24,119,11,0,3,0,0,2,1,526,63,265,57.10999999999999,0,0,0,0,0,0,0,0.0,0.0,0,26,0,0,0,0
2020-02-25,129,11,3,4,0,4,4,1,534,58,248,53.49,0,0,0,0,0,0,0,0.0,0.0,0,27,0,0,2,0
2020-02-26,99,6,0,1,0,0,3,0,419,20,253,54.61,0,0,0,0,0,0,0,0.0,0.0,0,27,0,0,0,0
2020-02-27,156,7,0,2,0,2,5,1,504,21,194,41.73,0,0,0,0,0,0,0,0.0,0.0,0,21,0,0,0,0
2020-02-28,108,9,0,3,0,3,4,0,355,51,197,42.48,0,0,0,0,0,0,0,0.5,0.0,2,18,1,0,1,0
2020-02-29,112,8,0,2,0,1,7,0,454,45,243,52.39,0,0,0,0,0,0,0,0.0,0.030299999999999997,1,33,0,1,1,0
2020-03-01,97,9,0,3,0,1,6,1,381,64,236,50.81,0,0,0,0,0,0,0,0.0,0.0,0,24,0,0,2,0
2020-03-02,99,7,0,1,0,2,5,1,491,45,297,64.03,0,0,0,0,0,0,0,0.0,0.0455,1,22,0,1,0,0
2020-03-03,90,7,0,2,0,0,2,0,427,38,285,61.35,0,0,0,0,0,0,0,0.0,0.0,0,23,0,0,1,0
