day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2016-06-30,397,20,13,46,1,14,4,4,1446,70,218,43.8,0.0103,0.09179999999999999,520,388,490,4,45,0.0,0.0072,1,138,0,1,0,0
2016-07-01,144,1,0,12,0,3,0,2,429,3,178,35.85,0.0152,0.10439999999999999,192,132,182,2,19,0.0,0.0,0,32,0,0,0,0
2016-07-02,66,1,0,1,0,2,0,0,189,8,172,34.58,0.0233,0.0492,63,43,61,1,3,0.0,0.0,0,11,0,0,0,0
2016-07-03,189,6,0,8,0,1,0,0,695,21,220,44.23,0.008199999999999999,0.0506,257,245,237,2,12,0.0,0.0,0,33,0,0,1,1
2016-07-04,326,6,1,13,0,1,1,0,1135,31,209,41.9,0.0084,0.0571,594,594,543,5,31,0.0,0.0,0,79,0,0,2,0
2016-07-05,399,7,1,3,0,1,1,2,1193,28,179,35.96,0.0126,0.0649,715,715,663,9,43,0.0,0.0,1,88,0,0,3,0
2016-07-06,122,0,0,0,0,0,0,1,391,0,192,38.59,0.0,0.11939999999999999,144,144,134,0,16,0.0,0.0417,2,24,0,1,1,0
2016-07-07,74,0,0,6,0,0,1,0,203,0,165,33.13,0.0172,0.09519999999999999,116,116,105,2,10,0.0,0.0,0,19,0,0,1,0
2016-07-08,53,0,0,0,0,0,0,0,198,0,224,45.0,0.0128,0.1233,78,78,73,1,9,0.0,0.0,0,13,0,0,1,0
2016-07-09,47,0,0,1,0,0,0,0,129,0,165,33.09,0.0,0.1159,76,76,69,0,8,0.0,0.0,0,13,0,0,0,0
2016-07-10,46,0,0,3,0,0,0,1,133,0,173,34.87,0.0,0.15789999999999998,63,63,57,0,9,0.0,0.0,0,11,0,0,0,0
2016-07-11,34,0,1,1,0,0,1,1,98,0,174,34.88,0.0,0.047599999999999996,45,45,42,0,2,0.5,0.125,2,8,1,1,0,0
2016-07-12,43,1,0,1,0,0,0,0,118,6,164,33.06,0.0,0.098,53,53,51,0,5,0.0,0.0,0,5,0,0,0,0
2016-07-13,45,0,0,1,0,1,0,0,135,0,180,36.17,0.0,0.1286,75,75,70,0,9,0.0,0.0,0,8,0,0,1,0
2016-07-14,27,0,0,1,0,0,0,0,83,0,185,37.14,0.0161,0.10529999999999999,62,62,57,1,6,0.0,0.0,1,6,0,0,1,0
