day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2021-05-16,1,0,0,0,0,0,0,0,1,0,63,8.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-17,29430,4456,151,3029,32,2318,375,123,220123,37260,448,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,146,20
2021-05-18,76486,9854,121,4233,85,2290,501,219,494448,71157,387,54.02,0,0,0,0,0,0,0,0,0,0,0,0,0,666,19
2021-05-19,62190,7088,77,2309,56,1606,407,123,364897,47569,352,49.03,0,0,0,0,0,0,0,0,0,0,0,0,0,601,8
2021-05-20,32878,3834,44,1369,38,903,257,69,195764,26476,357,49.76,0,0,0,0,0,0,0,0,0,0,0,0,0,364,5
2021-05-21,11488,1448,19,514,19,317,174,36,70857,9890,370,51.54,0,0,0,0,0,0,0,0,0,0,0,0,0,111,6
2021-05-22,8550,1086,8,347,10,225,133,23,55028,7779,386,53.78000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,99,6
2021-05-23,5075,644,6,240,3,115,135,27,34603,4480,409,56.98,0,0,0,0,0,0,0,0,0,0,0,0,0,54,2
2021-05-24,2748,372,6,149,1,99,87,10,18899,2779,412,57.47,0,0,0,0,0,0,0,0,0,0,0,0,0,35,4
2021-05-25,2055,303,2,120,1,62,76,7,14132,2107,412,57.47,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1
2021-05-26,1764,259,1,95,1,43,65,7,12148,2066,413,57.550000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0
2021-05-27,1610,246,4,91,1,49,55,6,11362,1924,423,58.98,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1
2021-05-28,1458,211,2,89,0,51,40,2,10885,1618,447,62.39,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
2021-05-29,1368,168,7,90,0,45,39,2,10291,1427,451,62.86000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
2021-05-30,1085,139,1,56,1,31,41,5,8139,1133,450,62.69,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
2021-05-31,1095,137,0,65,1,25,42,5,7855,1076,430,59.95,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
2021-06-01,859,118,1,47,0,34,46,3,5954,951,415,57.93000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2021-06-02,911,128,3,53,0,18,30,1,6819,999,449,62.55,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
2021-06-03,794,105,1,40,-1,18,26,4,5992,787,452,63.07000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2021-06-04,699,86,0,40,1,21,34,1,5410,694,464,64.68,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
2021-06-05,633,106,0,37,0,30,25,2,4510,865,427,59.54999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
2021-06-06,701,111,0,34,1,22,36,2,5562,1010,476,66.32,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
2021-06-07,707,85,1,50,1,18,22,2,5406,697,458,63.91,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
2021-06-08,706,100,2,44,2,11,20,2,5262,868,447,62.28,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2
2021-06-09,736,107,0,53,1,23,29,3,5304,815,432,60.23,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1
2021-06-10,591,78,3,28,2,22,17,1,4542,645,461,64.23,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
2021-06-11,496,67,0,22,0,16,22,2,3503,529,423,59.03,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021-06-12,459,71,1,17,1,15,16,0,3484,592,455,63.45,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2021-06-13,464,75,1,21,0,8,18,0,3622,673,468,65.24,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
2021-06-14,419,55,0,27,0,17,20,1,3112,402,445,62.08,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2021-06-15,362,55,0,20,0,17,13,1,2841,487,470,65.59,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2021-06-16,377,66,0,27,0,16,14,0,2903,509,462,64.35,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2021-06-17,398,50,1,18,1,14,16,1,3155,472,475,66.24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021-06-18,368,39,0,16,1,14,13,5,2865,324,467,65.08,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2021-06-19,307,59,0,13,0,11,18,0,2561,503,500,69.72,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021-06-20,335,51,1,16,0,11,12,1,2731,387,489,68.13,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2021-06-21,300,47,0,15,0,13,19,0,2459,434,491,68.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2021-06-22,335,44,0,17,0,10,9,0,2659,381,476,66.34,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021-06-23,342,53,0,23,0,9,10,1,2817,380,494,68.85,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2021-06-24,488,66,1,28,1,18,15,0,3632,556,446,62.21,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2021-06-25,424,57,0,13,0,14,10,0,3148,469,445,62.05,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
2021-06-26,371,62,0,17,0,7,5,0,2570,493,415,57.91,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
2021-06-27,364,48,1,16,0,9,12,0,2712,444,447,62.28,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2021-06-28,219,30,0,10,0,12,9,0,1688,188,462,64.42,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021-06-29,187,34,1,9,0,3,7,0,1525,348,489,68.17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021-06-30,139,18,0,3,0,2,5,0,1131,194,488,68.05,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2021-07-01,213,25,1,11,0,1,9,0,1599,230,450,62.74000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-02,215,25,0,12,1,2,11,1,1550,156,432,60.260000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2021-07-03,147,23,0,6,0,2,9,0,1203,208,491,68.39,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2021-07-04,137,24,0,7,0,2,9,1,1103,265,483,67.32,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021-07-05,167,27,0,6,0,2,4,0,1358,261,488,68.0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2021-07-06,176,22,0,6,0,5,9,0,1562,234,532,74.17,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2021-07-07,160,18,0,4,0,1,6,0,1290,177,484,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2021-07-08,148,27,0,7,0,2,7,0,1242,222,503,70.15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021-07-09,162,28,1,6,0,4,6,2,1215,235,450,62.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021-07-10,159,24,1,5,0,7,11,0,1365,238,515,71.77,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2021-07-11,260,48,0,15,0,6,10,0,2243,452,517,72.1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2021-07-12,207,27,0,10,0,0,6,1,1657,240,480,66.9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2021-07-13,456,57,0,25,1,9,8,0,3816,568,502,69.93,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
2021-07-14,663,95,0,26,3,7,10,1,5231,800,473,65.94,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
2021-07-15,474,65,0,22,1,7,6,0,3829,531,484,67.52,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
2021-07-16,383,75,1,21,0,9,15,0,3313,710,519,72.29,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2021-07-17,295,48,0,11,0,5,13,0,2614,419,531,74.05,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2021-07-18,386,66,2,21,0,10,7,0,3428,558,532,74.23,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2021-07-19,451,88,0,21,0,5,5,3,3876,780,515,71.83,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
2021-07-20,473,79,0,23,0,4,6,0,3677,631,466,64.96,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
2021-07-21,326,55,0,8,0,2,4,0,2679,475,493,68.68,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2021-07-22,325,52,0,15,0,14,20,2,2581,407,476,66.38,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2021-07-23,258,26,0,4,0,3,11,0,2242,252,521,72.62,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
