videoID,day,likes
bp_dmltPLIw,2021-05-16,0
bp_dmltPLIw,2021-05-17,3029
bp_dmltPLIw,2021-05-18,4233
bp_dmltPLIw,2021-05-19,2309
bp_dmltPLIw,2021-05-20,1369
bp_dmltPLIw,2021-05-21,514
bp_dmltPLIw,2021-05-22,347
bp_dmltPLIw,2021-05-23,240
bp_dmltPLIw,2021-05-24,149
bp_dmltPLIw,2021-05-25,120
bp_dmltPLIw,2021-05-26,95
bp_dmltPLIw,2021-05-27,91
bp_dmltPLIw,2021-05-28,89
bp_dmltPLIw,2021-05-29,90
bp_dmltPLIw,2021-05-30,56
bp_dmltPLIw,2021-05-31,65
bp_dmltPLIw,2021-06-01,47
bp_dmltPLIw,2021-06-02,53
bp_dmltPLIw,2021-06-03,40
bp_dmltPLIw,2021-06-04,40
bp_dmltPLIw,2021-06-05,37
bp_dmltPLIw,2021-06-06,34
bp_dmltPLIw,2021-06-07,50
bp_dmltPLIw,2021-06-08,44
bp_dmltPLIw,2021-06-09,53
bp_dmltPLIw,2021-06-10,28
bp_dmltPLIw,2021-06-11,22
bp_dmltPLIw,2021-06-12,17
bp_dmltPLIw,2021-06-13,21
bp_dmltPLIw,2021-06-14,27
bp_dmltPLIw,2021-06-15,20
bp_dmltPLIw,2021-06-16,27
bp_dmltPLIw,2021-06-17,18
bp_dmltPLIw,2021-06-18,16
bp_dmltPLIw,2021-06-19,13
bp_dmltPLIw,2021-06-20,16
bp_dmltPLIw,2021-06-21,15
bp_dmltPLIw,2021-06-22,17
bp_dmltPLIw,2021-06-23,23
bp_dmltPLIw,2021-06-24,28
bp_dmltPLIw,2021-06-25,13
bp_dmltPLIw,2021-06-26,17
bp_dmltPLIw,2021-06-27,16
bp_dmltPLIw,2021-06-28,10
bp_dmltPLIw,2021-06-29,9
bp_dmltPLIw,2021-06-30,3
bp_dmltPLIw,2021-07-01,11
bp_dmltPLIw,2021-07-02,12
bp_dmltPLIw,2021-07-03,6
bp_dmltPLIw,2021-07-04,7
bp_dmltPLIw,2021-07-05,6
bp_dmltPLIw,2021-07-06,6
bp_dmltPLIw,2021-07-07,4
bp_dmltPLIw,2021-07-08,7
bp_dmltPLIw,2021-07-09,6
bp_dmltPLIw,2021-07-10,5
bp_dmltPLIw,2021-07-11,15
bp_dmltPLIw,2021-07-12,10
bp_dmltPLIw,2021-07-13,25
bp_dmltPLIw,2021-07-14,26
bp_dmltPLIw,2021-07-15,22
bp_dmltPLIw,2021-07-16,21
bp_dmltPLIw,2021-07-17,11
bp_dmltPLIw,2021-07-18,21
bp_dmltPLIw,2021-07-19,21
bp_dmltPLIw,2021-07-20,23
bp_dmltPLIw,2021-07-21,8
bp_dmltPLIw,2021-07-22,15
bp_dmltPLIw,2021-07-23,4
bp_dmltPLIw,2021-07-24,17
bp_dmltPLIw,2021-07-25,16
bp_dmltPLIw,2021-07-26,23
bp_dmltPLIw,2021-07-27,18
bp_dmltPLIw,2021-07-28,18
