day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2021-02-17,55580,7799,289,4081,32,3666,478,442,516654,81760,557,56.61999999999999,0,0,0,0,0,0,0,0.192,0.0181,1156,27293,222,494,247,18
2021-02-18,32256,4219,86,1583,22,1357,449,213,289894,43130,539,54.74,0,0,0,0,0,0,0,0.1936,0.018000000000000002,563,13718,109,247,189,4
2021-02-19,33703,4076,78,1407,21,1329,376,202,295156,40532,525,53.349999999999994,0,0,0,0,0,0,0,0.19829999999999998,0.0146,459,12911,91,188,285,7
2021-02-20,21330,2592,44,780,11,684,259,155,181864,25221,511,51.94,0,0,0,0,0,0,0,0.1838,0.0179,321,7543,59,135,193,6
2021-02-21,13523,1681,24,537,6,394,249,95,120904,16671,536,54.459999999999994,0,0,0,0,0,0,0,0.20550000000000002,0.0176,219,5566,45,98,141,3
2021-02-22,11043,1278,27,457,9,360,189,79,97298,12856,528,53.67000000000001,0,0,0,0,0,0,0,0.2229,0.0148,157,4795,35,71,125,1
2021-02-23,8184,986,21,355,6,276,129,66,72348,9185,530,53.849999999999994,0,0,0,0,0,0,0,0.3071,0.0182,127,3566,39,65,82,4
2021-02-24,7078,924,11,277,1,254,105,28,63163,9284,535,54.36,0,0,0,0,0,0,0,0.22579999999999997,0.0125,93,3125,21,39,73,1
2021-02-25,6702,771,16,272,5,209,106,33,58599,7602,524,53.26,0,0,0,0,0,0,0,0.27,0.0163,100,2760,27,45,84,3
2021-02-26,6047,727,12,209,3,182,75,50,52246,6945,518,52.629999999999995,0,0,0,0,0,0,0,0.3084,0.0173,107,2430,33,42,73,0
2021-02-27,4890,582,5,167,4,147,92,32,42832,5532,525,53.36,0,0,0,0,0,0,0,0.2766,0.0189,94,2014,26,38,65,3
2021-02-28,4783,581,8,167,1,154,90,26,41929,5417,525,53.400000000000006,0,0,0,0,0,0,0,0.2564,0.021099999999999997,78,1947,20,41,50,1
2021-03-01,4017,522,14,137,1,161,83,23,35273,4991,526,53.49,0,0,0,0,0,0,0,0.3281,0.0202,64,1686,21,34,45,0
2021-03-02,4030,514,6,137,1,107,70,24,36036,5044,536,54.47,0,0,0,0,0,0,0,0.3375,0.0254,80,1573,27,40,38,1
2021-03-03,3332,453,13,151,3,103,39,20,27773,4032,500,50.77,0,0,0,0,0,0,0,0.35850000000000004,0.0182,53,1375,19,25,38,1
