videoID,day,likes
bplidaIbbAY,2021-02-17,4081
bplidaIbbAY,2021-02-18,1583
bplidaIbbAY,2021-02-19,1407
bplidaIbbAY,2021-02-20,780
bplidaIbbAY,2021-02-21,537
bplidaIbbAY,2021-02-22,457
bplidaIbbAY,2021-02-23,355
bplidaIbbAY,2021-02-24,277
bplidaIbbAY,2021-02-25,272
bplidaIbbAY,2021-02-26,209
bplidaIbbAY,2021-02-27,167
bplidaIbbAY,2021-02-28,167
bplidaIbbAY,2021-03-01,137
bplidaIbbAY,2021-03-02,137
bplidaIbbAY,2021-03-03,151
bplidaIbbAY,2021-03-04,126
bplidaIbbAY,2021-03-05,94
bplidaIbbAY,2021-03-06,113
bplidaIbbAY,2021-03-07,68
bplidaIbbAY,2021-03-08,73
bplidaIbbAY,2021-03-09,57
bplidaIbbAY,2021-03-10,86
bplidaIbbAY,2021-03-11,63
bplidaIbbAY,2021-03-12,59
bplidaIbbAY,2021-03-13,71
bplidaIbbAY,2021-03-14,69
bplidaIbbAY,2021-03-15,61
bplidaIbbAY,2021-03-16,74
bplidaIbbAY,2021-03-17,73
bplidaIbbAY,2021-03-18,66
bplidaIbbAY,2021-03-19,88
bplidaIbbAY,2021-03-20,69
bplidaIbbAY,2021-03-21,93
bplidaIbbAY,2021-03-22,78
bplidaIbbAY,2021-03-23,76
bplidaIbbAY,2021-03-24,130
bplidaIbbAY,2021-03-25,163
bplidaIbbAY,2021-03-26,213
bplidaIbbAY,2021-03-27,187
bplidaIbbAY,2021-03-28,204
bplidaIbbAY,2021-03-29,164
bplidaIbbAY,2021-03-30,160
bplidaIbbAY,2021-03-31,132
bplidaIbbAY,2021-04-01,91
bplidaIbbAY,2021-04-02,67
bplidaIbbAY,2021-04-03,86
bplidaIbbAY,2021-04-04,57
bplidaIbbAY,2021-04-05,57
bplidaIbbAY,2021-04-06,56
bplidaIbbAY,2021-04-07,55
bplidaIbbAY,2021-04-08,70
bplidaIbbAY,2021-04-09,73
bplidaIbbAY,2021-04-10,75
bplidaIbbAY,2021-04-11,100
bplidaIbbAY,2021-04-12,80
bplidaIbbAY,2021-04-13,75
bplidaIbbAY,2021-04-14,52
bplidaIbbAY,2021-04-15,72
bplidaIbbAY,2021-04-16,51
bplidaIbbAY,2021-04-17,51
bplidaIbbAY,2021-04-18,58
bplidaIbbAY,2021-04-19,50
bplidaIbbAY,2021-04-20,76
bplidaIbbAY,2021-04-21,87
bplidaIbbAY,2021-04-22,79
bplidaIbbAY,2021-04-23,55
bplidaIbbAY,2021-04-24,85
bplidaIbbAY,2021-04-25,47
bplidaIbbAY,2021-04-26,69
bplidaIbbAY,2021-04-27,47
bplidaIbbAY,2021-04-28,49
bplidaIbbAY,2021-04-29,59
bplidaIbbAY,2021-04-30,78
bplidaIbbAY,2021-05-01,73
bplidaIbbAY,2021-05-02,92
bplidaIbbAY,2021-05-03,124
bplidaIbbAY,2021-05-04,114
bplidaIbbAY,2021-05-05,153
bplidaIbbAY,2021-05-06,147
bplidaIbbAY,2021-05-07,179
bplidaIbbAY,2021-05-08,230
bplidaIbbAY,2021-05-09,219
bplidaIbbAY,2021-05-10,203
bplidaIbbAY,2021-05-11,185
bplidaIbbAY,2021-05-12,253
bplidaIbbAY,2021-05-13,153
bplidaIbbAY,2021-05-14,128
bplidaIbbAY,2021-05-15,77
bplidaIbbAY,2021-05-16,125
bplidaIbbAY,2021-05-17,83
bplidaIbbAY,2021-05-18,114
bplidaIbbAY,2021-05-19,102
bplidaIbbAY,2021-05-20,71
bplidaIbbAY,2021-05-21,49
bplidaIbbAY,2021-05-22,52
bplidaIbbAY,2021-05-23,48
bplidaIbbAY,2021-05-24,51
bplidaIbbAY,2021-05-25,48
bplidaIbbAY,2021-05-26,54
bplidaIbbAY,2021-05-27,49
bplidaIbbAY,2021-05-28,46
bplidaIbbAY,2021-05-29,40
bplidaIbbAY,2021-05-30,45
bplidaIbbAY,2021-05-31,75
bplidaIbbAY,2021-06-01,81
bplidaIbbAY,2021-06-02,80
bplidaIbbAY,2021-06-03,86
bplidaIbbAY,2021-06-04,50
bplidaIbbAY,2021-06-05,63
bplidaIbbAY,2021-06-06,68
bplidaIbbAY,2021-06-07,51
bplidaIbbAY,2021-06-08,70
bplidaIbbAY,2021-06-09,46
bplidaIbbAY,2021-06-10,46
bplidaIbbAY,2021-06-11,40
bplidaIbbAY,2021-06-12,42
bplidaIbbAY,2021-06-13,41
bplidaIbbAY,2021-06-14,44
bplidaIbbAY,2021-06-15,56
bplidaIbbAY,2021-06-16,57
bplidaIbbAY,2021-06-17,43
bplidaIbbAY,2021-06-18,50
bplidaIbbAY,2021-06-19,39
