videoID,day,likes
bvoUzo6OIuQ,2021-07-24,3223
bvoUzo6OIuQ,2021-07-25,2557
bvoUzo6OIuQ,2021-07-26,1440
bvoUzo6OIuQ,2021-07-27,864
bvoUzo6OIuQ,2021-07-28,594
bvoUzo6OIuQ,2021-07-29,436
bvoUzo6OIuQ,2021-07-30,249
bvoUzo6OIuQ,2021-07-31,174
bvoUzo6OIuQ,2021-08-01,186
bvoUzo6OIuQ,2021-08-02,106
bvoUzo6OIuQ,2021-08-03,85
bvoUzo6OIuQ,2021-08-04,82
bvoUzo6OIuQ,2021-08-05,51
bvoUzo6OIuQ,2021-08-06,28
bvoUzo6OIuQ,2021-08-07,48
bvoUzo6OIuQ,2021-08-08,64
bvoUzo6OIuQ,2021-08-09,33
bvoUzo6OIuQ,2021-08-10,54
bvoUzo6OIuQ,2021-08-11,37
bvoUzo6OIuQ,2021-08-12,42
bvoUzo6OIuQ,2021-08-13,22
bvoUzo6OIuQ,2021-08-14,22
bvoUzo6OIuQ,2021-08-15,28
bvoUzo6OIuQ,2021-08-16,30
bvoUzo6OIuQ,2021-08-17,25
bvoUzo6OIuQ,2021-08-18,20
bvoUzo6OIuQ,2021-08-19,28
bvoUzo6OIuQ,2021-08-20,21
bvoUzo6OIuQ,2021-08-21,21
bvoUzo6OIuQ,2021-08-22,25
bvoUzo6OIuQ,2021-08-23,30
bvoUzo6OIuQ,2021-08-24,28
bvoUzo6OIuQ,2021-08-25,21
bvoUzo6OIuQ,2021-08-26,34
bvoUzo6OIuQ,2021-08-27,20
bvoUzo6OIuQ,2021-08-28,33
bvoUzo6OIuQ,2021-08-29,46
bvoUzo6OIuQ,2021-08-30,42
bvoUzo6OIuQ,2021-08-31,42
bvoUzo6OIuQ,2021-09-01,30
bvoUzo6OIuQ,2021-09-02,30
bvoUzo6OIuQ,2021-09-03,30
bvoUzo6OIuQ,2021-09-04,27
bvoUzo6OIuQ,2021-09-05,26
bvoUzo6OIuQ,2021-09-06,30
bvoUzo6OIuQ,2021-09-07,34
bvoUzo6OIuQ,2021-09-08,26
bvoUzo6OIuQ,2021-09-09,36
bvoUzo6OIuQ,2021-09-10,27
bvoUzo6OIuQ,2021-09-11,24
bvoUzo6OIuQ,2021-09-12,20
bvoUzo6OIuQ,2021-09-13,30
bvoUzo6OIuQ,2021-09-14,28
bvoUzo6OIuQ,2021-09-15,15
bvoUzo6OIuQ,2021-09-16,27
bvoUzo6OIuQ,2021-09-17,29
bvoUzo6OIuQ,2021-09-18,16
bvoUzo6OIuQ,2021-09-19,21
bvoUzo6OIuQ,2021-09-20,20
bvoUzo6OIuQ,2021-09-21,12
bvoUzo6OIuQ,2021-09-22,21
bvoUzo6OIuQ,2021-09-23,31
bvoUzo6OIuQ,2021-09-24,20
bvoUzo6OIuQ,2021-09-25,25
bvoUzo6OIuQ,2021-09-26,37
bvoUzo6OIuQ,2021-09-27,42
bvoUzo6OIuQ,2021-09-28,40
bvoUzo6OIuQ,2021-09-29,43
bvoUzo6OIuQ,2021-09-30,24
bvoUzo6OIuQ,2021-10-01,24
bvoUzo6OIuQ,2021-10-02,19
bvoUzo6OIuQ,2021-10-03,26
bvoUzo6OIuQ,2021-10-04,19
bvoUzo6OIuQ,2021-10-05,22
bvoUzo6OIuQ,2021-10-06,14
bvoUzo6OIuQ,2021-10-07,13
bvoUzo6OIuQ,2021-10-08,19
bvoUzo6OIuQ,2021-10-09,20
bvoUzo6OIuQ,2021-10-10,41
bvoUzo6OIuQ,2021-10-11,29
bvoUzo6OIuQ,2021-10-12,19
bvoUzo6OIuQ,2021-10-13,28
bvoUzo6OIuQ,2021-10-14,17
bvoUzo6OIuQ,2021-10-15,6
bvoUzo6OIuQ,2021-10-16,17
bvoUzo6OIuQ,2021-10-17,10
bvoUzo6OIuQ,2021-10-18,10
bvoUzo6OIuQ,2021-10-19,10
bvoUzo6OIuQ,2021-10-20,7
bvoUzo6OIuQ,2021-10-21,11
bvoUzo6OIuQ,2021-10-22,12
bvoUzo6OIuQ,2021-10-23,7
bvoUzo6OIuQ,2021-10-24,16
bvoUzo6OIuQ,2021-10-25,8
bvoUzo6OIuQ,2021-10-26,21
bvoUzo6OIuQ,2021-10-27,12
bvoUzo6OIuQ,2021-10-28,5
bvoUzo6OIuQ,2021-10-29,5
bvoUzo6OIuQ,2021-10-30,10
bvoUzo6OIuQ,2021-10-31,3
bvoUzo6OIuQ,2021-11-01,7
bvoUzo6OIuQ,2021-11-02,4
bvoUzo6OIuQ,2021-11-03,4
bvoUzo6OIuQ,2021-11-04,6
bvoUzo6OIuQ,2021-11-05,5
bvoUzo6OIuQ,2021-11-06,3
bvoUzo6OIuQ,2021-11-07,5
