day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2015-05-07,86,0,6,9,0,2,1,0,144,0,100,46.97,0,0.15789999999999998,33,33,19,0,3,0,0,0,0,0,0,0,0
2015-05-08,49,0,1,6,0,1,0,0,102,0,125,58.48,0,0.15789999999999998,36,36,19,0,3,0,0,0,0,0,0,3,2
2015-05-09,20,0,0,2,0,0,0,0,40,0,121,56.43,0,0.0,13,13,8,0,0,0,0,0,0,0,0,0,0
2015-05-10,15,0,0,2,0,1,1,0,30,0,122,56.91,0,0.5,5,5,2,0,1,0,0,0,0,0,0,0,0
2015-05-11,8,0,0,1,0,0,0,0,14,0,108,50.64999999999999,0,0.0,5,5,3,0,0,0,0,0,0,0,0,0,0
2015-05-12,9,0,1,0,0,0,0,0,18,0,123,57.47,0,0.0,2,2,1,0,0,0,0,0,0,0,0,0,0
2015-05-13,9,0,0,0,0,0,0,0,15,0,103,48.29,0,0.0,6,6,3,0,0,0,0,0,0,0,0,0,0
2015-05-14,7,0,0,1,0,0,0,0,20,0,179,83.63,0,0.25,9,9,4,0,1,0,0,0,0,0,0,0,0
2015-05-15,14,0,0,1,0,0,0,0,16,0,69,32.35,0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0
2015-05-16,13,0,0,0,0,0,0,0,19,0,90,42.14,0,0.0,7,7,4,0,0,0,0,0,0,0,0,0,0
2015-05-17,9,0,0,0,0,0,0,0,15,0,102,47.68,0,0.0,5,5,2,0,0,0,0,0,0,0,0,0,0
2015-05-18,10,0,0,0,0,0,0,0,15,0,94,43.8,0,0.0,5,5,2,0,0,0,0,0,0,0,0,0,0
2015-05-19,4,0,0,0,0,0,0,0,5,0,80,37.58,0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0
2015-05-20,4,0,0,0,0,0,0,0,8,0,128,59.78,0,0.0,2,2,1,0,0,0,0,0,0,0,0,0,0
2015-05-21,5,0,0,0,0,0,0,0,3,0,47,21.98,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-22,4,0,0,0,0,0,0,0,7,0,113,52.61,0,0.0,2,2,1,0,0,0,0,0,0,0,0,0,0
2015-05-23,5,0,0,0,0,0,0,0,7,0,84,39.49,0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0
2015-05-24,7,0,0,0,0,0,0,0,12,0,108,50.6,0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0
2015-05-25,7,0,0,0,0,0,0,0,10,0,93,43.53,0,0.0,3,3,1,0,0,0,0,0,0,0,0,0,0
2015-05-26,1,0,0,0,0,0,0,0,3,0,215,100.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-27,9,0,0,1,0,0,0,0,4,0,31,14.62,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
