videoID,day,likes
ceFl7NlpykQ,2020-03-20,2621
ceFl7NlpykQ,2020-03-21,1800
ceFl7NlpykQ,2020-03-22,1253
ceFl7NlpykQ,2020-03-23,1203
ceFl7NlpykQ,2020-03-24,1550
ceFl7NlpykQ,2020-03-25,1504
ceFl7NlpykQ,2020-03-26,1445
ceFl7NlpykQ,2020-03-27,1019
ceFl7NlpykQ,2020-03-28,622
ceFl7NlpykQ,2020-03-29,449
ceFl7NlpykQ,2020-03-30,244
ceFl7NlpykQ,2020-03-31,183
ceFl7NlpykQ,2020-04-01,96
ceFl7NlpykQ,2020-04-02,56
ceFl7NlpykQ,2020-04-03,54
ceFl7NlpykQ,2020-04-04,57
ceFl7NlpykQ,2020-04-05,48
ceFl7NlpykQ,2020-04-06,54
ceFl7NlpykQ,2020-04-07,31
ceFl7NlpykQ,2020-04-08,53
ceFl7NlpykQ,2020-04-09,60
ceFl7NlpykQ,2020-04-10,46
ceFl7NlpykQ,2020-04-11,49
ceFl7NlpykQ,2020-04-12,28
ceFl7NlpykQ,2020-04-13,33
ceFl7NlpykQ,2020-04-14,44
ceFl7NlpykQ,2020-04-15,43
ceFl7NlpykQ,2020-04-16,37
ceFl7NlpykQ,2020-04-17,50
ceFl7NlpykQ,2020-04-18,31
ceFl7NlpykQ,2020-04-19,30
ceFl7NlpykQ,2020-04-20,44
ceFl7NlpykQ,2020-04-21,34
ceFl7NlpykQ,2020-04-22,18
ceFl7NlpykQ,2020-04-23,25
ceFl7NlpykQ,2020-04-24,41
ceFl7NlpykQ,2020-04-25,69
ceFl7NlpykQ,2020-04-26,81
ceFl7NlpykQ,2020-04-27,68
ceFl7NlpykQ,2020-04-28,59
ceFl7NlpykQ,2020-04-29,48
ceFl7NlpykQ,2020-04-30,26
ceFl7NlpykQ,2020-05-01,42
ceFl7NlpykQ,2020-05-02,33
ceFl7NlpykQ,2020-05-03,38
ceFl7NlpykQ,2020-05-04,35
ceFl7NlpykQ,2020-05-05,24
ceFl7NlpykQ,2020-05-06,36
ceFl7NlpykQ,2020-05-07,32
ceFl7NlpykQ,2020-05-08,36
ceFl7NlpykQ,2020-05-09,30
ceFl7NlpykQ,2020-05-10,45
ceFl7NlpykQ,2020-05-11,43
ceFl7NlpykQ,2020-05-12,35
ceFl7NlpykQ,2020-05-13,27
ceFl7NlpykQ,2020-05-14,38
ceFl7NlpykQ,2020-05-15,54
ceFl7NlpykQ,2020-05-16,44
ceFl7NlpykQ,2020-05-17,69
ceFl7NlpykQ,2020-05-18,104
ceFl7NlpykQ,2020-05-19,108
ceFl7NlpykQ,2020-05-20,132
ceFl7NlpykQ,2020-05-21,197
ceFl7NlpykQ,2020-05-22,229
ceFl7NlpykQ,2020-05-23,242
ceFl7NlpykQ,2020-05-24,327
ceFl7NlpykQ,2020-05-25,266
ceFl7NlpykQ,2020-05-26,390
ceFl7NlpykQ,2020-05-27,509
ceFl7NlpykQ,2020-05-28,275
ceFl7NlpykQ,2020-05-29,380
ceFl7NlpykQ,2020-05-30,305
ceFl7NlpykQ,2020-05-31,295
ceFl7NlpykQ,2020-06-01,188
ceFl7NlpykQ,2020-06-02,134
ceFl7NlpykQ,2020-06-03,86
ceFl7NlpykQ,2020-06-04,83
ceFl7NlpykQ,2020-06-05,59
ceFl7NlpykQ,2020-06-06,60
ceFl7NlpykQ,2020-06-07,70
ceFl7NlpykQ,2020-06-08,51
ceFl7NlpykQ,2020-06-09,68
ceFl7NlpykQ,2020-06-10,41
ceFl7NlpykQ,2020-06-11,26
ceFl7NlpykQ,2020-06-12,18
ceFl7NlpykQ,2020-06-13,13
ceFl7NlpykQ,2020-06-14,14
ceFl7NlpykQ,2020-06-15,17
ceFl7NlpykQ,2020-06-16,18
ceFl7NlpykQ,2020-06-17,17
ceFl7NlpykQ,2020-06-18,23
ceFl7NlpykQ,2020-06-19,15
ceFl7NlpykQ,2020-06-20,13
ceFl7NlpykQ,2020-06-21,22
ceFl7NlpykQ,2020-06-22,16
ceFl7NlpykQ,2020-06-23,25
ceFl7NlpykQ,2020-06-24,10
ceFl7NlpykQ,2020-06-25,20
ceFl7NlpykQ,2020-06-26,24
ceFl7NlpykQ,2020-06-27,16
ceFl7NlpykQ,2020-06-28,24
ceFl7NlpykQ,2020-06-29,50
ceFl7NlpykQ,2020-06-30,41
ceFl7NlpykQ,2020-07-01,47
ceFl7NlpykQ,2020-07-02,55
ceFl7NlpykQ,2020-07-03,38
ceFl7NlpykQ,2020-07-04,32
ceFl7NlpykQ,2020-07-05,31
ceFl7NlpykQ,2020-07-06,49
ceFl7NlpykQ,2020-07-07,41
ceFl7NlpykQ,2020-07-08,45
ceFl7NlpykQ,2020-07-09,57
ceFl7NlpykQ,2020-07-10,45
ceFl7NlpykQ,2020-07-11,48
ceFl7NlpykQ,2020-07-12,52
ceFl7NlpykQ,2020-07-13,51
ceFl7NlpykQ,2020-07-14,50
ceFl7NlpykQ,2020-07-15,43
ceFl7NlpykQ,2020-07-16,39
ceFl7NlpykQ,2020-07-17,22
ceFl7NlpykQ,2020-07-18,34
ceFl7NlpykQ,2020-07-19,29
ceFl7NlpykQ,2020-07-20,37
ceFl7NlpykQ,2020-07-21,22
ceFl7NlpykQ,2020-07-22,16
ceFl7NlpykQ,2020-07-23,17
ceFl7NlpykQ,2020-07-24,19
ceFl7NlpykQ,2020-07-25,20
ceFl7NlpykQ,2020-07-26,23
ceFl7NlpykQ,2020-07-27,10
ceFl7NlpykQ,2020-07-28,18
ceFl7NlpykQ,2020-07-29,10
ceFl7NlpykQ,2020-07-30,11
ceFl7NlpykQ,2020-07-31,9
ceFl7NlpykQ,2020-08-01,10
ceFl7NlpykQ,2020-08-02,15
ceFl7NlpykQ,2020-08-03,13
ceFl7NlpykQ,2020-08-04,10
ceFl7NlpykQ,2020-08-05,5
ceFl7NlpykQ,2020-08-06,11
ceFl7NlpykQ,2020-08-07,7
ceFl7NlpykQ,2020-08-08,9
ceFl7NlpykQ,2020-08-09,8
ceFl7NlpykQ,2020-08-10,5
ceFl7NlpykQ,2020-08-11,14
ceFl7NlpykQ,2020-08-12,19
ceFl7NlpykQ,2020-08-13,6
ceFl7NlpykQ,2020-08-14,13
ceFl7NlpykQ,2020-08-15,10
ceFl7NlpykQ,2020-08-16,17
ceFl7NlpykQ,2020-08-17,7
ceFl7NlpykQ,2020-08-18,16
ceFl7NlpykQ,2020-08-19,4
ceFl7NlpykQ,2020-08-20,16
ceFl7NlpykQ,2020-08-21,10
ceFl7NlpykQ,2020-08-22,11
ceFl7NlpykQ,2020-08-23,20
ceFl7NlpykQ,2020-08-24,11
ceFl7NlpykQ,2020-08-25,21
ceFl7NlpykQ,2020-08-26,6
ceFl7NlpykQ,2020-08-27,8
ceFl7NlpykQ,2020-08-28,13
ceFl7NlpykQ,2020-08-29,8
ceFl7NlpykQ,2020-08-30,10
ceFl7NlpykQ,2020-08-31,15
ceFl7NlpykQ,2020-09-01,31
ceFl7NlpykQ,2020-09-02,33
ceFl7NlpykQ,2020-09-03,24
ceFl7NlpykQ,2020-09-04,17
ceFl7NlpykQ,2020-09-05,18
ceFl7NlpykQ,2020-09-06,17
ceFl7NlpykQ,2020-09-07,26
ceFl7NlpykQ,2020-09-08,25
ceFl7NlpykQ,2020-09-09,29
ceFl7NlpykQ,2020-09-10,32
ceFl7NlpykQ,2020-09-11,29
ceFl7NlpykQ,2020-09-12,42
ceFl7NlpykQ,2020-09-13,33
ceFl7NlpykQ,2020-09-14,33
ceFl7NlpykQ,2020-09-15,42
ceFl7NlpykQ,2020-09-16,36
ceFl7NlpykQ,2020-09-17,31
ceFl7NlpykQ,2020-09-18,16
ceFl7NlpykQ,2020-09-19,35
ceFl7NlpykQ,2020-09-20,44
ceFl7NlpykQ,2020-09-21,52
ceFl7NlpykQ,2020-09-22,45
ceFl7NlpykQ,2020-09-23,31
ceFl7NlpykQ,2020-09-24,53
ceFl7NlpykQ,2020-09-25,44
ceFl7NlpykQ,2020-09-26,83
ceFl7NlpykQ,2020-09-27,89
ceFl7NlpykQ,2020-09-28,97
ceFl7NlpykQ,2020-09-29,107
ceFl7NlpykQ,2020-09-30,96
ceFl7NlpykQ,2020-10-01,89
ceFl7NlpykQ,2020-10-02,136
ceFl7NlpykQ,2020-10-03,126
ceFl7NlpykQ,2020-10-04,110
ceFl7NlpykQ,2020-10-05,83
ceFl7NlpykQ,2020-10-06,121
ceFl7NlpykQ,2020-10-07,58
ceFl7NlpykQ,2020-10-08,43
ceFl7NlpykQ,2020-10-09,27
ceFl7NlpykQ,2020-10-10,43
ceFl7NlpykQ,2020-10-11,37
ceFl7NlpykQ,2020-10-12,28
ceFl7NlpykQ,2020-10-13,27
ceFl7NlpykQ,2020-10-14,27
ceFl7NlpykQ,2020-10-15,14
ceFl7NlpykQ,2020-10-16,10
ceFl7NlpykQ,2020-10-17,11
ceFl7NlpykQ,2020-10-18,32
ceFl7NlpykQ,2020-10-19,26
ceFl7NlpykQ,2020-10-20,36
ceFl7NlpykQ,2020-10-21,23
ceFl7NlpykQ,2020-10-22,20
ceFl7NlpykQ,2020-10-23,24
ceFl7NlpykQ,2020-10-24,16
ceFl7NlpykQ,2020-10-25,5
ceFl7NlpykQ,2020-10-26,12
ceFl7NlpykQ,2020-10-27,12
ceFl7NlpykQ,2020-10-28,12
ceFl7NlpykQ,2020-10-29,15
ceFl7NlpykQ,2020-10-30,12
ceFl7NlpykQ,2020-10-31,11
ceFl7NlpykQ,2020-11-01,15
ceFl7NlpykQ,2020-11-02,9
ceFl7NlpykQ,2020-11-03,14
ceFl7NlpykQ,2020-11-04,7
ceFl7NlpykQ,2020-11-05,16
ceFl7NlpykQ,2020-11-06,11
ceFl7NlpykQ,2020-11-07,6
ceFl7NlpykQ,2020-11-08,8
ceFl7NlpykQ,2020-11-09,15
ceFl7NlpykQ,2020-11-10,13
ceFl7NlpykQ,2020-11-11,10
ceFl7NlpykQ,2020-11-12,15
ceFl7NlpykQ,2020-11-13,11
ceFl7NlpykQ,2020-11-14,13
ceFl7NlpykQ,2020-11-15,9
ceFl7NlpykQ,2020-11-16,24
ceFl7NlpykQ,2020-11-17,30
ceFl7NlpykQ,2020-11-18,19
ceFl7NlpykQ,2020-11-19,30
ceFl7NlpykQ,2020-11-20,23
ceFl7NlpykQ,2020-11-21,28
ceFl7NlpykQ,2020-11-22,19
ceFl7NlpykQ,2020-11-23,17
ceFl7NlpykQ,2020-11-24,9
ceFl7NlpykQ,2020-11-25,23
ceFl7NlpykQ,2020-11-26,23
ceFl7NlpykQ,2020-11-27,18
ceFl7NlpykQ,2020-11-28,28
ceFl7NlpykQ,2020-11-29,27
ceFl7NlpykQ,2020-11-30,34
ceFl7NlpykQ,2020-12-01,22
ceFl7NlpykQ,2020-12-02,29
ceFl7NlpykQ,2020-12-03,33
ceFl7NlpykQ,2020-12-04,43
ceFl7NlpykQ,2020-12-05,47
ceFl7NlpykQ,2020-12-06,74
ceFl7NlpykQ,2020-12-07,102
ceFl7NlpykQ,2020-12-08,124
ceFl7NlpykQ,2020-12-09,142
ceFl7NlpykQ,2020-12-10,109
ceFl7NlpykQ,2020-12-11,107
ceFl7NlpykQ,2020-12-12,139
ceFl7NlpykQ,2020-12-13,140
ceFl7NlpykQ,2020-12-14,120
ceFl7NlpykQ,2020-12-15,164
ceFl7NlpykQ,2020-12-16,238
ceFl7NlpykQ,2020-12-17,268
ceFl7NlpykQ,2020-12-18,320
ceFl7NlpykQ,2020-12-19,408
ceFl7NlpykQ,2020-12-20,431
ceFl7NlpykQ,2020-12-21,349
ceFl7NlpykQ,2020-12-22,524
ceFl7NlpykQ,2020-12-23,419
ceFl7NlpykQ,2020-12-24,203
ceFl7NlpykQ,2020-12-25,136
ceFl7NlpykQ,2020-12-26,116
ceFl7NlpykQ,2020-12-27,91
ceFl7NlpykQ,2020-12-28,70
ceFl7NlpykQ,2020-12-29,41
ceFl7NlpykQ,2020-12-30,53
ceFl7NlpykQ,2020-12-31,28
ceFl7NlpykQ,2021-01-01,26
ceFl7NlpykQ,2021-01-02,23
ceFl7NlpykQ,2021-01-03,11
ceFl7NlpykQ,2021-01-04,12
ceFl7NlpykQ,2021-01-05,21
ceFl7NlpykQ,2021-01-06,15
ceFl7NlpykQ,2021-01-07,14
ceFl7NlpykQ,2021-01-08,15
ceFl7NlpykQ,2021-01-09,14
ceFl7NlpykQ,2021-01-10,11
ceFl7NlpykQ,2021-01-11,16
ceFl7NlpykQ,2021-01-12,21
ceFl7NlpykQ,2021-01-13,6
ceFl7NlpykQ,2021-01-14,13
ceFl7NlpykQ,2021-01-15,18
ceFl7NlpykQ,2021-01-16,12
ceFl7NlpykQ,2021-01-17,15
ceFl7NlpykQ,2021-01-18,6
ceFl7NlpykQ,2021-01-19,19
ceFl7NlpykQ,2021-01-20,12
ceFl7NlpykQ,2021-01-21,21
ceFl7NlpykQ,2021-01-22,16
ceFl7NlpykQ,2021-01-23,20
ceFl7NlpykQ,2021-01-24,22
ceFl7NlpykQ,2021-01-25,12
ceFl7NlpykQ,2021-01-26,20
ceFl7NlpykQ,2021-01-27,26
ceFl7NlpykQ,2021-01-28,18
ceFl7NlpykQ,2021-01-29,42
ceFl7NlpykQ,2021-01-30,37
ceFl7NlpykQ,2021-01-31,46
ceFl7NlpykQ,2021-02-01,34
ceFl7NlpykQ,2021-02-02,38
