day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2016-05-20,455,9,9,44,0,17,5,4,1700,35,224,69.64,0.0,0.0593,200,200,118,0,7,0,0,0,9,0,0,0,1
2016-05-21,217,6,0,12,0,2,1,0,696,23,192,59.82999999999999,0.0,0.0513,68,68,39,0,2,0,0,0,4,0,0,0,0
2016-05-22,85,2,1,9,0,1,1,0,323,9,228,71.02,0.0,0.07690000000000001,46,46,26,0,2,0,0,0,2,0,0,0,0
2016-05-23,91,3,0,3,0,1,1,1,291,9,192,59.709999999999994,0.0,0.0,31,31,18,0,0,0,0,0,0,0,0,0,0
2016-05-24,36,5,0,2,0,1,1,0,122,16,203,63.33,0.0,0.1429,20,20,14,0,2,0,0,0,0,0,0,0,0
2016-05-25,58,0,1,1,0,0,0,0,181,0,187,58.3,0.0,0.0526,32,32,19,0,1,0,0,0,0,0,0,0,0
2016-05-26,37,0,1,1,0,0,0,0,115,0,187,58.17,0.0,0.0,19,19,10,0,0,0,0,0,0,0,0,0,0
2016-05-27,19,0,0,1,0,0,0,0,47,0,150,46.82,0.0,0.0,5,5,3,0,0,0,0,0,0,0,0,0,0
2016-05-28,26,0,1,0,0,1,1,0,81,0,187,58.20000000000001,0.0,0.0,5,5,4,0,0,0,0,0,0,0,0,0,0
2016-05-29,30,0,0,1,0,0,0,0,105,0,210,65.44,0.0,0.0,10,10,6,0,0,0,0,0,0,0,0,0,0
2016-05-30,19,1,0,0,0,0,1,0,61,5,195,60.56,0.0,0.0,5,5,4,0,0,0,0,0,0,0,0,0,0
2016-05-31,13,0,0,1,0,0,0,0,44,0,206,64.01,0.0,0.0,3,3,2,0,0,0,0,0,0,0,0,0,0
2016-06-01,29,0,0,0,0,0,0,0,87,0,181,56.38000000000001,0.0,0.0,16,16,10,0,0,0,0,0,0,0,0,0,0
2016-06-02,21,0,0,1,0,0,0,0,89,0,256,79.5,0.0,0.0,11,11,6,0,0,0,0,0,0,0,0,0,0
2016-06-03,22,0,1,1,0,0,0,0,78,0,215,66.91,0.0,0.0,7,7,4,0,0,0,0,0,0,0,0,0,0
2016-06-04,20,0,0,0,0,0,1,0,63,0,191,59.32999999999999,0.0,0.0,4,4,2,0,0,0,0,0,0,0,0,0,0
2016-06-05,29,0,0,1,0,1,0,0,99,0,204,63.62,0.0,0.0,15,15,9,0,0,0,0,0,0,0,0,0,0
2016-06-06,22,0,0,0,0,0,0,1,62,0,171,53.13,0.0,0.0,3,3,2,0,0,0,0,0,0,0,0,0,0
2016-06-07,32,3,1,3,0,1,0,0,127,16,238,74.08,0.0,0.0,19,19,12,0,0,0,0,0,0,0,0,0,0
2016-06-08,30,1,0,1,0,0,0,0,106,5,213,66.17,0.0,0.0,10,10,5,0,0,0,0,0,0,0,0,0,0
2016-06-09,29,0,0,2,0,1,0,0,85,0,176,54.92,0.0,0.1429,11,11,7,0,1,0,0,0,0,0,0,0,0
2016-06-10,25,0,0,0,0,1,0,0,75,0,182,56.63,0.0,0.0,7,7,5,0,0,0,0,0,0,0,0,0,0
2016-06-11,27,0,0,0,0,0,0,0,59,0,133,41.34,0.0,0.0,8,8,5,0,0,0,0,0,0,0,0,0,0
2016-06-12,11,0,0,0,0,0,0,0,41,0,226,70.21,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0
2016-06-13,14,0,0,0,0,1,1,0,35,0,151,46.98,0.0,0.0,8,8,5,0,0,0,0,0,0,0,0,0,0
2016-06-14,17,0,0,1,0,0,0,0,44,0,158,49.07,0.0,0.0,10,10,6,0,0,0,0,0,0,0,0,0,0
2016-06-15,16,0,0,1,0,1,0,0,59,0,224,69.59,0.0,0.1429,10,10,7,0,1,0,0,0,0,0,0,0,0
2016-06-16,9,0,0,1,0,0,0,0,24,0,161,50.29,0.0,0.0,6,6,4,0,0,0,0,0,0,0,0,0,0
2016-06-17,5,1,0,0,0,0,0,0,15,0,180,55.99000000000001,0.0,0.0,2,2,1,0,0,0,0,0,0,0,0,0,0
2016-06-18,11,1,0,0,0,0,0,0,28,0,152,47.45,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0
2016-06-19,34,0,0,0,0,1,0,0,54,0,96,30.049999999999997,0.0,0.0,10,10,7,0,0,0,0,0,0,0,0,0,0
2016-06-20,11,0,0,0,0,0,1,0,15,0,83,26.009999999999998,0.0,0.0,3,3,2,0,0,0,0,0,0,0,0,0,0
2016-06-21,7,0,0,0,0,0,0,0,20,0,178,55.57,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0
2016-06-22,16,0,0,0,0,0,0,0,43,0,161,50.13000000000001,0.0,0.0,11,11,7,0,0,0,0,0,0,0,0,0,0
2016-06-23,7,0,0,0,0,0,0,0,15,0,135,42.15,0.0,0.0,4,4,3,0,0,0,0,0,0,0,0,0,0
2016-06-24,4,0,0,0,0,0,1,1,19,0,287,89.37,0.0,0.0,2,2,2,0,0,0,0,0,0,0,0,0,0
2016-06-25,5,0,0,0,0,1,0,0,23,0,278,86.39,0.0,0.4,7,7,5,0,2,0,0,0,0,0,0,0,0
2016-06-26,8,0,0,0,0,0,1,0,27,0,208,64.65,0.0,0.0,2,2,2,0,0,0,0,0,0,0,0,0,0
2016-06-27,10,0,0,1,0,0,0,0,15,0,95,29.580000000000002,0.0,0.0,6,6,4,0,0,0,0,0,0,0,0,0,0
2016-06-28,6,1,0,0,0,0,0,0,19,0,194,60.53000000000001,0.0,0.0,3,3,1,0,0,0,0,0,0,0,0,0,0
2016-06-29,4,0,0,0,0,0,0,0,15,0,226,70.45,0.0,0.0,2,2,1,0,0,0,0,0,0,0,0,0,0
2016-06-30,4,0,0,0,0,0,0,0,13,0,200,62.39,0.0,0.0,2,2,1,0,0,0,0,0,0,0,0,0,0
2016-07-01,8,0,0,1,0,0,0,0,20,0,153,47.72,0.0,0.0,3,3,1,0,0,0,0,0,0,0,0,0,0
2016-07-02,14,0,0,0,0,0,0,0,37,0,161,50.25999999999999,0.0,0.0,8,8,5,0,0,0,0,0,0,0,0,0,0
