day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2019-01-01,278,8,0,7,0,3,6,1,1226,40,264,51.32,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2019-01-02,280,8,0,8,0,4,6,1,1337,47,286,55.559999999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2019-01-03,312,11,0,5,0,4,10,0,1642,72,315,61.21,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0
2019-01-04,277,9,0,10,0,8,8,4,1446,59,313,60.709999999999994,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2019-01-05,272,12,1,9,0,2,8,0,1259,52,277,53.849999999999994,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2019-01-06,287,6,0,6,1,4,6,1,1416,51,296,57.379999999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-01-07,203,7,0,5,0,2,11,0,1013,35,299,58.07,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2
2019-01-08,241,7,0,6,0,2,4,2,1119,51,278,54.04,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2019-01-09,214,8,0,1,0,3,6,1,1053,54,295,57.269999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2019-01-10,224,7,0,3,0,1,8,0,1147,51,307,59.56,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-01-11,234,5,0,0,0,6,10,0,1018,12,261,50.59,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-01-12,211,9,0,3,0,2,4,0,1173,70,333,64.69,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0
2019-01-13,251,5,0,1,0,2,8,0,1319,34,315,61.12,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0
2019-01-14,223,6,0,4,0,4,12,4,1114,43,299,58.11999999999999,0,0,0,0,0,0,0,0,0,0,12,0,0,1,0
2019-01-15,231,13,0,6,0,0,5,2,1211,61,314,60.980000000000004,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
2019-01-16,187,14,0,3,0,1,1,0,957,90,307,59.56,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0
2019-01-17,182,15,0,7,0,1,4,0,872,88,287,55.74,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0
2019-01-18,181,9,0,2,0,2,3,0,938,54,311,60.29,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0
2019-01-19,209,12,0,5,0,5,9,0,1090,91,313,60.69,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0
2019-01-20,218,11,0,4,0,3,9,1,1077,59,296,57.489999999999995,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0
2019-01-21,228,7,0,5,0,1,3,2,1172,38,308,59.78,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0
2019-01-22,196,4,0,7,0,1,7,1,883,19,270,52.400000000000006,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
2019-01-23,164,8,0,1,0,5,8,0,916,34,335,64.95,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
2019-01-24,184,4,1,3,0,1,2,1,951,22,310,60.14000000000001,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
2019-01-25,158,8,1,2,0,5,4,0,797,39,302,58.68,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0
2019-01-26,178,6,1,-1,0,2,5,1,859,33,289,56.14,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
2019-01-27,184,7,0,1,0,2,7,3,976,37,318,61.7,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2
2019-01-28,170,4,0,3,0,0,2,0,795,22,280,54.400000000000006,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0
2019-01-29,166,10,0,2,0,0,7,1,779,51,281,54.58,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0
2019-01-30,162,6,0,6,0,2,6,0,785,40,290,56.35,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2019-01-31,133,4,0,3,0,1,3,1,520,17,234,45.51,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0
2019-02-01,212,9,0,6,0,3,4,0,1089,63,308,59.77,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0
2019-02-02,288,23,2,4,0,3,10,0,1640,122,341,66.23,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0
2019-02-03,295,14,0,11,0,6,8,0,1697,92,345,66.9,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0
2019-02-04,235,14,0,8,0,5,4,0,1318,91,336,65.23,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2019-02-05,220,14,1,5,0,2,5,0,1222,67,333,64.6,0,0,0,0,0,0,0,0,0,0,7,0,0,2,0
2019-02-06,226,15,0,-1,0,2,5,0,1197,115,317,61.61,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0
2019-02-07,202,11,0,3,0,4,4,0,1014,68,301,58.41,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0
2019-02-08,196,12,0,5,0,3,3,3,1137,70,348,67.51,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0
2019-02-09,188,15,0,4,1,2,5,0,1003,65,320,62.05,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0
2019-02-10,186,11,0,7,0,3,9,0,1093,62,352,68.35,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0
2019-02-11,175,10,0,0,0,4,9,3,911,76,312,60.58,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
2019-02-12,208,12,0,6,0,2,5,1,1015,50,292,56.769999999999996,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2019-02-13,288,13,0,7,0,3,7,0,1520,85,316,61.4,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0
2019-02-14,387,18,0,5,0,4,5,1,1701,92,263,51.129999999999995,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0
2019-02-15,456,25,0,9,0,2,4,2,2470,180,325,63.0,0,0,0,0,0,0,0,0,0,1,3,0,0,2,0
2019-02-16,669,39,0,15,0,6,7,0,4225,268,378,73.45,0,0,0,0,0,0,0,0,0,0,4,0,0,6,1
2019-02-17,711,46,0,18,0,5,5,2,4477,324,377,73.23,0,0,0,0,0,0,0,0,0,0,8,0,0,4,0
2019-02-18,729,41,0,20,0,13,5,0,4447,272,366,70.95,0,0,0,0,0,0,0,0,0,0,11,0,0,6,0
2019-02-19,447,19,1,17,0,9,7,1,2628,132,352,68.38,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0
2019-02-20,375,18,0,15,0,7,7,0,2151,119,344,66.71,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0
2019-02-21,283,9,1,6,0,3,2,0,1541,70,326,63.34000000000001,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
2019-02-22,253,4,0,5,0,4,6,1,1293,27,306,59.46,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0
2019-02-23,438,25,1,10,0,3,6,1,2439,146,334,64.76,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0
2019-02-24,501,28,0,10,0,14,12,0,2735,138,327,63.5,0,0,0,0,0,0,0,0,0,0,7,0,0,5,0
2019-02-25,329,15,0,7,1,2,4,0,1749,84,319,61.84,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0
2019-02-26,260,18,1,8,0,2,2,1,1244,107,287,55.66,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
2019-02-27,208,9,0,8,0,3,3,0,1007,60,290,56.31,0,0,0,0,0,0,0,0,0,0,7,0,0,2,0
2019-02-28,197,7,1,8,0,3,6,2,974,42,296,57.550000000000004,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0
2019-03-01,229,12,0,2,0,0,5,3,1148,59,300,58.29,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0
2019-03-02,243,12,0,2,1,3,2,0,1262,59,311,60.4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2019-03-03,321,26,1,5,0,7,3,0,1904,141,355,68.99,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0
2019-03-04,233,11,0,4,0,3,5,0,1255,52,323,62.64999999999999,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
2019-03-05,216,14,0,5,0,2,6,0,1170,67,325,63.029999999999994,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
2019-03-06,196,6,0,5,1,5,4,0,1018,35,311,60.41,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0
2019-03-07,188,14,0,2,0,3,3,0,1026,80,327,63.46000000000001,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0
2019-03-08,217,8,0,4,0,3,1,2,1075,40,297,57.63,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0
2019-03-09,293,22,0,10,0,4,1,1,1687,134,345,66.95,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
2019-03-10,281,20,0,4,0,3,5,0,1497,128,319,61.96,0,0,0,0,0,0,0,0,0,0,5,0,0,6,1
