day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2020-12-12,22145,2894,108,2047,9,1871,278,102,132331,18490,358,61.919999999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,35,13
2020-12-13,12535,1671,28,888,5,539,313,55,73111,10742,349,60.43999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,31,6
2020-12-14,4254,543,4,290,2,192,172,24,24559,3359,346,59.82999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3
2020-12-15,4211,526,8,245,4,155,115,12,23649,3310,336,58.20000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5
2020-12-16,3835,440,7,184,5,135,82,10,20933,2577,327,56.56,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0
2020-12-17,2014,232,2,123,2,70,78,6,11558,1399,344,59.47,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2
2020-12-18,1381,154,6,58,0,49,40,4,7763,913,337,58.25,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4
2020-12-19,1179,141,0,56,0,40,45,6,6940,878,353,61.0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2020-12-20,1080,136,0,59,0,25,40,2,6545,939,363,62.8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2020-12-21,809,114,0,35,0,19,38,1,4643,713,344,59.48,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2020-12-22,660,91,0,29,0,18,27,4,4102,577,372,64.41,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2020-12-23,550,70,0,26,0,9,20,4,3239,454,353,61.03000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2020-12-24,410,47,1,17,0,7,13,1,2479,262,362,62.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-25,490,74,0,26,0,13,15,4,3082,460,377,65.18,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2020-12-26,519,89,0,36,0,15,20,0,3506,627,405,70.02,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2020-12-27,555,73,1,29,1,10,19,2,3489,519,377,65.16,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2020-12-28,562,83,2,42,0,18,25,0,3530,553,376,65.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
