videoID,day,likes
d6SpOy0IGHU,2020-12-12,2047
d6SpOy0IGHU,2020-12-13,888
d6SpOy0IGHU,2020-12-14,290
d6SpOy0IGHU,2020-12-15,245
d6SpOy0IGHU,2020-12-16,184
d6SpOy0IGHU,2020-12-17,123
d6SpOy0IGHU,2020-12-18,58
d6SpOy0IGHU,2020-12-19,56
d6SpOy0IGHU,2020-12-20,59
d6SpOy0IGHU,2020-12-21,35
d6SpOy0IGHU,2020-12-22,29
d6SpOy0IGHU,2020-12-23,26
d6SpOy0IGHU,2020-12-24,17
d6SpOy0IGHU,2020-12-25,26
d6SpOy0IGHU,2020-12-26,36
d6SpOy0IGHU,2020-12-27,29
d6SpOy0IGHU,2020-12-28,42
d6SpOy0IGHU,2020-12-29,35
d6SpOy0IGHU,2020-12-30,18
d6SpOy0IGHU,2020-12-31,14
d6SpOy0IGHU,2021-01-01,21
d6SpOy0IGHU,2021-01-02,37
d6SpOy0IGHU,2021-01-03,30
d6SpOy0IGHU,2021-01-04,38
d6SpOy0IGHU,2021-01-05,25
d6SpOy0IGHU,2021-01-06,25
d6SpOy0IGHU,2021-01-07,18
d6SpOy0IGHU,2021-01-08,23
d6SpOy0IGHU,2021-01-09,27
d6SpOy0IGHU,2021-01-10,26
d6SpOy0IGHU,2021-01-11,17
d6SpOy0IGHU,2021-01-12,19
d6SpOy0IGHU,2021-01-13,12
d6SpOy0IGHU,2021-01-14,13
d6SpOy0IGHU,2021-01-15,13
d6SpOy0IGHU,2021-01-16,12
d6SpOy0IGHU,2021-01-17,18
d6SpOy0IGHU,2021-01-18,24
d6SpOy0IGHU,2021-01-19,67
d6SpOy0IGHU,2021-01-20,134
d6SpOy0IGHU,2021-01-21,204
d6SpOy0IGHU,2021-01-22,128
d6SpOy0IGHU,2021-01-23,120
d6SpOy0IGHU,2021-01-24,192
d6SpOy0IGHU,2021-01-25,189
d6SpOy0IGHU,2021-01-26,191
d6SpOy0IGHU,2021-01-27,103
d6SpOy0IGHU,2021-01-28,19
d6SpOy0IGHU,2021-01-29,29
d6SpOy0IGHU,2021-01-30,53
d6SpOy0IGHU,2021-01-31,71
d6SpOy0IGHU,2021-02-01,33
d6SpOy0IGHU,2021-02-02,18
d6SpOy0IGHU,2021-02-03,20
d6SpOy0IGHU,2021-02-04,17
d6SpOy0IGHU,2021-02-05,19
d6SpOy0IGHU,2021-02-06,18
d6SpOy0IGHU,2021-02-07,22
d6SpOy0IGHU,2021-02-08,19
d6SpOy0IGHU,2021-02-09,22
d6SpOy0IGHU,2021-02-10,20
