day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2020-12-26,38851,5367,182,3240,18,2719,324,178,321179,47683,496,61.69,0,0,0,0,0,0,0,0,0,0,0,0,0,126,13
2020-12-27,32832,4141,61,1908,19,1254,484,161,256847,35748,469,58.379999999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,153,6
2020-12-28,16544,1902,22,744,5,565,275,75,121026,15972,438,54.59,0,0,0,0,0,0,0,0,0,0,0,0,0,106,4
2020-12-29,12001,1323,17,440,9,438,222,43,83924,10944,419,52.190000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,76,8
2020-12-30,5112,598,3,203,2,187,126,24,37994,5090,445,55.47,0,0,0,0,0,0,0,0,0,0,0,0,0,37,5
2020-12-31,3186,382,5,124,3,116,103,23,23727,3105,446,55.58,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2
2021-01-01,3207,412,7,129,3,119,85,14,24602,3557,460,57.25,0,0,0,0,0,0,0,0,0,0,0,0,0,24,3
2021-01-02,2573,325,4,126,2,71,82,5,19213,2712,448,55.730000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2
2021-01-03,2072,255,6,88,1,80,64,4,16157,2201,467,58.20000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1
2021-01-04,1965,228,3,81,2,62,69,4,14870,1971,454,56.47,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2
2021-01-05,1904,279,1,76,0,48,59,8,14908,2378,469,58.43000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,23,3
2021-01-06,1432,188,1,54,0,44,42,5,11292,1558,473,58.85,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
2021-01-07,1212,167,0,49,1,26,40,8,9396,1425,465,57.86,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
2021-01-08,969,142,1,40,0,23,25,3,7612,1291,471,58.63,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
2021-01-09,1067,143,4,34,0,17,38,0,8603,1206,483,60.17,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
