day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2019-01-18,9430,670,150,877,6,666,75,55,92857,7017,590,55.84,0,0,0,0,0,0,0,0,0.0,0,163,0,0,24,9
2019-01-19,8252,429,53,505,7,319,113,48,68063,4688,494,46.78,0,0,0,0,0,0,0,0,0.0070999999999999995,1,140,0,1,21,4
2019-01-20,4223,222,19,218,3,141,67,18,35006,2171,497,47.01,0,0,0,0,0,0,0,0,0.0,0,78,0,0,21,4
2019-01-21,1770,85,4,81,2,34,46,11,13853,803,469,44.39,0,0,0,0,0,0,0,0,0.0,0,32,0,0,6,5
2019-01-22,1262,62,6,54,1,31,33,11,8431,604,400,37.89,0,0,0,0,0,0,0,0,0.0,0,21,0,0,8,1
2019-01-23,959,42,4,34,0,21,29,5,6529,379,408,38.61,0,0,0,0,0,0,0,0,0.0,0,4,0,0,5,2
2019-01-24,751,39,1,20,0,14,13,3,5605,331,447,42.33,0,0,0,0,0,0,0,0,0.0,0,10,0,0,5,0
2019-01-25,543,31,4,26,0,10,8,4,4056,291,448,42.37,0,0,0,0,0,0,0,0,0.0,0,8,0,0,3,1
2019-01-26,555,26,1,24,0,10,17,3,5134,269,555,52.46999999999999,0,0,0,0,0,0,0,0,0.0,0,9,0,0,2,1
2019-01-27,500,33,0,17,0,14,7,4,4632,310,555,52.54,0,0,0,0,0,0,0,0,0.0,0,6,0,0,2,0
2019-01-28,369,19,2,18,0,6,9,0,3433,279,558,52.76,0,0,0,0,0,0,0,0,0.0,0,3,0,0,1,1
2019-01-29,273,15,2,7,0,3,9,0,2708,205,595,56.269999999999996,0,0,0,0,0,0,0,0,0.0,0,3,0,0,0,1
2019-01-30,214,13,1,12,0,2,12,2,1878,114,526,49.77,0,0,0,0,0,0,0,0,0.0,0,1,0,0,1,0
2019-01-31,225,15,0,9,0,3,1,0,1968,108,524,49.61,0,0,0,0,0,0,0,0,0.0,0,1,0,0,1,0
2019-02-01,261,11,1,6,0,7,6,1,2318,134,532,50.36999999999999,0,0,0,0,0,0,0,0,0.0,0,4,0,0,0,0
2019-02-02,333,22,1,9,0,3,3,2,2941,258,530,50.1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,3,0
2019-02-03,299,23,4,14,0,5,11,0,2892,202,580,54.87,0,0,0,0,0,0,0,0,0.0,0,9,0,0,0,0
2019-02-04,279,22,1,8,0,1,3,6,2422,225,520,49.24,0,0,0,0,0,0,0,0,0.0,0,4,0,0,2,0
2019-02-05,243,17,1,13,0,4,3,4,2325,228,574,54.26,0,0,0,0,0,0,0,0,0.0,0,2,0,0,0,0
2019-02-06,248,12,1,7,0,5,5,1,2215,131,535,50.64999999999999,0,0,0,0,0,0,0,0,0.0,0,3,0,0,1,0
2019-02-07,277,11,1,8,0,9,8,1,2226,103,482,45.59,0,0,0,0,0,0,0,0,0.0,0,3,0,0,1,0
2019-02-08,202,18,1,10,0,6,5,0,1926,192,572,54.09,0,0,0,0,0,0,0,0,0.0,0,1,0,0,1,0
2019-02-09,252,13,1,12,0,8,5,1,2447,172,582,55.09,0,0,0,0,0,0,0,0,0.0,0,4,0,0,2,0
2019-02-10,234,16,1,4,0,4,4,1,2161,172,554,52.38,0,0,0,0,0,0,0,0,0.0,0,4,0,0,1,0
2019-02-11,207,16,2,6,0,2,5,0,1837,163,532,50.34,0,0,0,0,0,0,0,0,0.0,0,4,0,0,0,0
2019-02-12,205,9,0,4,0,1,3,1,1756,136,514,48.6,0,0,0,0,0,0,0,0,0.0,0,4,0,0,1,0
2019-02-13,205,8,0,3,0,1,4,1,1560,106,456,43.17,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2019-02-14,211,7,1,10,0,4,3,0,2035,86,578,54.7,0,0,0,0,0,0,0,0,0.0,0,2,0,0,3,0
2019-02-15,229,23,0,6,0,2,4,0,2133,255,558,52.83,0,0,0,0,0,0,0,0,0.0,0,2,0,0,1,0
2019-02-16,361,26,1,14,0,1,7,0,3404,271,565,53.49,0,0,0,0,0,0,0,0,0.0,0,1,0,0,3,0
2019-02-17,374,32,0,12,0,2,3,2,3977,424,638,60.309999999999995,0,0,0,0,0,0,0,0,0.0,0,1,0,0,2,1
2019-02-18,315,20,1,7,0,1,4,1,3051,282,581,54.94,0,0,0,0,0,0,0,0,0.0,0,4,0,0,1,0
2019-02-19,299,19,0,7,0,10,4,1,2853,211,572,54.11,0,0,0,0,0,0,0,0,0.0,0,5,0,0,2,0
2019-02-20,253,10,1,5,0,2,0,2,2536,109,601,56.86,0,0,0,0,0,0,0,0,0.0,0,0,0,0,4,0
2019-02-21,242,14,0,3,0,4,5,0,2225,160,551,52.16,0,0,0,0,0,0,0,0,0.0,0,0,0,0,3,0
2019-02-22,207,9,0,4,0,4,3,2,1761,98,510,48.26,0,0,0,0,0,0,0,0,0.0,0,1,0,0,0,0
2019-02-23,269,14,0,12,0,7,0,1,2733,158,609,57.61999999999999,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,0
2019-02-24,280,11,0,9,0,10,3,0,2816,129,603,57.05,0,0,0,0,0,0,0,0,0.0,0,3,0,0,5,1
2019-02-25,230,11,0,9,0,3,5,2,2310,120,602,56.98,0,0,0,0,0,0,0,0,0.0,0,3,0,0,2,0
2019-02-26,231,17,0,4,0,1,0,2,1876,190,487,46.06,0,0,0,0,0,0,0,0,0.0,0,6,0,0,0,0
2019-02-27,170,6,1,6,0,3,4,2,1391,53,490,46.41,0,0,0,0,0,0,0,0,0.0,0,3,0,0,3,0
2019-02-28,137,9,0,2,0,5,3,0,1140,69,499,47.23,0,0,0,0,0,0,0,0,0.0,0,2,0,0,0,0
2019-03-01,136,8,0,2,0,0,2,0,1146,59,506,47.83,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0
2019-03-02,192,12,2,6,0,2,2,0,1867,115,583,55.169999999999995,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,0
2019-03-03,268,15,0,6,1,8,3,1,2610,219,584,55.24,0,0,0,0,0,0,0,0,0.0,0,3,0,0,1,0
2019-03-04,186,17,1,4,0,5,1,1,2061,234,665,62.86000000000001,0,0,0,0,0,0,0,0,0.0,0,1,0,0,6,0
2019-03-05,163,20,1,4,0,4,4,0,1631,179,600,56.769999999999996,0,0,0,0,0,0,0,0,0.0,0,1,0,0,3,0
2019-03-06,143,12,1,4,0,3,1,0,1435,174,602,56.940000000000005,0,0,0,0,0,0,0,0,0.0,0,1,0,0,1,0
2019-03-07,165,13,0,3,0,7,9,0,1453,160,528,49.96,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2019-03-08,160,15,1,4,0,5,2,0,1806,150,677,64.03,0,0,0,0,0,0,0,0,0.0,0,1,0,0,0,0
2019-03-09,180,18,0,5,0,4,2,0,2083,179,694,65.64,0,0,0,0,0,0,0,0,0.0,0,2,0,0,0,0
2019-03-10,204,5,1,10,0,4,1,0,2220,85,653,61.74000000000001,0,0,0,0,0,0,0,0,0.0,0,3,0,0,4,0
2019-03-11,145,6,0,3,0,4,1,1,1619,77,670,63.34000000000001,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0
2019-03-12,131,7,0,2,0,1,2,0,1509,98,691,65.34,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2019-03-13,133,6,0,2,0,3,6,0,1187,59,535,50.61,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2019-03-14,108,5,0,5,0,2,1,0,1067,59,592,56.04,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0
2019-03-15,142,6,0,0,0,1,1,1,1430,76,604,57.14,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2019-03-16,226,10,1,5,0,4,3,1,2076,127,551,52.12,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1
2019-03-17,195,12,0,3,0,4,7,0,2132,180,656,62.029999999999994,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2019-03-18,147,8,0,6,0,2,1,3,1431,43,584,55.24,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0
2019-03-19,154,14,0,7,0,2,6,0,1669,172,650,61.480000000000004,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2019-03-20,165,7,0,2,0,1,1,1,1684,104,612,57.89,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2019-03-21,149,7,0,5,0,5,2,1,1501,98,604,57.13,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
