videoID,day,likes
dSVLn_vZi6o,2019-01-18,877
dSVLn_vZi6o,2019-01-19,505
dSVLn_vZi6o,2019-01-20,218
dSVLn_vZi6o,2019-01-21,81
dSVLn_vZi6o,2019-01-22,54
dSVLn_vZi6o,2019-01-23,34
dSVLn_vZi6o,2019-01-24,20
dSVLn_vZi6o,2019-01-25,26
dSVLn_vZi6o,2019-01-26,24
dSVLn_vZi6o,2019-01-27,17
dSVLn_vZi6o,2019-01-28,18
dSVLn_vZi6o,2019-01-29,7
dSVLn_vZi6o,2019-01-30,12
dSVLn_vZi6o,2019-01-31,9
dSVLn_vZi6o,2019-02-01,6
dSVLn_vZi6o,2019-02-02,9
dSVLn_vZi6o,2019-02-03,14
dSVLn_vZi6o,2019-02-04,8
dSVLn_vZi6o,2019-02-05,13
dSVLn_vZi6o,2019-02-06,7
dSVLn_vZi6o,2019-02-07,8
dSVLn_vZi6o,2019-02-08,10
dSVLn_vZi6o,2019-02-09,12
dSVLn_vZi6o,2019-02-10,4
dSVLn_vZi6o,2019-02-11,6
dSVLn_vZi6o,2019-02-12,4
dSVLn_vZi6o,2019-02-13,3
dSVLn_vZi6o,2019-02-14,10
dSVLn_vZi6o,2019-02-15,6
dSVLn_vZi6o,2019-02-16,14
dSVLn_vZi6o,2019-02-17,12
dSVLn_vZi6o,2019-02-18,7
dSVLn_vZi6o,2019-02-19,7
dSVLn_vZi6o,2019-02-20,5
dSVLn_vZi6o,2019-02-21,3
dSVLn_vZi6o,2019-02-22,4
dSVLn_vZi6o,2019-02-23,12
dSVLn_vZi6o,2019-02-24,9
dSVLn_vZi6o,2019-02-25,9
dSVLn_vZi6o,2019-02-26,4
dSVLn_vZi6o,2019-02-27,6
dSVLn_vZi6o,2019-02-28,2
dSVLn_vZi6o,2019-03-01,2
dSVLn_vZi6o,2019-03-02,6
dSVLn_vZi6o,2019-03-03,6
dSVLn_vZi6o,2019-03-04,4
dSVLn_vZi6o,2019-03-05,4
dSVLn_vZi6o,2019-03-06,4
dSVLn_vZi6o,2019-03-07,3
dSVLn_vZi6o,2019-03-08,4
dSVLn_vZi6o,2019-03-09,5
dSVLn_vZi6o,2019-03-10,10
dSVLn_vZi6o,2019-03-11,3
dSVLn_vZi6o,2019-03-12,2
dSVLn_vZi6o,2019-03-13,2
dSVLn_vZi6o,2019-03-14,5
dSVLn_vZi6o,2019-03-15,0
dSVLn_vZi6o,2019-03-16,5
dSVLn_vZi6o,2019-03-17,3
dSVLn_vZi6o,2019-03-18,6
dSVLn_vZi6o,2019-03-19,7
dSVLn_vZi6o,2019-03-20,2
dSVLn_vZi6o,2019-03-21,5
dSVLn_vZi6o,2019-03-22,6
dSVLn_vZi6o,2019-03-23,4
dSVLn_vZi6o,2019-03-24,4
dSVLn_vZi6o,2019-03-25,1
dSVLn_vZi6o,2019-03-26,2
dSVLn_vZi6o,2019-03-27,6
dSVLn_vZi6o,2019-03-28,3
dSVLn_vZi6o,2019-03-29,4
dSVLn_vZi6o,2019-03-30,6
dSVLn_vZi6o,2019-03-31,6
dSVLn_vZi6o,2019-04-01,0
dSVLn_vZi6o,2019-04-02,2
dSVLn_vZi6o,2019-04-03,1
dSVLn_vZi6o,2019-04-04,1
dSVLn_vZi6o,2019-04-05,1
dSVLn_vZi6o,2019-04-06,4
dSVLn_vZi6o,2019-04-07,5
dSVLn_vZi6o,2019-04-08,1
dSVLn_vZi6o,2019-04-09,3
dSVLn_vZi6o,2019-04-10,3
dSVLn_vZi6o,2019-04-11,2
dSVLn_vZi6o,2019-04-12,4
dSVLn_vZi6o,2019-04-13,0
dSVLn_vZi6o,2019-04-14,2
dSVLn_vZi6o,2019-04-15,4
dSVLn_vZi6o,2019-04-16,6
dSVLn_vZi6o,2019-04-17,1
dSVLn_vZi6o,2019-04-18,1
dSVLn_vZi6o,2019-04-19,2
dSVLn_vZi6o,2019-04-20,1
dSVLn_vZi6o,2019-04-21,2
dSVLn_vZi6o,2019-04-22,4
dSVLn_vZi6o,2019-04-23,0
dSVLn_vZi6o,2019-04-24,4
dSVLn_vZi6o,2019-04-25,2
dSVLn_vZi6o,2019-04-26,2
dSVLn_vZi6o,2019-04-27,4
dSVLn_vZi6o,2019-04-28,2
dSVLn_vZi6o,2019-04-29,1
dSVLn_vZi6o,2019-04-30,8
dSVLn_vZi6o,2019-05-01,4
dSVLn_vZi6o,2019-05-02,4
dSVLn_vZi6o,2019-05-03,2
dSVLn_vZi6o,2019-05-04,4
dSVLn_vZi6o,2019-05-05,6
dSVLn_vZi6o,2019-05-06,9
dSVLn_vZi6o,2019-05-07,13
dSVLn_vZi6o,2019-05-08,6
dSVLn_vZi6o,2019-05-09,8
dSVLn_vZi6o,2019-05-10,4
dSVLn_vZi6o,2019-05-11,6
dSVLn_vZi6o,2019-05-12,7
dSVLn_vZi6o,2019-05-13,6
dSVLn_vZi6o,2019-05-14,1
dSVLn_vZi6o,2019-05-15,5
dSVLn_vZi6o,2019-05-16,3
