day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2021-01-18,52757,6115,193,2937,34,2368,272,143,385524,48157,438,62.63999999999999,0,0,0,0,0,0,0,0.3439,0.036699999999999997,660,12008,227,441,179,21
2021-01-19,74300,6068,129,2633,63,1967,585,179,505806,46631,408,58.35,0,0,0,0,0,0,0,0.3043,0.0296,552,13092,168,388,276,20
2021-01-20,39303,2992,54,917,20,837,332,73,261823,22438,399,57.10000000000001,0,0,0,0,0,0,0,0.2821,0.0242,195,5741,55,139,200,8
2021-01-21,41673,3274,40,816,33,808,267,50,263100,23694,378,54.120000000000005,0,0,0,0,0,0,0,0.29410000000000003,0.0195,170,5888,50,115,206,5
2021-01-22,51816,3318,66,839,40,934,247,77,317503,23673,367,52.52,0,0,0,0,0,0,0,0.2563,0.017,160,6650,41,113,304,5
2021-01-23,38842,2469,31,578,24,710,208,63,232533,17967,359,51.31,0,0,0,0,0,0,0,0.3017,0.0171,116,4805,35,82,209,9
2021-01-24,55210,4130,49,937,35,1062,269,100,327180,28835,355,50.8,0,0,0,0,0,0,0,0.2864,0.0184,213,7864,61,145,355,11
2021-01-25,100623,6859,129,1456,92,2072,375,160,568345,46033,338,48.41,0,0,0,0,0,0,0,0.25,0.0178,332,13657,83,243,642,12
2021-01-26,105969,6689,112,1560,110,2193,439,138,573325,44426,324,46.37,0,0,0,0,0,0,0,0.2572,0.0166,311,13313,80,221,673,14
2021-01-27,53750,3657,59,811,51,1271,359,72,295719,23994,330,47.16,0,0,0,0,0,0,0,0.2544,0.0172,169,7022,43,121,337,9
2021-01-28,25459,1750,33,398,27,628,236,42,137554,11379,324,46.31,0,0,0,0,0,0,0,0.2791,0.016399999999999998,86,3470,24,57,136,5
2021-01-29,12722,867,8,224,17,333,173,25,69043,5577,325,46.52,0,0,0,0,0,0,0,0.2647,0.027000000000000003,68,1888,18,51,76,4
2021-01-30,9340,640,8,174,9,200,150,15,54439,4324,349,49.96,0,0,0,0,0,0,0,0.34149999999999997,0.018600000000000002,41,1455,14,27,62,4
2021-01-31,8055,557,7,153,9,227,157,8,49298,4205,367,52.459999999999994,0,0,0,0,0,0,0,0.3065,0.034,62,1235,19,42,45,2
2021-02-01,4394,323,3,97,3,134,103,6,27431,2298,374,53.510000000000005,0,0,0,0,0,0,0,0.2667,0.013999999999999999,15,786,4,11,42,2
2021-02-02,3141,252,4,61,7,80,103,5,19408,1947,370,52.959999999999994,0,0,0,0,0,0,0,0.3333,0.0209,18,575,6,12,23,0
2021-02-03,2583,198,4,68,2,70,76,12,15821,1293,367,52.5,0,0,0,0,0,0,0,0.3824,0.0429,34,490,13,21,16,0
2021-02-04,2118,188,3,54,2,64,56,2,13382,1376,379,54.16,0,0,0,0,0,0,0,0.2667,0.0252,15,397,4,10,14,1
2021-02-05,1814,172,0,43,0,78,79,1,11676,1295,386,55.169999999999995,0,0,0,0,0,0,0,0.2632,0.030899999999999997,19,388,5,12,12,0
2021-02-06,1744,186,0,54,0,45,56,4,10638,1307,366,52.290000000000006,0,0,0,0,0,0,0,0.16670000000000001,0.0296,12,372,2,11,15,1
2021-02-07,2112,232,2,42,0,46,42,1,12879,1598,365,52.27,0,0,0,0,0,0,0,0.2667,0.023399999999999997,15,427,4,10,16,1
2021-02-08,1301,139,0,25,1,32,46,2,8223,983,379,54.17999999999999,0,0,0,0,0,0,0,0.31579999999999997,0.053,19,264,6,14,9,0
2021-02-09,1228,148,2,28,0,20,35,4,7593,993,371,53.0,0,0,0,0,0,0,0,0.4375,0.0364,16,247,7,9,9,0
2021-02-10,1063,127,2,26,1,27,46,0,6663,887,376,53.73,0,0,0,0,0,0,0,0.3125,0.047,16,234,5,11,12,0
2021-02-11,817,88,0,19,0,25,29,2,5209,673,382,54.65,0,0,0,0,0,0,0,0.2857,0.0366,7,164,2,6,6,3
2021-02-12,837,97,3,12,0,25,35,1,5175,724,371,53.0,0,0,0,0,0,0,0,0.3333,0.0361,9,166,3,6,2,0
2021-02-13,915,92,2,24,1,28,40,2,5943,649,389,55.67999999999999,0,0,0,0,0,0,0,0.3333,0.0481,12,187,4,9,8,1
