videoID,day,likes
ddQliqqf6-g,2021-01-18,2937
ddQliqqf6-g,2021-01-19,2633
ddQliqqf6-g,2021-01-20,917
ddQliqqf6-g,2021-01-21,816
ddQliqqf6-g,2021-01-22,839
ddQliqqf6-g,2021-01-23,578
ddQliqqf6-g,2021-01-24,937
ddQliqqf6-g,2021-01-25,1456
ddQliqqf6-g,2021-01-26,1560
ddQliqqf6-g,2021-01-27,811
ddQliqqf6-g,2021-01-28,398
ddQliqqf6-g,2021-01-29,224
ddQliqqf6-g,2021-01-30,174
ddQliqqf6-g,2021-01-31,153
ddQliqqf6-g,2021-02-01,97
ddQliqqf6-g,2021-02-02,61
ddQliqqf6-g,2021-02-03,68
ddQliqqf6-g,2021-02-04,54
ddQliqqf6-g,2021-02-05,43
ddQliqqf6-g,2021-02-06,54
ddQliqqf6-g,2021-02-07,42
ddQliqqf6-g,2021-02-08,25
ddQliqqf6-g,2021-02-09,28
ddQliqqf6-g,2021-02-10,26
ddQliqqf6-g,2021-02-11,19
ddQliqqf6-g,2021-02-12,12
ddQliqqf6-g,2021-02-13,24
ddQliqqf6-g,2021-02-14,23
ddQliqqf6-g,2021-02-15,25
ddQliqqf6-g,2021-02-16,25
ddQliqqf6-g,2021-02-17,25
ddQliqqf6-g,2021-02-18,18
ddQliqqf6-g,2021-02-19,13
ddQliqqf6-g,2021-02-20,18
ddQliqqf6-g,2021-02-21,17
ddQliqqf6-g,2021-02-22,12
ddQliqqf6-g,2021-02-23,30
ddQliqqf6-g,2021-02-24,6
ddQliqqf6-g,2021-02-25,11
ddQliqqf6-g,2021-02-26,11
ddQliqqf6-g,2021-02-27,12
ddQliqqf6-g,2021-02-28,18
ddQliqqf6-g,2021-03-01,8
ddQliqqf6-g,2021-03-02,11
ddQliqqf6-g,2021-03-03,12
ddQliqqf6-g,2021-03-04,10
ddQliqqf6-g,2021-03-05,2
ddQliqqf6-g,2021-03-06,15
ddQliqqf6-g,2021-03-07,12
ddQliqqf6-g,2021-03-08,11
ddQliqqf6-g,2021-03-09,8
ddQliqqf6-g,2021-03-10,13
ddQliqqf6-g,2021-03-11,14
ddQliqqf6-g,2021-03-12,19
ddQliqqf6-g,2021-03-13,10
ddQliqqf6-g,2021-03-14,13
ddQliqqf6-g,2021-03-15,11
ddQliqqf6-g,2021-03-16,11
ddQliqqf6-g,2021-03-17,10
ddQliqqf6-g,2021-03-18,11
ddQliqqf6-g,2021-03-19,7
ddQliqqf6-g,2021-03-20,14
ddQliqqf6-g,2021-03-21,3
ddQliqqf6-g,2021-03-22,5
ddQliqqf6-g,2021-03-23,1
ddQliqqf6-g,2021-03-24,4
ddQliqqf6-g,2021-03-25,11
ddQliqqf6-g,2021-03-26,7
ddQliqqf6-g,2021-03-27,6
ddQliqqf6-g,2021-03-28,5
ddQliqqf6-g,2021-03-29,7
ddQliqqf6-g,2021-03-30,2
ddQliqqf6-g,2021-03-31,5
ddQliqqf6-g,2021-04-01,1
ddQliqqf6-g,2021-04-02,5
ddQliqqf6-g,2021-04-03,4
ddQliqqf6-g,2021-04-04,6
ddQliqqf6-g,2021-04-05,5
ddQliqqf6-g,2021-04-06,6
ddQliqqf6-g,2021-04-07,-1
ddQliqqf6-g,2021-04-08,0
ddQliqqf6-g,2021-04-09,4
ddQliqqf6-g,2021-04-10,4
ddQliqqf6-g,2021-04-11,8
ddQliqqf6-g,2021-04-12,10
ddQliqqf6-g,2021-04-13,9
ddQliqqf6-g,2021-04-14,4
ddQliqqf6-g,2021-04-15,6
ddQliqqf6-g,2021-04-16,9
ddQliqqf6-g,2021-04-17,2
ddQliqqf6-g,2021-04-18,6
ddQliqqf6-g,2021-04-19,7
ddQliqqf6-g,2021-04-20,12
ddQliqqf6-g,2021-04-21,23
ddQliqqf6-g,2021-04-22,43
ddQliqqf6-g,2021-04-23,22
ddQliqqf6-g,2021-04-24,28
ddQliqqf6-g,2021-04-25,23
ddQliqqf6-g,2021-04-26,25
ddQliqqf6-g,2021-04-27,15
ddQliqqf6-g,2021-04-28,8
ddQliqqf6-g,2021-04-29,8
ddQliqqf6-g,2021-04-30,10
ddQliqqf6-g,2021-05-01,17
ddQliqqf6-g,2021-05-02,24
ddQliqqf6-g,2021-05-03,32
ddQliqqf6-g,2021-05-04,38
ddQliqqf6-g,2021-05-05,29
ddQliqqf6-g,2021-05-06,14
ddQliqqf6-g,2021-05-07,20
ddQliqqf6-g,2021-05-08,7
ddQliqqf6-g,2021-05-09,8
ddQliqqf6-g,2021-05-10,7
ddQliqqf6-g,2021-05-11,10
ddQliqqf6-g,2021-05-12,6
ddQliqqf6-g,2021-05-13,9
ddQliqqf6-g,2021-05-14,8
ddQliqqf6-g,2021-05-15,6
ddQliqqf6-g,2021-05-16,10
ddQliqqf6-g,2021-05-17,24
ddQliqqf6-g,2021-05-18,51
ddQliqqf6-g,2021-05-19,52
ddQliqqf6-g,2021-05-20,60
ddQliqqf6-g,2021-05-21,29
ddQliqqf6-g,2021-05-22,34
ddQliqqf6-g,2021-05-23,20
ddQliqqf6-g,2021-05-24,13
ddQliqqf6-g,2021-05-25,22
ddQliqqf6-g,2021-05-26,17
ddQliqqf6-g,2021-05-27,22
ddQliqqf6-g,2021-05-28,69
ddQliqqf6-g,2021-05-29,99
ddQliqqf6-g,2021-05-30,154
ddQliqqf6-g,2021-05-31,298
ddQliqqf6-g,2021-06-01,430
ddQliqqf6-g,2021-06-02,444
ddQliqqf6-g,2021-06-03,617
ddQliqqf6-g,2021-06-04,436
ddQliqqf6-g,2021-06-05,308
ddQliqqf6-g,2021-06-06,218
ddQliqqf6-g,2021-06-07,122
ddQliqqf6-g,2021-06-08,83
ddQliqqf6-g,2021-06-09,102
ddQliqqf6-g,2021-06-10,78
ddQliqqf6-g,2021-06-11,82
ddQliqqf6-g,2021-06-12,71
ddQliqqf6-g,2021-06-13,51
ddQliqqf6-g,2021-06-14,48
ddQliqqf6-g,2021-06-15,41
ddQliqqf6-g,2021-06-16,42
ddQliqqf6-g,2021-06-17,53
ddQliqqf6-g,2021-06-18,55
ddQliqqf6-g,2021-06-19,97
ddQliqqf6-g,2021-06-20,76
ddQliqqf6-g,2021-06-21,74
ddQliqqf6-g,2021-06-22,65
ddQliqqf6-g,2021-06-23,82
ddQliqqf6-g,2021-06-24,78
ddQliqqf6-g,2021-06-25,62
ddQliqqf6-g,2021-06-26,100
ddQliqqf6-g,2021-06-27,85
ddQliqqf6-g,2021-06-28,83
ddQliqqf6-g,2021-06-29,79
ddQliqqf6-g,2021-06-30,59
ddQliqqf6-g,2021-07-01,66
ddQliqqf6-g,2021-07-02,53
ddQliqqf6-g,2021-07-03,63
ddQliqqf6-g,2021-07-04,55
ddQliqqf6-g,2021-07-05,66
ddQliqqf6-g,2021-07-06,57
ddQliqqf6-g,2021-07-07,61
ddQliqqf6-g,2021-07-08,55
ddQliqqf6-g,2021-07-09,40
ddQliqqf6-g,2021-07-10,42
ddQliqqf6-g,2021-07-11,59
ddQliqqf6-g,2021-07-12,53
ddQliqqf6-g,2021-07-13,30
ddQliqqf6-g,2021-07-14,48
ddQliqqf6-g,2021-07-15,53
ddQliqqf6-g,2021-07-16,60
ddQliqqf6-g,2021-07-17,70
ddQliqqf6-g,2021-07-18,90
ddQliqqf6-g,2021-07-19,60
ddQliqqf6-g,2021-07-20,61
ddQliqqf6-g,2021-07-21,48
ddQliqqf6-g,2021-07-22,61
ddQliqqf6-g,2021-07-23,47
