videoID,day,likes
e8U6S08uP0o,2022-02-21,3834
e8U6S08uP0o,2022-02-22,1954
e8U6S08uP0o,2022-02-23,838
e8U6S08uP0o,2022-02-24,502
e8U6S08uP0o,2022-02-25,391
e8U6S08uP0o,2022-02-26,284
e8U6S08uP0o,2022-02-27,213
e8U6S08uP0o,2022-02-28,134
e8U6S08uP0o,2022-03-01,99
e8U6S08uP0o,2022-03-02,182
e8U6S08uP0o,2022-03-03,138
e8U6S08uP0o,2022-03-04,102
e8U6S08uP0o,2022-03-05,111
e8U6S08uP0o,2022-03-06,90
e8U6S08uP0o,2022-03-07,136
e8U6S08uP0o,2022-03-08,69
e8U6S08uP0o,2022-03-09,53
e8U6S08uP0o,2022-03-10,61
e8U6S08uP0o,2022-03-11,67
e8U6S08uP0o,2022-03-12,75
e8U6S08uP0o,2022-03-13,59
e8U6S08uP0o,2022-03-14,79
