day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2021-12-10,67010,11425,329,4202,56,4068,574,410,627071,117634,561,59.86,0,0,0,0,0,0,0,0.2364,0.0040999999999999995,55,10588,13,43,148,22
2021-12-11,38978,6317,114,1986,19,1331,517,302,341142,63161,525,55.98,0,0,0,0,0,0,0,0.3,0.0033,20,5536,6,18,96,9
2021-12-12,75523,12917,135,2520,42,2661,486,374,583956,118538,463,49.46,0,0,0,0,0,0,0,0.1739,0.0045000000000000005,46,9526,8,43,292,19
2021-12-13,56360,9089,94,1796,31,1877,476,260,415510,80097,442,47.16,0,0,0,0,0,0,0,0.1389,0.0034000000000000002,36,7051,5,24,276,16
2021-12-14,30991,5098,51,898,19,1122,364,205,224036,44277,433,46.24,0,0,0,0,0,0,0,0.2,0.0044,15,3435,3,15,162,11
2021-12-15,31272,5487,67,1073,21,1231,282,225,244282,47988,468,49.97,0,0,0,0,0,0,0,0.1818,0.0043,22,4148,4,18,139,4
2021-12-16,30652,5202,59,1004,20,1226,266,185,236345,45429,462,49.32,0,0,0,0,0,0,0,0.16670000000000001,0.0031,18,3812,3,12,146,7
2021-12-17,17820,2903,35,604,15,713,220,177,132767,24696,447,47.66,0,0,0,0,0,0,0,0.1333,0.0098,15,2135,2,21,93,2
2021-12-18,15098,2478,32,478,7,548,158,136,111758,20376,444,47.35,0,0,0,0,0,0,0,0.0,0.0018,3,1655,0,3,73,4
2021-12-19,12243,1956,19,399,8,474,209,110,92889,16160,455,48.53,0,0,0,0,0,0,0,0.0,0.0036,5,1396,0,5,50,3
2021-12-20,7968,1294,19,259,3,314,143,91,61190,11360,460,49.12,0,0,0,0,0,0,0,0.0,0.004,6,990,0,4,42,4
2021-12-21,7418,1192,9,239,2,275,160,83,55072,10210,445,47.49,0,0,0,0,0,0,0,0.16670000000000001,0.004699999999999999,6,857,1,4,25,2
2021-12-22,5164,862,11,144,3,183,138,73,39281,7398,456,48.66,0,0,0,0,0,0,0,0.5,0.0078000000000000005,4,644,2,5,25,1
2021-12-23,5452,895,9,161,5,159,100,81,41353,7659,455,48.52,0,0,0,0,0,0,0,0.5,0.003,2,671,1,2,30,0
2021-12-24,4580,763,8,147,1,130,82,136,33405,6142,437,46.66,0,0,0,0,0,0,0,0.0,0.0021,1,484,0,1,23,0
2021-12-25,11668,2381,21,438,9,302,107,208,78522,15021,403,43.05,0,0,0,0,0,0,0,0.2857,0.0092,7,865,2,8,52,0
2021-12-26,6847,1296,10,268,4,196,93,80,54493,10690,477,50.91,0,0,0,0,0,0,0,0.0,0.0,0,660,0,0,45,2
2021-12-27,4808,834,4,201,1,149,100,58,39649,7397,494,52.75,0,0,0,0,0,0,0,0.5,0.0038,4,527,2,2,30,1
2021-12-28,4060,674,5,170,1,133,85,39,32300,5685,477,50.89,0,0,0,0,0,0,0,0.5,0.0022,2,454,1,1,28,2
2021-12-29,4272,688,7,133,1,132,83,29,32384,5715,454,48.49,0,0,0,0,0,0,0,0.4,0.012,5,418,2,5,19,1
2021-12-30,3995,790,10,142,3,105,73,32,36292,7451,545,58.10999999999999,0,0,0,0,0,0,0,0.3333,0.0058,3,515,1,3,19,1
2021-12-31,2695,484,5,99,0,67,57,24,21599,4118,480,51.27,0,0,0,0,0,0,0,0.0,0.008199999999999999,3,245,0,2,12,0
2022-01-01,2565,509,1,80,1,45,58,25,23131,5259,541,57.68,0,0,0,0,0,0,0,0.0,0.0031,1,321,0,1,13,1
2022-01-02,2274,435,3,80,2,39,57,15,20043,4447,528,56.38000000000001,0,0,0,0,0,0,0,1.0,0.0036,1,280,1,1,13,0
2022-01-03,1901,327,2,83,0,53,56,11,15540,2961,490,52.290000000000006,0,0,0,0,0,0,0,0.0,0.0087,2,231,0,2,9,2
2022-01-04,1925,331,1,64,-1,55,75,20,15214,3169,474,50.55,0,0,0,0,0,0,0,0.3333,0.0044,3,227,1,1,15,3
2022-01-05,1870,313,0,57,0,37,62,15,13467,2872,432,46.07,0,0,0,0,0,0,0,0.3333,0.0181,3,221,1,4,5,0
2022-01-06,1946,361,4,61,1,61,46,12,14928,3207,460,49.07,0,0,0,0,0,0,0,0.0,0.0,0,208,0,0,11,0
2022-01-07,1449,217,1,38,0,43,35,14,9984,2005,413,44.08,0,0,0,0,0,0,0,0.0,0.0072,1,139,0,1,4,0
2022-01-08,1350,243,1,42,1,37,57,5,9996,2057,444,47.37,0,0,0,0,0,0,0,0.0,0.0074,1,136,0,1,5,1
2022-01-09,1397,228,1,46,0,47,48,16,11208,2050,481,51.32,0,0,0,0,0,0,0,0.0,0.0,0,165,0,0,9,0
2022-01-10,1478,242,2,28,2,45,32,11,10909,2364,442,47.21,0,0,0,0,0,0,0,0.0,0.0152,3,198,0,3,4,0
2022-01-11,1208,191,1,26,0,38,42,10,9133,1740,453,48.37,0,0,0,0,0,0,0,0.0,0.0,0,149,0,0,6,0
2022-01-12,1255,202,3,24,0,40,37,11,9262,1704,442,47.21,0,0,0,0,0,0,0,0.0,0.0,0,156,0,0,6,0
2022-01-13,1682,257,1,31,2,45,36,34,13320,2122,475,50.66,0,0,0,0,0,0,0,0.0,0.0,0,236,0,0,8,2
