day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2019-02-01,15603,1025,93,1175,21,659,100,47,128409,8923,493,66.91,0,0,0,0,0,0,0,0.0,0.0,0,278,0,0,75,10
2019-02-02,29611,1655,63,1205,64,696,183,50,227308,13701,460,62.41,0,0,0,0,0,0,0,0.0,0.0,0,664,0,0,351,3
2019-02-03,22484,1213,46,708,48,488,160,39,167053,10009,445,60.41,0,0,0,0,0,0,0,0.0,0.0,0,511,0,0,333,7
2019-02-04,11805,597,26,322,20,227,113,16,86383,4562,439,59.489999999999995,0,0,0,0,0,0,0,0.0,0.0,0,218,0,0,152,1
2019-02-05,6938,304,22,198,11,157,93,7,48426,2206,418,56.75,0,0,0,0,0,0,0,0.0,0.0,0,136,0,0,82,6
2019-02-06,4905,222,9,126,8,109,55,17,34442,1523,421,57.09000000000001,0,0,0,0,0,0,0,0.0,0.0,0,90,0,0,57,0
2019-02-07,3171,146,8,92,5,57,51,5,21651,1083,409,55.50999999999999,0,0,0,0,0,0,0,0.0,0.0,0,59,0,0,37,3
2019-02-08,3107,126,3,68,3,61,32,11,20705,899,399,54.17999999999999,0,0,0,0,0,0,0,0.0,0.0,0,54,0,0,42,1
2019-02-09,2224,102,3,50,1,48,38,6,15198,754,410,55.559999999999995,0,0,0,0,0,0,0,0.0,0.0,0,36,0,0,22,1
2019-02-10,1266,64,4,38,4,33,33,3,8847,430,419,56.82000000000001,0,0,0,0,0,0,0,0.0,0.0,0,13,0,0,15,0
2019-02-11,726,31,0,22,1,9,19,4,5210,192,430,58.35,0,0,0,0,0,0,0,0.0,0.0,0,4,0,0,10,1
