videoID,day,likes
eaXDke4R0LI,2019-02-01,1175
eaXDke4R0LI,2019-02-02,1205
eaXDke4R0LI,2019-02-03,708
eaXDke4R0LI,2019-02-04,322
eaXDke4R0LI,2019-02-05,198
eaXDke4R0LI,2019-02-06,126
eaXDke4R0LI,2019-02-07,92
eaXDke4R0LI,2019-02-08,68
eaXDke4R0LI,2019-02-09,50
eaXDke4R0LI,2019-02-10,38
eaXDke4R0LI,2019-02-11,22
eaXDke4R0LI,2019-02-12,26
eaXDke4R0LI,2019-02-13,17
eaXDke4R0LI,2019-02-14,23
eaXDke4R0LI,2019-02-15,27
eaXDke4R0LI,2019-02-16,43
eaXDke4R0LI,2019-02-17,42
eaXDke4R0LI,2019-02-18,48
eaXDke4R0LI,2019-02-19,36
eaXDke4R0LI,2019-02-20,22
eaXDke4R0LI,2019-02-21,11
eaXDke4R0LI,2019-02-22,18
eaXDke4R0LI,2019-02-23,22
eaXDke4R0LI,2019-02-24,30
eaXDke4R0LI,2019-02-25,22
eaXDke4R0LI,2019-02-26,14
eaXDke4R0LI,2019-02-27,20
eaXDke4R0LI,2019-02-28,12
eaXDke4R0LI,2019-03-01,12
eaXDke4R0LI,2019-03-02,16
eaXDke4R0LI,2019-03-03,21
eaXDke4R0LI,2019-03-04,27
eaXDke4R0LI,2019-03-05,19
eaXDke4R0LI,2019-03-06,20
eaXDke4R0LI,2019-03-07,12
eaXDke4R0LI,2019-03-08,16
eaXDke4R0LI,2019-03-09,32
eaXDke4R0LI,2019-03-10,62
eaXDke4R0LI,2019-03-11,35
eaXDke4R0LI,2019-03-12,35
eaXDke4R0LI,2019-03-13,16
eaXDke4R0LI,2019-03-14,14
eaXDke4R0LI,2019-03-15,10
eaXDke4R0LI,2019-03-16,19
eaXDke4R0LI,2019-03-17,14
eaXDke4R0LI,2019-03-18,17
eaXDke4R0LI,2019-03-19,22
eaXDke4R0LI,2019-03-20,6
eaXDke4R0LI,2019-03-21,22
eaXDke4R0LI,2019-03-22,13
eaXDke4R0LI,2019-03-23,12
eaXDke4R0LI,2019-03-24,13
eaXDke4R0LI,2019-03-25,14
eaXDke4R0LI,2019-03-26,11
eaXDke4R0LI,2019-03-27,15
eaXDke4R0LI,2019-03-28,11
eaXDke4R0LI,2019-03-29,6
eaXDke4R0LI,2019-03-30,12
eaXDke4R0LI,2019-03-31,8
eaXDke4R0LI,2019-04-01,7
eaXDke4R0LI,2019-04-02,8
eaXDke4R0LI,2019-04-03,7
eaXDke4R0LI,2019-04-04,8
eaXDke4R0LI,2019-04-05,2
eaXDke4R0LI,2019-04-06,9
eaXDke4R0LI,2019-04-07,10
eaXDke4R0LI,2019-04-08,5
eaXDke4R0LI,2019-04-09,6
eaXDke4R0LI,2019-04-10,3
eaXDke4R0LI,2019-04-11,3
eaXDke4R0LI,2019-04-12,4
eaXDke4R0LI,2019-04-13,2
eaXDke4R0LI,2019-04-14,2
eaXDke4R0LI,2019-04-15,3
eaXDke4R0LI,2019-04-16,6
eaXDke4R0LI,2019-04-17,2
eaXDke4R0LI,2019-04-18,1
eaXDke4R0LI,2019-04-19,1
eaXDke4R0LI,2019-04-20,1
eaXDke4R0LI,2019-04-21,2
eaXDke4R0LI,2019-04-22,2
eaXDke4R0LI,2019-04-23,1
eaXDke4R0LI,2019-04-24,0
eaXDke4R0LI,2019-04-25,1
eaXDke4R0LI,2019-04-26,3
eaXDke4R0LI,2019-04-27,4
eaXDke4R0LI,2019-04-28,2
eaXDke4R0LI,2019-04-29,2
eaXDke4R0LI,2019-04-30,0
eaXDke4R0LI,2019-05-01,1
eaXDke4R0LI,2019-05-02,4
eaXDke4R0LI,2019-05-03,2
eaXDke4R0LI,2019-05-04,6
eaXDke4R0LI,2019-05-05,5
eaXDke4R0LI,2019-05-06,0
eaXDke4R0LI,2019-05-07,2
eaXDke4R0LI,2019-05-08,2
eaXDke4R0LI,2019-05-09,3
eaXDke4R0LI,2019-05-10,2
eaXDke4R0LI,2019-05-11,10
eaXDke4R0LI,2019-05-12,2
eaXDke4R0LI,2019-05-13,2
eaXDke4R0LI,2019-05-14,2
eaXDke4R0LI,2019-05-15,4
eaXDke4R0LI,2019-05-16,2
eaXDke4R0LI,2019-05-17,2
eaXDke4R0LI,2019-05-18,4
eaXDke4R0LI,2019-05-19,3
eaXDke4R0LI,2019-05-20,5
eaXDke4R0LI,2019-05-21,1
eaXDke4R0LI,2019-05-22,8
eaXDke4R0LI,2019-05-23,3
eaXDke4R0LI,2019-05-24,1
eaXDke4R0LI,2019-05-25,0
eaXDke4R0LI,2019-05-26,5
eaXDke4R0LI,2019-05-27,5
eaXDke4R0LI,2019-05-28,7
eaXDke4R0LI,2019-05-29,1
eaXDke4R0LI,2019-05-30,6
eaXDke4R0LI,2019-05-31,4
eaXDke4R0LI,2019-06-01,1
eaXDke4R0LI,2019-06-02,6
eaXDke4R0LI,2019-06-03,14
eaXDke4R0LI,2019-06-04,14
eaXDke4R0LI,2019-06-05,13
eaXDke4R0LI,2019-06-06,5
