day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2019-01-03,7440,590,45,671,6,394,45,40,45196,3798,364,68.64,0,0,0,0,0,0,0,1,0.0118,1,85,1,1,14,19
2019-01-04,7738,357,16,559,2,234,93,48,45306,2334,351,66.16,0,0,0,0,0,0,0,0,0.0088,1,114,0,1,31,1
2019-01-05,3163,188,8,179,1,62,60,15,18995,1216,360,67.86,0,0,0,0,0,0,0,0,0.0,0,18,0,0,14,2
2019-01-06,2284,115,5,105,0,54,34,9,13472,744,353,66.65,0,0,0,0,0,0,0,0,0.0,0,7,0,0,12,0
2019-01-07,1312,66,3,55,2,25,32,6,7589,425,347,65.36,0,0,0,0,0,0,0,0,0.0,0,4,0,0,8,2
2019-01-08,850,47,3,35,0,13,14,4,4656,303,328,61.9,0,0,0,0,0,0,0,0,0.0,0,2,0,0,5,1
2019-01-09,706,42,1,27,0,27,19,6,4059,244,344,64.97,0,0,0,0,0,0,0,0,0.0,0,2,0,0,4,2
2019-01-10,510,25,1,15,2,9,11,2,2938,170,345,65.09,0,0,0,0,0,0,0,0,0.0,0,0,0,0,5,2
2019-01-11,428,20,1,19,0,8,6,3,2361,116,331,62.35000000000001,0,0,0,0,0,0,0,0,0.0,0,0,0,0,5,0
2019-01-12,386,30,2,12,0,2,9,4,2273,202,353,66.56,0,0,0,0,0,0,0,0,0.0,0,3,0,0,4,0
2019-01-13,385,32,1,15,0,9,10,2,2341,236,364,68.71,0,0,0,0,0,0,0,0,0.0,0,11,0,0,5,0
2019-01-14,331,15,0,17,0,11,7,3,1814,101,328,61.95,0,0,0,0,0,0,0,0,0.0,0,8,0,0,1,0
2019-01-15,264,17,0,14,0,6,8,0,1489,117,338,63.75999999999999,0,0,0,0,0,0,0,0,0.0,0,4,0,0,1,0
2019-01-16,311,22,0,11,0,8,5,1,1735,144,334,63.07000000000001,0,0,0,0,0,0,0,0,0.0,0,5,0,0,1,0
2019-01-17,287,19,3,16,0,8,7,0,1567,124,327,61.7,0,0,0,0,0,0,0,0,0.0,0,4,0,0,2,0
2019-01-18,189,8,0,15,0,5,3,0,1094,55,347,65.43,0,0,0,0,0,0,0,0,0.0,0,5,0,0,1,0
2019-01-19,152,11,0,3,0,6,0,0,878,88,346,65.31,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0
2019-01-20,153,11,0,4,0,1,5,0,932,64,365,68.86,0,0,0,0,0,0,0,0,0.0,0,3,0,0,1,0
2019-01-21,127,6,0,4,0,1,5,1,658,45,310,58.56,0,0,0,0,0,0,0,0,0.0,0,1,0,0,0,0
2019-01-22,121,8,0,2,0,2,5,2,760,54,377,71.05,0,0,0,0,0,0,0,0,0.0,0,1,0,0,2,0
2019-01-23,71,0,0,3,0,2,2,1,382,0,323,60.86,0,0,0,0,0,0,0,0,0.0,0,2,0,0,0,0
2019-01-24,105,5,0,6,0,2,3,0,610,40,348,65.66,0,0,0,0,0,0,0,0,0.0,0,1,0,0,0,0
2019-01-25,94,2,0,2,0,3,2,0,481,9,307,57.93000000000001,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2019-01-26,111,11,0,3,0,2,3,1,661,73,357,67.3,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2019-01-27,106,9,1,4,0,4,3,1,595,37,337,63.51,0,0,0,0,0,0,0,0,0.0,0,2,0,0,0,0
2019-01-28,73,2,0,2,0,0,0,1,489,17,402,75.78,0,0,0,0,0,0,0,0,0.0,0,2,0,0,0,0
2019-01-29,83,8,0,3,0,0,1,0,459,53,332,62.62,0,0,0,0,0,0,0,0,0.0,0,2,0,0,0,0
2019-01-30,98,7,0,6,0,1,3,1,502,32,307,57.93000000000001,0,0,0,0,0,0,0,0,0.0,0,2,0,0,1,0
2019-01-31,102,10,0,3,0,2,2,2,563,62,331,62.44,0,0,0,0,0,0,0,0,0.0,0,4,0,0,1,0
2019-02-01,189,11,0,5,0,1,0,0,1190,96,378,71.19,0,0,0,0,0,0,0,0,0.0,0,1,0,0,0,0
