day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2019-12-09,15,0,0,1,0,3,0,2,87,0,351,75.85,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-12-10,17694,1436,74,1558,7,1316,242,110,92179,8176,312,67.51,0,0,0,0,0,0,0,0.08650000000000001,0.0111,104,6470,9,72,21,11
2019-12-11,11003,789,15,519,8,416,159,43,51548,4179,281,60.709999999999994,0,0,0,0,0,0,0,0.18030000000000002,0.0108,61,3230,11,35,25,1
2019-12-12,9354,613,12,294,7,272,103,42,38800,3081,248,53.75,0,0,0,0,0,0,0,0.2813,0.009000000000000001,32,2010,9,18,29,0
2019-12-13,4845,382,10,162,3,141,76,20,22345,1990,276,59.77,0,0,0,0,0,0,0,0.2,0.011899999999999999,25,1262,5,15,18,3
2019-12-14,4100,266,7,146,2,146,79,24,19000,1420,278,60.04999999999999,0,0,0,0,0,0,0,0.09519999999999999,0.016200000000000003,21,1048,2,17,10,1
2019-12-15,3029,287,6,97,1,80,49,8,15120,1559,299,64.69,0,0,0,0,0,0,0,0.0,0.0101,13,895,0,9,9,1
2019-12-16,2532,207,2,95,0,69,50,13,12595,1118,298,64.47,0,0,0,0,0,0,0,0.15380000000000002,0.0106,13,752,2,8,12,0
2019-12-17,1668,114,2,51,1,51,31,9,7793,572,280,60.54999999999999,0,0,0,0,0,0,0,0.0,0.0105,5,475,0,5,3,1
2019-12-18,949,74,1,38,0,26,46,2,4646,416,293,63.45,0,0,0,0,0,0,0,0.2857,0.0141,7,283,2,4,6,1
2019-12-19,701,59,0,31,0,15,16,5,3545,269,303,65.54,0,0,0,0,0,0,0,0.5,0.0044,2,225,1,1,2,0
2019-12-20,428,33,2,21,0,19,16,2,2226,209,312,67.4,0,0,0,0,0,0,0,0.0,0.0064,1,157,0,1,2,0
2019-12-21,316,33,1,13,0,7,22,0,1611,200,306,66.09,0,0,0,0,0,0,0,0.0,0.019799999999999998,2,101,0,2,1,0
2019-12-22,335,28,0,9,0,5,18,2,1722,146,308,66.62,0,0,0,0,0,0,0,0.0,0.0,1,127,0,0,1,1
2019-12-23,289,30,0,13,0,5,12,5,1398,173,290,62.71,0,0,0,0,0,0,0,0.0,0.0,2,86,0,0,1,0
2019-12-24,251,23,0,13,0,8,13,1,1319,126,315,68.11,0,0,0,0,0,0,0,0.0,0.0256,3,78,0,2,2,0
2019-12-25,299,34,0,15,1,4,8,4,1528,177,306,66.26,0,0,0,0,0,0,0,0.0,0.0101,1,99,0,1,0,0
2019-12-26,303,29,1,10,0,13,13,1,1433,138,283,61.3,0,0,0,0,0,0,0,0.25,0.021099999999999997,4,95,1,2,2,0
2019-12-27,227,16,0,9,0,14,12,0,1197,89,316,68.39,0,0,0,0,0,0,0,0.0,0.027000000000000003,2,74,0,2,0,0
2019-12-28,240,24,0,9,0,3,15,0,1317,141,329,71.15,0,0,0,0,0,0,0,0.3333,0.011399999999999999,3,88,1,1,2,0
2019-12-29,242,24,0,11,0,5,15,0,1310,141,324,70.17,0,0,0,0,0,0,0,0.0,0.01,2,100,0,1,0,0
2019-12-30,204,18,0,16,0,4,10,1,1191,118,350,75.72,0,0,0,0,0,0,0,0.0,0.0,0,76,0,0,0,0
2019-12-31,180,16,0,5,0,8,7,1,946,98,315,68.11,0,0,0,0,0,0,0,0.0,0.0189,1,53,0,1,0,0
2020-01-01,189,17,0,11,0,1,13,1,997,108,316,68.4,0,0,0,0,0,0,0,0.0,0.0161,2,62,0,1,2,0
2020-01-02,215,25,0,10,0,6,10,1,1201,134,335,72.42,0,0,0,0,0,0,0,0.3333,0.011899999999999999,3,84,1,1,3,0
2020-01-03,155,17,0,6,0,2,15,0,833,100,322,69.65,0,0,0,0,0,0,0,0.0,0.0,0,53,0,0,1,0
2020-01-04,168,25,0,9,0,6,8,0,875,147,312,67.53,0,0,0,0,0,0,0,0.0,0.0,0,60,0,0,0,0
2020-01-05,203,23,0,14,0,5,2,0,1151,142,340,73.53,0,0,0,0,0,0,0,0.0,0.0,0,74,0,0,0,0
2020-01-06,186,21,0,8,0,8,5,0,999,126,322,69.65,0,0,0,0,0,0,0,0.0,0.0,0,71,0,0,0,0
2020-01-07,159,17,0,7,0,5,8,1,840,67,317,68.53,0,0,0,0,0,0,0,0.0,0.0172,1,58,0,1,1,0
2020-01-08,238,16,1,11,0,9,8,1,1250,80,315,68.12,0,0,0,0,0,0,0,0.0,0.0,1,84,0,0,1,0
2020-01-09,212,19,0,6,0,7,2,1,1047,104,296,64.04,0,0,0,0,0,0,0,0.0,0.0139,2,72,0,1,0,0
2020-01-10,143,26,0,5,0,0,3,0,836,169,350,75.8,0,0,0,0,0,0,0,0.0,0.0,0,61,0,0,2,0
2020-01-11,156,15,0,4,0,2,6,0,872,84,335,72.47,0,0,0,0,0,0,0,0.0,0.0,0,54,0,0,2,0
