videoID,day,likes
evTpXGTXab4,2019-12-09,1
evTpXGTXab4,2019-12-10,1558
evTpXGTXab4,2019-12-11,519
evTpXGTXab4,2019-12-12,294
evTpXGTXab4,2019-12-13,162
evTpXGTXab4,2019-12-14,146
evTpXGTXab4,2019-12-15,97
evTpXGTXab4,2019-12-16,95
evTpXGTXab4,2019-12-17,51
evTpXGTXab4,2019-12-18,38
evTpXGTXab4,2019-12-19,31
evTpXGTXab4,2019-12-20,21
evTpXGTXab4,2019-12-21,13
evTpXGTXab4,2019-12-22,9
evTpXGTXab4,2019-12-23,13
evTpXGTXab4,2019-12-24,13
evTpXGTXab4,2019-12-25,15
evTpXGTXab4,2019-12-26,10
evTpXGTXab4,2019-12-27,9
evTpXGTXab4,2019-12-28,9
evTpXGTXab4,2019-12-29,11
evTpXGTXab4,2019-12-30,16
evTpXGTXab4,2019-12-31,5
evTpXGTXab4,2020-01-01,11
evTpXGTXab4,2020-01-02,10
evTpXGTXab4,2020-01-03,6
evTpXGTXab4,2020-01-04,9
evTpXGTXab4,2020-01-05,14
evTpXGTXab4,2020-01-06,8
evTpXGTXab4,2020-01-07,7
evTpXGTXab4,2020-01-08,11
evTpXGTXab4,2020-01-09,6
evTpXGTXab4,2020-01-10,5
evTpXGTXab4,2020-01-11,4
evTpXGTXab4,2020-01-12,2
evTpXGTXab4,2020-01-13,3
evTpXGTXab4,2020-01-14,3
evTpXGTXab4,2020-01-15,5
evTpXGTXab4,2020-01-16,5
evTpXGTXab4,2020-01-17,11
evTpXGTXab4,2020-01-18,6
evTpXGTXab4,2020-01-19,3
evTpXGTXab4,2020-01-20,4
evTpXGTXab4,2020-01-21,5
evTpXGTXab4,2020-01-22,3
evTpXGTXab4,2020-01-23,3
evTpXGTXab4,2020-01-24,6
evTpXGTXab4,2020-01-25,5
evTpXGTXab4,2020-01-26,0
evTpXGTXab4,2020-01-27,6
evTpXGTXab4,2020-01-28,5
evTpXGTXab4,2020-01-29,4
evTpXGTXab4,2020-01-30,5
evTpXGTXab4,2020-01-31,2
evTpXGTXab4,2020-02-01,4
evTpXGTXab4,2020-02-02,3
evTpXGTXab4,2020-02-03,6
evTpXGTXab4,2020-02-04,6
evTpXGTXab4,2020-02-05,5
evTpXGTXab4,2020-02-06,2
evTpXGTXab4,2020-02-07,5
evTpXGTXab4,2020-02-08,7
evTpXGTXab4,2020-02-09,5
evTpXGTXab4,2020-02-10,6
evTpXGTXab4,2020-02-11,3
evTpXGTXab4,2020-02-12,3
evTpXGTXab4,2020-02-13,1
evTpXGTXab4,2020-02-14,3
evTpXGTXab4,2020-02-15,1
evTpXGTXab4,2020-02-16,2
evTpXGTXab4,2020-02-17,3
evTpXGTXab4,2020-02-18,1
evTpXGTXab4,2020-02-19,3
evTpXGTXab4,2020-02-20,2
evTpXGTXab4,2020-02-21,10
evTpXGTXab4,2020-02-22,7
evTpXGTXab4,2020-02-23,5
evTpXGTXab4,2020-02-24,2
evTpXGTXab4,2020-02-25,6
evTpXGTXab4,2020-02-26,2
evTpXGTXab4,2020-02-27,2
