day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2019-01-01,132,3,0,0,0,1,0,0,94,2,43,39.59,0,0,0,0,0,0,0,0.0,0.0,0,72,0,0,1,0
2019-01-02,144,9,0,0,0,4,0,0,90,5,37,34.75,0,0,0,0,0,0,0,0.0,0.0179,4,56,0,1,1,0
2019-01-03,161,8,0,0,1,2,0,0,113,3,42,38.77,0,0,0,0,0,0,0,0.0,0.0,0,65,0,0,0,0
2019-01-04,146,3,0,1,0,0,0,0,85,1,35,32.37,0,0,0,0,0,0,0,0.0,0.0,0,42,0,0,1,0
2019-01-05,108,5,0,2,0,0,0,0,74,2,41,38.08,0,0,0,0,0,0,0,0.0,0.0,0,41,0,0,0,0
2019-01-06,124,5,0,0,0,0,0,0,93,2,45,41.29,0,0,0,0,0,0,0,0.25,0.0169,4,59,1,1,1,0
2019-01-07,91,2,0,0,0,0,0,0,70,2,46,42.66,0,0,0,0,0,0,0,0.0,0.0,0,47,0,0,1,0
2019-01-08,134,7,0,0,0,0,0,0,87,3,39,36.05,0,0,0,0,0,0,0,0.0,0.0,0,39,0,0,3,0
2019-01-09,104,6,0,0,0,0,0,0,71,4,41,37.78,0,0,0,0,0,0,0,0.0,0.0,0,43,0,0,0,0
2019-01-10,111,3,0,1,0,0,0,0,78,1,42,38.77,0,0,0,0,0,0,0,0.0,0.0,0,46,0,0,1,0
2019-01-11,130,3,0,0,0,0,0,0,82,3,38,34.96,0,0,0,0,0,0,0,0.0,0.0,0,53,0,0,1,0
2019-01-12,173,7,0,1,0,1,0,0,116,3,40,36.99,0,0,0,0,0,0,0,0.0,0.0,0,82,0,0,0,0
2019-01-13,127,2,0,1,0,1,0,0,98,0,46,42.49,0,0,0,0,0,0,0,0.0,0.0,0,81,0,0,0,0
2019-01-14,132,2,0,1,0,0,0,0,95,3,43,39.68,0,0,0,0,0,0,0,0.125,0.0282,8,71,1,2,1,0
2019-01-15,114,1,0,0,0,0,0,0,74,0,39,35.98,0,0,0,0,0,0,0,0.0,0.0,0,49,0,0,0,0
2019-01-16,101,1,0,1,0,0,0,0,64,0,38,35.36,0,0,0,0,0,0,0,0.0,0.0,0,32,0,0,0,0
2019-01-17,96,3,0,0,0,0,0,0,63,2,39,36.49,0,0,0,0,0,0,0,0.0,0.0,0,32,0,0,1,0
2019-01-18,77,1,0,0,0,0,0,0,53,0,41,38.39,0,0,0,0,0,0,0,0.0,0.0,0,21,0,0,0,0
2019-01-19,98,2,0,0,0,0,0,0,56,1,34,31.869999999999997,0,0,0,0,0,0,0,0.0,0.0,0,27,0,0,2,0
2019-01-20,98,5,0,1,0,0,0,0,67,3,41,37.8,0,0,0,0,0,0,0,0.0,0.0,0,29,0,0,0,0
2019-01-21,80,2,0,0,0,0,1,0,51,1,38,35.59,0,0,0,0,0,0,0,0.0,0.0,0,34,0,0,0,0
2019-01-22,102,2,0,0,0,0,0,1,68,0,40,36.85,0,0,0,0,0,0,0,0.25,0.0408,8,49,2,2,0,0
2019-01-23,77,1,0,2,0,0,0,0,46,0,36,33.03,0,0,0,0,0,0,0,0.0,0.0,0,27,0,0,1,0
2019-01-24,82,3,0,0,0,0,0,0,48,1,35,32.41,0,0,0,0,0,0,0,0.0,0.0,0,28,0,0,0,0
2019-01-25,77,0,0,0,0,2,0,1,43,0,34,31.41,0,0,0,0,0,0,0,0.0,0.037000000000000005,8,27,0,1,1,0
2019-01-26,81,2,0,1,0,3,1,0,55,0,40,37.61,0,0,0,0,0,0,0,0.0,0.0,0,38,0,0,0,0
2019-01-27,98,2,0,0,0,0,1,0,69,0,42,39.25,0,0,0,0,0,0,0,0.0,0.0,0,52,0,0,0,0
2019-01-28,71,1,0,0,1,0,0,0,45,0,38,35.56,0,0,0,0,0,0,0,0.0,0.0,0,24,0,0,0,0
