day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2021-04-13,19,1,0,1,0,0,0,0,143,12,453,59.660000000000004,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2021-04-14,11,1,0,2,0,0,0,0,97,11,530,69.87,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2021-04-15,16,0,0,0,0,0,0,0,153,0,573,75.5,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2021-04-16,25,5,0,0,0,0,0,0,241,55,578,76.13,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2021-04-17,17,3,0,0,0,1,0,0,172,36,610,80.29,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2021-04-18,17,4,0,1,1,0,0,0,182,37,643,84.69,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2021-04-19,17,0,0,1,0,0,0,0,138,0,489,64.4,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2021-04-20,48711,6665,164,3254,44,3570,440,249,334374,49283,411,54.18999999999999,0,0,0,0,0,0,0,0.0344,0.0063,844,52476,29,330,168,15
2021-04-21,37824,4706,54,1774,21,1492,496,145,245581,33844,389,51.25999999999999,0,0,0,0,0,0,0,0.0336,0.0051,447,34028,15,173,179,5
2021-04-22,38860,4560,50,1474,24,1423,391,142,244823,32606,378,49.74,0,0,0,0,0,0,0,0.0703,0.0034000000000000002,327,32986,23,111,248,4
2021-04-23,60632,5848,60,1819,38,2222,340,181,342588,39192,339,44.61,0,0,0,0,0,0,0,0.0269,0.0037,520,48004,14,179,388,8
2021-04-24,60953,5319,73,1666,44,1951,373,213,335775,34458,330,43.49,0,0,0,0,0,0,0,0.0341,0.0034000000000000002,469,45199,16,152,434,11
2021-04-25,57635,4614,59,1401,47,1594,345,199,311125,29729,323,42.62,0,0,0,0,0,0,0,0.0297,0.0033,370,40296,11,131,453,6
2021-04-26,35234,2717,37,831,26,1173,289,119,187104,17596,318,41.92,0,0,0,0,0,0,0,0.0342,0.004,292,25914,10,104,264,5
2021-04-27,33404,2237,32,745,27,999,207,118,171786,14040,308,40.6,0,0,0,0,0,0,0,0.0397,0.0042,277,23248,11,97,248,0
2021-04-28,27852,1918,25,609,18,844,183,106,142420,11840,306,40.37,0,0,0,0,0,0,0,0.037599999999999995,0.004,213,19555,8,79,207,5
2021-04-29,24051,1644,17,535,15,706,189,103,128616,10502,320,42.22,0,0,0,0,0,0,0,0.0432,0.003,139,16093,6,48,184,4
2021-04-30,18296,1124,22,354,12,558,155,92,96489,7146,316,41.64,0,0,0,0,0,0,0,0.0,0.0029,102,12099,0,35,129,2
2021-05-01,17140,1056,13,366,10,453,148,65,91984,6724,321,42.37,0,0,0,0,0,0,0,0.0227,0.0034999999999999996,132,11576,3,41,139,1
2021-05-02,14209,923,14,339,10,325,123,46,77304,5729,326,42.95,0,0,0,0,0,0,0,0.0316,0.0031,95,10054,3,31,123,2
2021-05-03,11456,762,9,273,10,302,123,47,63278,5262,331,43.61,0,0,0,0,0,0,0,0.0533,0.0031,75,8733,4,27,85,1
2021-05-04,8863,599,10,234,6,257,105,53,49792,3949,337,44.35,0,0,0,0,0,0,0,0.0842,0.004699999999999999,95,6987,8,33,85,1
2021-05-05,9000,641,12,234,10,276,89,54,51560,4394,343,45.23,0,0,0,0,0,0,0,0.0676,0.0034999999999999996,74,7122,5,25,86,3
2021-05-06,8058,568,9,181,8,236,77,31,46379,3981,345,45.44,0,0,0,0,0,0,0,0.1039,0.0043,77,6444,8,28,64,0
2021-05-07,7061,468,4,153,3,191,74,39,40314,3114,342,45.07,0,0,0,0,0,0,0,0.056600000000000004,0.0031,53,5745,3,18,52,2
2021-05-08,7400,489,9,202,6,213,74,32,42456,3359,344,45.3,0,0,0,0,0,0,0,0.0108,0.0048,93,6281,1,30,76,1
2021-05-09,8004,547,9,188,8,224,91,46,45753,3750,342,45.13,0,0,0,0,0,0,0,0.0519,0.0032,77,6976,4,22,76,2
2021-05-10,8410,544,6,183,4,226,74,41,46325,3614,330,43.49,0,0,0,0,0,0,0,0.0435,0.0037,69,7036,3,26,66,0
2021-05-11,7986,467,8,191,7,236,69,37,43260,3141,325,42.77,0,0,0,0,0,0,0,0.0725,0.0037,69,6761,5,25,58,1
2021-05-12,7909,535,11,203,7,239,81,62,45136,3497,342,45.05,0,0,0,0,0,0,0,0.06559999999999999,0.0029,61,6948,4,20,70,1
