day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2019-01-01,2619,141,3,22,0,16,3,8,22551,1420,516,63.55,0,0,0,0,0,0,0,0,0.0,0,4,0,0,14,0
2019-01-02,2727,156,3,25,1,16,5,5,22962,1404,505,62.13999999999999,0,0,0,0,0,0,0,0,0.0,0,0,0,0,17,0
2019-01-03,2707,156,2,40,2,21,10,0,22516,1368,499,61.39,0,0,0,0,0,0,0,0,0.0,0,3,0,0,18,1
2019-01-04,2365,111,0,26,0,20,7,0,19483,990,494,60.8,0,0,0,0,0,0,0,0,0.0,0,1,0,0,8,0
2019-01-05,2103,103,2,23,0,16,8,8,16828,970,480,59.06,0,0,0,0,0,0,0,0,0.0,0,0,0,0,11,0
2019-01-06,1906,89,1,16,0,26,8,0,15541,831,489,60.18,0,0,0,0,0,0,0,0,0.0,0,1,0,0,8,0
2019-01-07,1694,79,1,19,0,14,6,1,14135,780,500,61.58,0,0,0,0,0,0,0,0,0.0,0,1,0,0,8,0
2019-01-08,1605,81,1,13,1,11,7,7,12696,753,474,58.379999999999995,0,0,0,0,0,0,0,0,0.0,0,1,0,0,11,0
2019-01-09,2163,112,0,14,0,14,8,4,17883,1108,496,61.02000000000001,0,0,0,0,0,0,0,0,0.0,0,2,0,0,8,0
2019-01-10,3891,183,0,18,2,22,9,7,36422,1875,561,69.08,0,0,0,0,0,0,0,0,0.0,0,1,0,0,11,0
2019-01-11,4459,235,0,26,0,41,10,5,41422,2387,557,68.56,0,0,0,0,0,0,0,0,0.0,0,3,0,0,15,4
2019-01-12,4348,261,4,46,0,36,10,4,40834,2568,563,69.31,0,0,0,0,0,0,0,0,0.0,0,15,0,0,25,1
2019-01-13,4650,292,1,47,1,29,8,4,43147,2923,556,68.48,0,0,0,0,0,0,0,0,0.0,0,12,0,0,28,0
2019-01-14,3686,209,0,33,2,18,6,2,33581,2012,546,67.24,0,0,0,0,0,0,0,0,0.0,0,31,0,0,16,0
2019-01-15,3118,172,1,39,0,24,7,2,28138,1767,541,66.6,0,0,0,0,0,0,0,0,0.0,0,22,0,0,16,0
2019-01-16,3033,154,1,28,0,15,4,1,27267,1589,539,66.35,0,0,0,0,0,0,0,0,0.0,0,23,0,0,12,0
2019-01-17,2630,109,1,15,0,31,10,4,21982,1041,501,61.68,0,0,0,0,0,0,0,0,0.0,0,15,0,0,14,1
2019-01-18,3125,150,2,21,1,20,6,7,28348,1581,544,66.95,0,0,0,0,0,0,0,0,0.0,0,19,0,0,10,0
2019-01-19,3783,183,5,27,0,18,9,3,35464,1835,562,69.19,0,0,0,0,0,0,0,0,0.0,0,16,0,0,7,0
2019-01-20,3930,253,1,17,1,22,17,5,36519,2406,557,68.58,0,0,0,0,0,0,0,0,0.0,0,23,0,0,6,1
