videoID,day,likes
faKnto4Pb6c,2016-10-13,78
faKnto4Pb6c,2016-10-14,29
faKnto4Pb6c,2016-10-15,18
faKnto4Pb6c,2016-10-16,10
faKnto4Pb6c,2016-10-17,9
faKnto4Pb6c,2016-10-18,4
faKnto4Pb6c,2016-10-19,3
faKnto4Pb6c,2016-10-20,3
faKnto4Pb6c,2016-10-21,2
faKnto4Pb6c,2016-10-22,2
faKnto4Pb6c,2016-10-23,1
faKnto4Pb6c,2016-10-24,1
faKnto4Pb6c,2016-10-25,1
faKnto4Pb6c,2016-10-26,3
faKnto4Pb6c,2016-10-27,3
faKnto4Pb6c,2016-10-28,0
faKnto4Pb6c,2016-10-29,1
faKnto4Pb6c,2016-10-30,0
faKnto4Pb6c,2016-10-31,0
faKnto4Pb6c,2016-11-01,0
faKnto4Pb6c,2016-11-02,2
faKnto4Pb6c,2016-11-03,2
faKnto4Pb6c,2016-11-04,1
faKnto4Pb6c,2016-11-05,4
faKnto4Pb6c,2016-11-06,2
faKnto4Pb6c,2016-11-07,2
faKnto4Pb6c,2016-11-08,2
faKnto4Pb6c,2016-11-09,1
faKnto4Pb6c,2016-11-10,1
faKnto4Pb6c,2016-11-11,0
faKnto4Pb6c,2016-11-12,2
faKnto4Pb6c,2016-11-13,1
faKnto4Pb6c,2016-11-14,1
faKnto4Pb6c,2016-11-15,2
faKnto4Pb6c,2016-11-16,2
faKnto4Pb6c,2016-11-17,0
faKnto4Pb6c,2016-11-18,3
faKnto4Pb6c,2016-11-19,3
faKnto4Pb6c,2016-11-20,1
faKnto4Pb6c,2016-11-21,2
faKnto4Pb6c,2016-11-22,0
faKnto4Pb6c,2016-11-23,1
faKnto4Pb6c,2016-11-24,2
faKnto4Pb6c,2016-11-25,2
faKnto4Pb6c,2016-11-26,1
faKnto4Pb6c,2016-11-27,2
faKnto4Pb6c,2016-11-28,1
faKnto4Pb6c,2016-11-29,2
faKnto4Pb6c,2016-11-30,1
faKnto4Pb6c,2016-12-01,2
faKnto4Pb6c,2016-12-02,1
faKnto4Pb6c,2016-12-03,1
faKnto4Pb6c,2016-12-04,2
faKnto4Pb6c,2016-12-05,1
faKnto4Pb6c,2016-12-06,2
faKnto4Pb6c,2016-12-07,1
faKnto4Pb6c,2016-12-08,2
faKnto4Pb6c,2016-12-09,1
faKnto4Pb6c,2016-12-10,0
faKnto4Pb6c,2016-12-11,0
faKnto4Pb6c,2016-12-12,0
faKnto4Pb6c,2016-12-13,1
faKnto4Pb6c,2016-12-14,2
faKnto4Pb6c,2016-12-15,1
faKnto4Pb6c,2016-12-16,0
faKnto4Pb6c,2016-12-17,3
faKnto4Pb6c,2016-12-18,1
faKnto4Pb6c,2016-12-19,2
