day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2020-03-12,25570,2005,107,1996,14,1420,248,120,106409,9009,249,70.73,0,0,0,0,0,0,0,0.1032,0.0078000000000000005,126,12538,13,98,85,8
2020-03-13,20915,1463,45,1026,26,728,263,101,78519,5947,225,63.81,0,0,0,0,0,0,0,0.1026,0.0073,78,8987,8,66,118,4
2020-03-14,8692,567,22,394,16,263,148,46,32793,2440,226,64.13,0,0,0,0,0,0,0,0.10710000000000001,0.0069,28,3637,3,25,61,1
2020-03-15,7716,527,11,317,10,180,114,36,29195,2220,227,64.31,0,0,0,0,0,0,0,0.0645,0.0083,31,3236,2,27,83,3
2020-03-16,6629,437,9,253,12,165,86,26,23597,1807,213,60.5,0,0,0,0,0,0,0,0.04,0.008,25,2755,1,22,52,2
2020-03-17,4549,267,11,150,6,122,57,23,15797,1141,208,59.03,0,0,0,0,0,0,0,0.1481,0.013000000000000001,27,1844,4,24,38,3
2020-03-18,2925,225,4,98,2,85,50,23,10688,951,219,62.11,0,0,0,0,0,0,0,0.07139999999999999,0.009899999999999999,14,1209,1,12,33,2
2020-03-19,2042,168,1,69,4,56,37,6,7354,652,216,61.21,0,0,0,0,0,0,0,0.0909,0.0087,11,917,1,8,16,1
2020-03-20,1441,99,0,51,1,26,44,7,4929,386,205,58.15,0,0,0,0,0,0,0,0.11109999999999999,0.0113,9,620,1,7,8,0
2020-03-21,1422,121,1,49,2,49,32,6,5188,504,218,62.01,0,0,0,0,0,0,0,0.0,0.0172,11,638,0,11,19,0
2020-03-22,1224,102,1,45,1,31,21,7,4533,410,222,62.96000000000001,0,0,0,0,0,0,0,0.0,0.005600000000000001,3,536,0,3,12,0
2020-03-23,1032,72,0,54,2,21,23,4,3864,325,224,63.65,0,0,0,0,0,0,0,0.16670000000000001,0.0123,6,486,1,6,6,0
2020-03-24,1098,102,5,48,0,47,35,4,4257,441,232,65.91,0,0,0,0,0,0,0,0.0,0.0124,7,563,0,7,11,0
2020-03-25,1206,122,2,59,3,31,20,7,4769,535,237,67.21,0,0,0,0,0,0,0,0.0,0.0017000000000000001,2,597,0,1,20,0
2020-03-26,982,81,2,40,2,34,20,1,3805,331,232,65.87,0,0,0,0,0,0,0,0.0,0.0068000000000000005,3,441,0,3,10,0
2020-03-27,901,98,1,47,0,38,26,4,3590,422,239,67.74,0,0,0,0,0,0,0,0.2,0.0070999999999999995,5,423,1,3,7,0
2020-03-28,898,88,1,49,0,32,16,7,3573,375,238,67.64,0,0,0,0,0,0,0,0.2,0.0069,5,434,1,3,17,0
2020-03-29,1127,87,3,34,0,21,29,9,3796,353,202,57.26,0,0,0,0,0,0,0,0.0,0.0092,3,436,0,4,7,0
2020-03-30,880,80,1,32,0,31,17,3,3307,359,225,63.88,0,0,0,0,0,0,0,0.0,0.013500000000000002,5,371,0,5,6,0
2020-03-31,942,105,1,44,2,28,15,2,3767,424,239,67.98,0,0,0,0,0,0,0,0.2,0.009399999999999999,5,425,1,4,10,2
2020-04-01,761,86,1,30,1,19,15,2,2824,324,222,63.09,0,0,0,0,0,0,0,0.0,0.0118,2,338,0,4,13,0
2020-04-02,653,61,2,26,0,14,3,1,2353,257,216,61.27,0,0,0,0,0,0,0,0.0,0.014199999999999999,4,282,0,4,7,1
2020-04-03,456,49,0,12,2,7,9,2,1654,190,217,61.65999999999999,0,0,0,0,0,0,0,0.75,0.025099999999999997,4,199,3,5,8,0
2020-04-04,377,42,0,18,1,3,10,0,1456,176,231,65.68,0,0,0,0,0,0,0,0.25,0.0166,4,181,1,3,4,0
2020-04-05,364,43,0,11,0,9,21,7,1343,157,221,62.74999999999999,0,0,0,0,0,0,0,0.0,0.0,0,157,0,0,3,1
2020-04-06,464,47,0,22,0,16,12,2,1741,216,225,63.79,0,0,0,0,0,0,0,0.0,0.009000000000000001,2,221,0,2,6,0
2020-04-07,719,76,0,21,0,11,12,11,3010,331,251,71.16,0,0,0,0,0,0,0,0.0,0.012199999999999999,5,329,0,4,4,0
2020-04-08,861,74,0,31,0,16,13,2,3495,295,243,69.01,0,0,0,0,0,0,0,0.125,0.009899999999999999,8,403,1,4,4,0
2020-04-09,661,78,0,17,1,15,13,3,2645,352,240,68.03,0,0,0,0,0,0,0,0.0,0.0,0,300,0,0,5,0
2020-04-10,764,79,0,18,0,29,10,4,2845,345,223,63.31,0,0,0,0,0,0,0,0.0,0.0,0,339,0,0,10,0
2020-04-11,663,50,0,28,0,12,9,3,2467,207,223,63.24999999999999,0,0,0,0,0,0,0,0.16670000000000001,0.0206,6,291,1,6,7,0
2020-04-12,678,50,1,20,0,13,11,3,2486,204,220,62.35000000000001,0,0,0,0,0,0,0,0.3333,0.0033,3,302,1,1,9,0
2020-04-13,591,62,0,19,0,17,11,2,2193,297,222,63.080000000000005,0,0,0,0,0,0,0,0.25,0.013999999999999999,4,286,1,4,10,0
2020-04-14,347,24,1,12,0,3,10,1,1283,89,221,62.86999999999999,0,0,0,0,0,0,0,0.0,0.0316,3,158,0,5,5,0
2020-04-15,543,49,0,18,1,11,12,2,2106,229,232,65.94,0,0,0,0,0,0,0,0.25,0.0083,4,242,1,2,6,0
2020-04-16,479,46,1,9,0,19,7,7,1753,174,219,62.24000000000001,0,0,0,0,0,0,0,0.0,0.0053,2,190,0,1,5,0
2020-04-17,367,34,0,11,0,6,9,4,1253,139,205,58.08,0,0,0,0,0,0,0,0.3333,0.0139,3,144,1,2,1,0
2020-04-18,286,18,1,9,0,6,5,3,1066,86,223,63.36999999999999,0,0,0,0,0,0,0,0.0,0.0,2,113,0,0,2,0
2020-04-19,259,23,0,8,0,4,8,1,996,96,230,65.41,0,0,0,0,0,0,0,0.0,0.027999999999999997,3,107,0,3,3,0
2020-04-20,188,13,0,4,0,5,7,2,1123,55,358,101.55000000000001,0,0,0,0,0,0,0,0.0,0.0083,2,120,0,1,4,0
2020-04-21,178,9,0,5,0,3,5,0,649,50,219,62.06,0,0,0,0,0,0,0,0.0,0.0,0,74,0,0,0,0
2020-04-22,148,8,0,1,0,5,8,1,587,39,238,67.45,0,0,0,0,0,0,0,0.0,0.0152,1,66,0,1,0,0
2020-04-23,119,5,0,4,0,2,3,1,486,25,245,69.44,0,0,0,0,0,0,0,0.5,0.0179,2,56,1,1,1,0
2020-04-24,297,30,0,10,0,4,9,2,1208,142,244,69.14,0,0,0,0,0,0,0,0.0,0.013600000000000001,2,147,0,2,2,0
2020-04-25,380,37,0,16,1,11,6,1,1541,172,243,68.96,0,0,0,0,0,0,0,0.0,0.0,0,188,0,0,3,0
2020-04-26,420,61,0,13,0,11,12,0,1757,280,251,71.12,0,0,0,0,0,0,0,0.0,0.0,0,229,0,0,5,0
2020-04-27,395,24,0,9,0,11,5,2,1619,146,245,69.67,0,0,0,0,0,0,0,0.0,0.0,0,207,0,0,8,1
2020-04-28,273,24,0,15,0,12,8,0,1145,143,251,71.33,0,0,0,0,0,0,0,0.0,0.0,0,136,0,0,5,0
2020-04-29,283,37,1,14,0,6,5,3,1137,173,241,68.3,0,0,0,0,0,0,0,0.0,0.0,0,133,0,0,3,0
2020-04-30,332,33,1,12,0,17,15,0,1322,149,238,67.69,0,0,0,0,0,0,0,0.0,0.0,1,151,0,0,3,0
2020-05-01,273,21,0,12,0,7,5,0,1042,99,229,64.89,0,0,0,0,0,0,0,0.0,0.0222,3,135,0,3,5,0
2020-05-02,249,30,0,6,0,6,7,0,1015,114,244,69.29,0,0,0,0,0,0,0,0.5,0.0087,2,115,1,1,1,1
2020-05-03,284,21,0,13,0,8,6,2,1077,101,227,64.48,0,0,0,0,0,0,0,0.3333,0.0231,3,130,1,3,2,0
2020-05-04,212,19,0,13,0,10,7,0,822,86,232,65.91,0,0,0,0,0,0,0,0.5,0.0,2,94,1,0,2,0
2020-05-05,214,22,1,10,0,4,3,0,872,115,244,69.3,0,0,0,0,0,0,0,0.0,0.0167,3,120,0,2,2,0
2020-05-06,188,18,0,5,0,5,4,0,784,81,250,70.9,0,0,0,0,0,0,0,0.0,0.0316,2,95,0,3,1,0
2020-05-07,211,17,0,5,0,6,7,0,781,68,222,62.95,0,0,0,0,0,0,0,0.0,0.0213,2,94,0,2,1,0
2020-05-08,275,14,1,13,0,6,3,1,1020,60,222,63.09,0,0,0,0,0,0,0,0.5,0.0077,2,130,1,1,1,0
2020-05-09,221,22,0,10,0,4,5,0,891,85,242,68.58,0,0,0,0,0,0,0,0.0,0.0101,1,99,0,1,2,0
2020-05-10,225,17,0,11,0,7,6,0,825,70,220,62.35000000000001,0,0,0,0,0,0,0,0.0,0.0,0,96,0,0,2,0
2020-05-11,225,15,0,10,0,6,4,0,880,74,234,66.52,0,0,0,0,0,0,0,0.0,0.0,0,95,0,0,3,0
2020-05-12,272,34,0,13,0,11,5,0,1092,161,240,68.26,0,0,0,0,0,0,0,0.0,0.016399999999999998,3,122,0,2,3,0
2020-05-13,319,38,0,16,0,8,3,2,1218,161,229,64.93,0,0,0,0,0,0,0,0.0,0.0139,3,144,0,2,3,1
2020-05-14,411,26,0,22,1,14,5,1,1586,117,231,65.61,0,0,0,0,0,0,0,0.0,0.0143,1,210,0,3,9,0
2020-05-15,330,27,0,19,0,9,3,0,1237,102,225,63.739999999999995,0,0,0,0,0,0,0,0.0,0.0,0,161,0,0,0,0
2020-05-16,339,32,1,12,0,11,4,0,1312,152,232,65.8,0,0,0,0,0,0,0,0.0,0.0,1,156,0,0,0,0
2020-05-17,305,24,0,17,0,12,7,3,1199,103,235,66.83,0,0,0,0,0,0,0,0.0,0.0,0,128,0,0,2,0
2020-05-18,268,19,0,8,0,9,2,0,1077,83,241,68.31,0,0,0,0,0,0,0,0.0,0.0,0,127,0,0,10,0
2020-05-19,280,41,2,9,0,7,6,1,1168,187,250,70.91,0,0,0,0,0,0,0,0.0,0.013300000000000001,1,150,0,2,1,0
2020-05-20,416,41,0,17,0,10,8,3,1781,188,256,72.78,0,0,0,0,0,0,0,0.0,0.0092,3,217,0,2,4,0
2020-05-21,669,65,0,31,0,17,9,1,2741,308,245,69.66,0,0,0,0,0,0,0,0.0,0.0151,7,331,0,5,8,0
2020-05-22,555,51,1,23,0,16,7,1,2356,189,254,72.17,0,0,0,0,0,0,0,0.0,0.0072,4,277,0,2,5,0
2020-05-23,431,48,0,15,1,13,6,1,1761,243,245,69.46,0,0,0,0,0,0,0,0.2,0.0206,5,194,1,4,3,0
2020-05-24,460,47,0,20,0,14,4,1,1908,227,248,70.5,0,0,0,0,0,0,0,0.0,0.0129,3,233,0,3,7,0
2020-05-25,519,55,0,22,0,9,9,3,2210,281,255,72.4,0,0,0,0,0,0,0,0.0,0.0075,2,267,0,2,5,0
2020-05-26,514,58,3,24,1,20,8,1,2080,265,242,68.8,0,0,0,0,0,0,0,0.0,0.0207,5,242,0,5,7,0
2020-05-27,544,62,0,27,0,20,10,1,2156,268,237,67.37,0,0,0,0,0,0,0,0.0,0.006999999999999999,2,284,0,2,5,0
2020-05-28,643,67,0,25,0,21,8,0,2609,313,243,68.98,0,0,0,0,0,0,0,0.16670000000000001,0.015600000000000001,6,320,1,5,3,0
2020-05-29,694,53,1,20,1,24,11,1,2510,187,217,61.480000000000004,0,0,0,0,0,0,0,0.0,0.0102,3,294,0,3,7,0
2020-05-30,870,87,0,19,0,30,14,1,3123,330,215,61.01,0,0,0,0,0,0,0,0.0,0.012199999999999999,6,410,0,5,5,0
2020-05-31,1159,105,0,41,0,36,14,0,4086,371,211,59.92000000000001,0,0,0,0,0,0,0,0.25,0.021,16,525,4,11,14,0
2020-06-01,761,71,0,29,0,22,9,2,2821,267,222,63.029999999999994,0,0,0,0,0,0,0,0.0,0.0055000000000000005,2,366,0,2,4,0
2020-06-02,617,58,2,25,0,21,7,1,2399,276,233,66.09,0,0,0,0,0,0,0,0.0,0.0166,6,301,0,5,9,1
2020-06-03,786,66,0,27,0,27,5,1,2989,282,228,64.65,0,0,0,0,0,0,0,0.0,0.015300000000000001,6,392,0,6,7,0
2020-06-04,593,55,1,12,0,17,7,0,2165,200,219,62.08,0,0,0,0,0,0,0,0.0,0.021400000000000002,7,280,0,6,3,0
2020-06-05,582,65,1,14,0,18,6,0,2131,246,219,62.25000000000001,0,0,0,0,0,0,0,0.0,0.014199999999999999,4,281,0,4,4,0
2020-06-06,487,48,1,16,0,25,7,1,1856,158,228,64.79,0,0,0,0,0,0,0,0.0,0.0043,2,231,0,1,3,0
2020-06-07,773,60,2,31,0,21,4,3,2909,228,225,63.97999999999999,0,0,0,0,0,0,0,0.0,0.0159,7,377,0,6,13,0
2020-06-08,638,53,0,19,0,12,11,1,2509,204,235,66.85,0,0,0,0,0,0,0,0.0,0.0195,5,307,0,6,2,0
2020-06-09,661,63,2,21,0,17,5,2,2524,255,229,64.92,0,0,0,0,0,0,0,0.0,0.0192,6,312,0,6,2,0
2020-06-10,921,80,0,25,0,23,6,0,3418,285,222,63.09,0,0,0,0,0,0,0,0.0,0.012199999999999999,7,410,0,5,6,0
2020-06-11,882,62,0,27,0,37,9,0,3288,248,223,63.36999999999999,0,0,0,0,0,0,0,0.0,0.0127,4,395,0,5,7,0
2020-06-12,781,75,0,27,0,17,8,1,2866,298,220,62.38,0,0,0,0,0,0,0,0.2,0.0059,5,339,1,2,6,0
2020-06-13,668,61,0,16,1,22,10,0,2445,247,219,62.21,0,0,0,0,0,0,0,0.25,0.010700000000000001,4,280,1,3,5,0
2020-06-14,607,54,0,9,0,14,10,3,2318,228,229,64.93,0,0,0,0,0,0,0,0.0,0.0159,3,252,0,4,4,0
2020-06-15,458,36,0,9,0,21,8,2,1629,153,213,60.47,0,0,0,0,0,0,0,0.0,0.0116,2,173,0,2,5,0
2020-06-16,479,48,0,23,0,8,3,0,1897,220,237,67.32,0,0,0,0,0,0,0,0.11109999999999999,0.0359,9,223,1,8,1,1
2020-06-17,732,62,2,35,1,24,9,0,2922,266,239,67.86,0,0,0,0,0,0,0,0.3333,0.0089,3,336,1,3,4,0
2020-06-18,533,44,1,15,0,9,5,3,2030,191,228,64.76,0,0,0,0,0,0,0,0.0,0.0089,2,224,0,2,4,0
2020-06-19,470,41,1,17,0,17,9,0,1877,175,239,67.88,0,0,0,0,0,0,0,0.0,0.0097,1,206,0,2,4,0
2020-06-20,474,46,0,14,0,11,2,0,1874,185,237,67.2,0,0,0,0,0,0,0,0.0,0.0,0,230,0,0,2,0
2020-06-21,712,58,0,23,0,21,10,0,2685,211,226,64.11,0,0,0,0,0,0,0,0.0,0.013300000000000001,4,301,0,4,6,0
2020-06-22,435,31,0,13,1,15,3,0,1674,145,230,65.44,0,0,0,0,0,0,0,0.0,0.0055000000000000005,1,182,0,1,7,0
2020-06-23,262,19,0,6,0,13,11,0,988,67,226,64.1,0,0,0,0,0,0,0,0.5,0.0263,2,114,1,3,6,0
2020-06-24,352,27,0,11,0,11,2,1,1285,107,219,62.08,0,0,0,0,0,0,0,0.0,0.0,0,140,0,0,3,0
2020-06-25,222,28,0,7,0,4,5,1,907,138,245,69.46,0,0,0,0,0,0,0,0.0,0.0096,1,104,0,1,3,0
2020-06-26,204,17,0,5,0,5,4,1,765,73,225,63.81,0,0,0,0,0,0,0,0.0,0.0,0,88,0,0,1,0
2020-06-27,120,11,0,3,0,3,5,0,486,53,243,68.95,0,0,0,0,0,0,0,0.0,0.0196,1,51,0,1,0,0
2020-06-28,179,19,0,2,0,3,3,0,746,73,250,70.84,0,0,0,0,0,0,0,0.0,0.0,1,84,0,0,3,0
2020-06-29,105,9,0,3,0,8,7,1,382,45,218,61.84,0,0,0,0,0,0,0,0.0,0.025,1,40,0,1,0,0
