day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2019-05-27,13803,1090,113,1308,27,726,175,31,49939,4006,217,73.09,0,0,0,0,0,0,0,0,0,0,0,0,0,12,17
2019-05-28,6518,475,35,488,11,219,119,19,22648,1742,208,70.2,0,0,0,0,0,0,0,0,0,0,0,0,0,22,9
2019-05-29,2677,190,12,180,3,86,81,4,9281,713,208,70.04,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3
2019-05-30,1412,91,3,81,2,28,49,3,4912,318,208,70.28,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2019-05-31,698,49,0,45,2,18,20,2,2346,166,201,67.91,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2019-06-01,690,49,4,29,0,23,36,1,2414,180,209,70.7,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2019-06-02,691,46,2,36,1,22,19,7,2363,173,205,69.1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
2019-06-03,421,28,0,20,0,13,18,1,1417,87,201,68.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-06-04,267,26,0,9,0,4,11,0,890,98,200,67.37,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2019-06-05,362,37,1,28,0,11,16,1,1151,129,190,64.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-06,579,38,2,33,0,11,13,2,1917,151,198,66.89,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-06-07,241,15,1,16,0,3,11,0,771,53,191,64.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-08,202,12,0,12,0,4,4,0,719,54,213,71.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-09,219,17,0,5,0,5,3,0,743,70,203,68.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-10,203,7,0,16,0,4,5,0,678,26,200,67.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-11,505,47,0,18,0,10,3,1,1529,157,181,61.199999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-12,239,18,2,16,0,7,10,0,767,58,192,64.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-06-13,177,15,1,18,1,2,7,0,651,57,220,74.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-14,137,11,1,4,0,3,5,0,470,47,206,69.43,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-06-15,117,7,0,6,0,3,3,0,391,30,200,67.64,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-06-16,106,9,0,4,0,6,4,2,366,27,207,69.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-17,117,7,0,8,0,4,4,1,416,26,213,71.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-18,69,7,0,5,0,3,5,1,266,29,231,77.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-19,84,4,0,3,0,1,2,0,289,17,206,69.62,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-06-20,71,3,0,3,0,1,6,0,252,9,213,71.72,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-06-21,55,4,0,3,0,2,2,0,170,14,185,62.519999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-22,109,4,0,4,0,1,1,1,373,19,205,69.31,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2019-06-23,121,12,0,4,0,1,4,1,428,49,212,71.53,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2019-06-24,93,3,0,4,0,2,4,0,374,10,241,81.44,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-06-25,59,5,1,2,0,1,5,0,232,23,235,79.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-26,50,5,0,2,0,0,3,0,181,16,217,73.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-27,33,0,0,3,0,0,2,0,125,0,228,77.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-28,63,4,0,2,0,2,1,0,228,12,217,73.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-29,85,5,1,1,0,1,4,1,327,17,231,77.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-30,61,6,0,3,0,2,1,0,254,27,250,84.18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
