day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2019-11-18,9,1,0,0,0,4,0,0,71,10,474,74.1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-11-19,37180,2278,91,1935,27,1635,248,137,248006,16789,400,62.44,0,0,0,0,0,0,0,0.0797,0.0197,414,20029,33,395,81,19
2019-11-20,60536,2921,69,1331,62,1454,289,134,356312,19907,353,55.09,0,0,0,0,0,0,0,0.0728,0.0147,453,27764,33,407,243,6
2019-11-21,60699,2481,52,853,49,1349,268,136,332715,15470,328,51.31,0,0,0,0,0,0,0,0.048499999999999995,0.013300000000000001,371,26599,18,353,278,6
2019-11-22,50223,1766,39,597,38,1075,205,131,266041,10979,317,49.58,0,0,0,0,0,0,0,0.0546,0.011200000000000002,293,22943,16,257,282,10
2019-11-23,47344,1752,46,511,36,841,187,128,259281,10756,328,51.25999999999999,0,0,0,0,0,0,0,0.0381,0.011399999999999999,210,18750,8,214,206,4
2019-11-24,46985,1966,33,466,29,660,149,81,280506,13210,358,55.88000000000001,0,0,0,0,0,0,0,0.0341,0.0102,176,16050,6,164,217,4
2019-11-25,40345,1695,19,347,14,675,255,71,252246,11463,375,58.52,0,0,0,0,0,0,0,0.051100000000000007,0.008100000000000001,137,12399,7,101,170,3
2019-11-26,29560,1232,19,253,24,439,130,32,184121,8038,373,58.3,0,0,0,0,0,0,0,0.0294,0.0092,102,9740,3,90,124,5
2019-11-27,21397,891,13,160,15,355,103,32,131857,5974,369,57.68,0,0,0,0,0,0,0,0.061,0.009899999999999999,82,7282,5,72,78,4
2019-11-28,18121,770,20,167,13,276,89,27,109436,5119,362,56.53,0,0,0,0,0,0,0,0.056299999999999996,0.0089,71,6178,4,55,64,2
2019-11-29,11373,475,8,115,3,193,95,25,68493,3319,361,56.37,0,0,0,0,0,0,0,0.1176,0.01,51,4098,6,41,45,2
2019-11-30,10827,438,9,87,7,166,69,21,66602,2825,369,57.58,0,0,0,0,0,0,0,0.0625,0.010700000000000001,48,3913,3,42,44,1
2019-12-01,12672,515,4,120,7,175,75,12,76474,3318,362,56.49000000000001,0,0,0,0,0,0,0,0.0545,0.0104,55,4733,3,49,75,0
2019-12-02,8134,323,7,75,4,138,64,9,48466,1952,357,55.77000000000001,0,0,0,0,0,0,0,0.0286,0.009300000000000001,35,3445,1,32,27,0
2019-12-03,5957,222,2,50,4,89,53,10,35613,1291,358,55.96,0,0,0,0,0,0,0,0.0,0.0074,19,2551,0,19,20,0
2019-12-04,4407,188,5,53,1,50,46,10,26569,1134,361,56.43,0,0,0,0,0,0,0,0.07690000000000001,0.0074,13,1895,1,14,15,0
