videoID,day,likes
gfhiLIktIzA,2019-11-18,0
gfhiLIktIzA,2019-11-19,1935
gfhiLIktIzA,2019-11-20,1331
gfhiLIktIzA,2019-11-21,853
gfhiLIktIzA,2019-11-22,597
gfhiLIktIzA,2019-11-23,511
gfhiLIktIzA,2019-11-24,466
gfhiLIktIzA,2019-11-25,347
gfhiLIktIzA,2019-11-26,253
gfhiLIktIzA,2019-11-27,160
gfhiLIktIzA,2019-11-28,167
gfhiLIktIzA,2019-11-29,115
gfhiLIktIzA,2019-11-30,87
gfhiLIktIzA,2019-12-01,120
gfhiLIktIzA,2019-12-02,75
gfhiLIktIzA,2019-12-03,50
gfhiLIktIzA,2019-12-04,53
gfhiLIktIzA,2019-12-05,39
gfhiLIktIzA,2019-12-06,24
gfhiLIktIzA,2019-12-07,24
gfhiLIktIzA,2019-12-08,51
gfhiLIktIzA,2019-12-09,22
gfhiLIktIzA,2019-12-10,20
gfhiLIktIzA,2019-12-11,20
gfhiLIktIzA,2019-12-12,15
gfhiLIktIzA,2019-12-13,11
gfhiLIktIzA,2019-12-14,25
gfhiLIktIzA,2019-12-15,27
gfhiLIktIzA,2019-12-16,23
gfhiLIktIzA,2019-12-17,17
gfhiLIktIzA,2019-12-18,17
gfhiLIktIzA,2019-12-19,18
gfhiLIktIzA,2019-12-20,10
gfhiLIktIzA,2019-12-21,16
gfhiLIktIzA,2019-12-22,6
gfhiLIktIzA,2019-12-23,20
gfhiLIktIzA,2019-12-24,14
gfhiLIktIzA,2019-12-25,15
gfhiLIktIzA,2019-12-26,15
gfhiLIktIzA,2019-12-27,11
gfhiLIktIzA,2019-12-28,11
gfhiLIktIzA,2019-12-29,13
gfhiLIktIzA,2019-12-30,14
gfhiLIktIzA,2019-12-31,11
gfhiLIktIzA,2020-01-01,9
gfhiLIktIzA,2020-01-02,16
gfhiLIktIzA,2020-01-03,18
gfhiLIktIzA,2020-01-04,15
gfhiLIktIzA,2020-01-05,23
gfhiLIktIzA,2020-01-06,39
gfhiLIktIzA,2020-01-07,26
gfhiLIktIzA,2020-01-08,30
