day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2021-06-14,12,3,0,1,0,1,0,0,122,33,610,88.16,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2021-06-15,15,5,0,0,0,0,0,0,129,46,516,74.67,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2021-06-16,49494,7253,140,4670,32,3769,581,204,386453,60401,468,67.7,0,0,0,0,0,0,0,0.025,0.003,80,25100,2,76,268,32
2021-06-17,56767,7484,87,3257,38,2261,628,179,404317,58535,427,61.75000000000001,0,0,0,0,0,0,0,0.0492,0.0022,61,24606,3,54,405,13
2021-06-18,36360,4971,39,1863,41,1342,415,88,251546,38520,415,59.98,0,0,0,0,0,0,0,0.0588,0.0017000000000000001,34,15697,2,27,292,12
2021-06-19,45320,5716,41,1884,43,1390,357,105,307629,42697,407,58.85,0,0,0,0,0,0,0,0.0698,0.0021,43,17384,3,37,350,13
2021-06-20,29506,4178,45,1050,42,978,328,52,200460,29843,407,58.91,0,0,0,0,0,0,0,0.0667,0.001,15,11514,1,12,266,12
2021-06-21,15477,1994,21,599,14,516,306,50,110503,15042,428,61.91,0,0,0,0,0,0,0,0.0,0.0019,15,6263,0,12,138,8
2021-06-22,12250,1525,21,458,9,380,225,39,88256,11435,432,62.470000000000006,0,0,0,0,0,0,0,0.07139999999999999,0.0026,14,5075,1,13,94,8
2021-06-23,8333,1093,10,324,6,238,128,14,59629,8539,429,62.05,0,0,0,0,0,0,0,0.0,0.002,8,3580,0,7,74,2
2021-06-24,4995,645,6,209,3,153,131,12,36018,4881,432,62.519999999999996,0,0,0,0,0,0,0,0.0,0.0027,6,2261,0,6,40,0
2021-06-25,3533,346,3,135,4,96,117,9,25719,2624,436,63.12,0,0,0,0,0,0,0,0.0,0.0052,8,1548,0,8,29,1
2021-06-26,3091,398,4,127,1,73,84,8,21976,3096,426,61.64999999999999,0,0,0,0,0,0,0,0.0,0.003,5,1355,0,4,26,1
2021-06-27,2792,337,3,106,0,63,101,11,20429,2817,439,63.44,0,0,0,0,0,0,0,0.0,0.005,5,1205,0,6,25,0
2021-06-28,2537,362,3,100,2,77,74,7,18204,2733,430,62.22,0,0,0,0,0,0,0,0.0,0.0017000000000000001,2,1157,0,2,21,3
2021-06-29,2184,303,3,91,3,57,67,7,16550,2620,454,65.7,0,0,0,0,0,0,0,0.0,0.003,3,987,0,3,19,1
