videoID,day,likes
gkuRM04Ck8Y,2021-06-14,1
gkuRM04Ck8Y,2021-06-15,0
gkuRM04Ck8Y,2021-06-16,4670
gkuRM04Ck8Y,2021-06-17,3257
gkuRM04Ck8Y,2021-06-18,1863
gkuRM04Ck8Y,2021-06-19,1884
gkuRM04Ck8Y,2021-06-20,1050
gkuRM04Ck8Y,2021-06-21,599
gkuRM04Ck8Y,2021-06-22,458
gkuRM04Ck8Y,2021-06-23,324
gkuRM04Ck8Y,2021-06-24,209
gkuRM04Ck8Y,2021-06-25,135
gkuRM04Ck8Y,2021-06-26,127
gkuRM04Ck8Y,2021-06-27,106
gkuRM04Ck8Y,2021-06-28,100
gkuRM04Ck8Y,2021-06-29,91
gkuRM04Ck8Y,2021-06-30,88
gkuRM04Ck8Y,2021-07-01,83
gkuRM04Ck8Y,2021-07-02,78
gkuRM04Ck8Y,2021-07-03,88
gkuRM04Ck8Y,2021-07-04,85
gkuRM04Ck8Y,2021-07-05,91
gkuRM04Ck8Y,2021-07-06,116
gkuRM04Ck8Y,2021-07-07,81
gkuRM04Ck8Y,2021-07-08,99
gkuRM04Ck8Y,2021-07-09,88
gkuRM04Ck8Y,2021-07-10,70
gkuRM04Ck8Y,2021-07-11,103
gkuRM04Ck8Y,2021-07-12,93
gkuRM04Ck8Y,2021-07-13,114
gkuRM04Ck8Y,2021-07-14,122
gkuRM04Ck8Y,2021-07-15,126
gkuRM04Ck8Y,2021-07-16,138
gkuRM04Ck8Y,2021-07-17,155
gkuRM04Ck8Y,2021-07-18,145
gkuRM04Ck8Y,2021-07-19,132
gkuRM04Ck8Y,2021-07-20,110
gkuRM04Ck8Y,2021-07-21,105
gkuRM04Ck8Y,2021-07-22,93
gkuRM04Ck8Y,2021-07-23,65
gkuRM04Ck8Y,2021-07-24,77
gkuRM04Ck8Y,2021-07-25,69
gkuRM04Ck8Y,2021-07-26,72
gkuRM04Ck8Y,2021-07-27,88
gkuRM04Ck8Y,2021-07-28,68
gkuRM04Ck8Y,2021-07-29,41
gkuRM04Ck8Y,2021-07-30,42
gkuRM04Ck8Y,2021-07-31,37
gkuRM04Ck8Y,2021-08-01,43
gkuRM04Ck8Y,2021-08-02,32
gkuRM04Ck8Y,2021-08-03,38
gkuRM04Ck8Y,2021-08-04,40
gkuRM04Ck8Y,2021-08-05,64
gkuRM04Ck8Y,2021-08-06,33
gkuRM04Ck8Y,2021-08-07,38
gkuRM04Ck8Y,2021-08-08,38
gkuRM04Ck8Y,2021-08-09,25
gkuRM04Ck8Y,2021-08-10,32
gkuRM04Ck8Y,2021-08-11,36
gkuRM04Ck8Y,2021-08-12,33
gkuRM04Ck8Y,2021-08-13,32
gkuRM04Ck8Y,2021-08-14,19
gkuRM04Ck8Y,2021-08-15,26
gkuRM04Ck8Y,2021-08-16,29
gkuRM04Ck8Y,2021-08-17,25
gkuRM04Ck8Y,2021-08-18,19
gkuRM04Ck8Y,2021-08-19,27
gkuRM04Ck8Y,2021-08-20,19
gkuRM04Ck8Y,2021-08-21,19
gkuRM04Ck8Y,2021-08-22,17
gkuRM04Ck8Y,2021-08-23,20
gkuRM04Ck8Y,2021-08-24,31
gkuRM04Ck8Y,2021-08-25,33
gkuRM04Ck8Y,2021-08-26,37
gkuRM04Ck8Y,2021-08-27,58
gkuRM04Ck8Y,2021-08-28,55
gkuRM04Ck8Y,2021-08-29,78
gkuRM04Ck8Y,2021-08-30,61
gkuRM04Ck8Y,2021-08-31,55
gkuRM04Ck8Y,2021-09-01,46
gkuRM04Ck8Y,2021-09-02,45
gkuRM04Ck8Y,2021-09-03,53
gkuRM04Ck8Y,2021-09-04,71
gkuRM04Ck8Y,2021-09-05,71
gkuRM04Ck8Y,2021-09-06,76
gkuRM04Ck8Y,2021-09-07,55
gkuRM04Ck8Y,2021-09-08,43
gkuRM04Ck8Y,2021-09-09,43
gkuRM04Ck8Y,2021-09-10,44
gkuRM04Ck8Y,2021-09-11,30
gkuRM04Ck8Y,2021-09-12,42
gkuRM04Ck8Y,2021-09-13,42
gkuRM04Ck8Y,2021-09-14,48
gkuRM04Ck8Y,2021-09-15,38
gkuRM04Ck8Y,2021-09-16,34
gkuRM04Ck8Y,2021-09-17,30
gkuRM04Ck8Y,2021-09-18,30
gkuRM04Ck8Y,2021-09-19,35
gkuRM04Ck8Y,2021-09-20,36
gkuRM04Ck8Y,2021-09-21,30
gkuRM04Ck8Y,2021-09-22,37
gkuRM04Ck8Y,2021-09-23,30
gkuRM04Ck8Y,2021-09-24,26
gkuRM04Ck8Y,2021-09-25,22
gkuRM04Ck8Y,2021-09-26,32
gkuRM04Ck8Y,2021-09-27,34
gkuRM04Ck8Y,2021-09-28,11
gkuRM04Ck8Y,2021-09-29,26
gkuRM04Ck8Y,2021-09-30,35
gkuRM04Ck8Y,2021-10-01,26
gkuRM04Ck8Y,2021-10-02,16
gkuRM04Ck8Y,2021-10-03,19
gkuRM04Ck8Y,2021-10-04,24
gkuRM04Ck8Y,2021-10-05,38
gkuRM04Ck8Y,2021-10-06,24
gkuRM04Ck8Y,2021-10-07,24
gkuRM04Ck8Y,2021-10-08,32
gkuRM04Ck8Y,2021-10-09,34
gkuRM04Ck8Y,2021-10-10,36
gkuRM04Ck8Y,2021-10-11,53
gkuRM04Ck8Y,2021-10-12,37
gkuRM04Ck8Y,2021-10-13,42
gkuRM04Ck8Y,2021-10-14,18
gkuRM04Ck8Y,2021-10-15,26
gkuRM04Ck8Y,2021-10-16,34
gkuRM04Ck8Y,2021-10-17,42
gkuRM04Ck8Y,2021-10-18,24
gkuRM04Ck8Y,2021-10-19,22
gkuRM04Ck8Y,2021-10-20,24
gkuRM04Ck8Y,2021-10-21,22
gkuRM04Ck8Y,2021-10-22,18
gkuRM04Ck8Y,2021-10-23,30
gkuRM04Ck8Y,2021-10-24,25
gkuRM04Ck8Y,2021-10-25,22
gkuRM04Ck8Y,2021-10-26,13
gkuRM04Ck8Y,2021-10-27,27
gkuRM04Ck8Y,2021-10-28,13
gkuRM04Ck8Y,2021-10-29,27
gkuRM04Ck8Y,2021-10-30,18
gkuRM04Ck8Y,2021-10-31,20
gkuRM04Ck8Y,2021-11-01,19
gkuRM04Ck8Y,2021-11-02,16
gkuRM04Ck8Y,2021-11-03,10
gkuRM04Ck8Y,2021-11-04,17
gkuRM04Ck8Y,2021-11-05,7
