day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2019-08-27,1,0,0,0,0,0,0,0,10,0,659,99.85,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-08-28,1,0,0,0,0,0,0,0,0,0,39,6.03,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-08-30,0,0,0,0,0,4,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-08-31,147865,6637,369,3768,127,2741,387,259,923161,49244,374,56.76,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,457,20
2019-09-01,86767,3506,137,1802,77,1429,327,153,482788,24037,333,50.580000000000005,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,345,12
2019-09-02,28648,1042,34,553,23,428,193,79,149229,6811,312,47.36,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,148,5
2019-09-03,19465,637,29,293,19,285,157,48,96694,4249,298,45.16,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,78,5
2019-09-04,13653,379,14,175,16,173,108,44,68943,2487,302,45.91,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,49,4
2019-09-05,14822,335,11,214,12,151,81,31,70466,2261,285,43.22,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,83,1
2019-09-06,14341,279,6,165,10,128,47,32,57305,1763,239,36.33,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,62,2
2019-09-07,17884,229,3,148,8,97,43,21,60001,1379,201,30.5,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,76,2
2019-09-08,13885,225,9,134,5,69,46,18,48168,1337,208,31.540000000000003,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,78,4
2019-09-09,9487,177,6,94,6,78,39,10,37870,1093,239,36.29,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,55,3
2019-09-10,8158,238,4,103,4,55,39,13,38990,1657,286,43.45,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,65,0
2019-09-11,10762,337,8,140,1,93,38,27,56328,2483,314,47.58,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,66,2
2019-09-12,14876,504,13,190,5,127,48,22,77067,3463,310,47.1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,103,2
2019-09-13,13024,420,8,193,8,127,36,30,65157,2852,300,45.48,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,95,2
2019-09-14,11875,434,13,145,9,115,51,24,61964,2989,313,47.44,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,66,1
2019-09-15,11855,468,8,169,13,122,48,32,64165,3264,324,49.2,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,73,3
2019-09-16,14145,606,23,194,13,156,63,17,76134,4086,322,48.93,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,80,1
2019-09-17,12965,514,7,165,9,114,35,19,66390,3338,307,46.55,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,85,1
2019-09-18,9512,311,1,105,2,96,39,16,47109,2084,297,45.02,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,63,2
2019-09-19,8084,259,7,94,7,89,31,8,37916,1793,281,42.64,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,55,1
2019-09-20,8383,216,4,102,4,62,32,13,36337,1396,260,39.41,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,51,1
