day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2021-02-23,22457,3119,130,2269,32,1019,369,274,19679,2789,52,87.63,0,0,0,0,0,0,0,0.15380000000000002,0.016200000000000003,208,10304,32,167,30,7
2021-02-24,5074,581,5,323,12,81,113,47,4423,497,52,87.17,0,0,0,0,0,0,0,0.0,0.0161,24,1489,0,24,23,4
2021-02-25,25263,2574,30,901,42,75,50,66,20077,2029,47,79.47,0,0,0,0,0,0,0,0.0625,0.0168,16,892,1,15,264,5
2021-02-26,23695,2174,33,761,35,43,31,114,16735,1604,42,70.63,0,0,0,0,0,0,0,0.1429,0.021,14,571,2,12,255,4
2021-02-27,10431,1026,10,386,7,14,22,46,7868,762,45,75.44,0,0,0,0,0,0,0,0.0,0.0075,3,398,0,3,127,4
2021-02-28,6542,664,7,240,9,18,19,19,4807,480,44,73.49,0,0,0,0,0,0,0,0.3636,0.0288,11,313,4,9,73,4
2021-03-01,3231,326,4,129,6,8,17,8,2420,247,44,74.92,0,0,0,0,0,0,0,0.0,0.004,2,251,0,1,29,1
2021-03-02,2172,220,1,72,2,2,11,8,1634,157,45,75.25,0,0,0,0,0,0,0,0.0,0.0132,2,151,0,2,27,0
2021-03-03,1569,153,0,63,1,4,5,1,1101,107,42,70.19,0,0,0,0,0,0,0,0.0,0.0095,1,105,0,1,16,1
2021-03-04,2110,168,1,58,-1,2,4,13,1651,115,46,78.26,0,0,0,0,0,0,0,0.0,0.0097,1,103,0,1,18,0
