videoID,day,likes
hQ9F_s9_S-c,2021-02-23,2269
hQ9F_s9_S-c,2021-02-24,323
hQ9F_s9_S-c,2021-02-25,901
hQ9F_s9_S-c,2021-02-26,761
hQ9F_s9_S-c,2021-02-27,386
hQ9F_s9_S-c,2021-02-28,240
hQ9F_s9_S-c,2021-03-01,129
hQ9F_s9_S-c,2021-03-02,72
hQ9F_s9_S-c,2021-03-03,63
hQ9F_s9_S-c,2021-03-04,58
hQ9F_s9_S-c,2021-03-05,30
hQ9F_s9_S-c,2021-03-06,56
hQ9F_s9_S-c,2021-03-07,69
hQ9F_s9_S-c,2021-03-08,62
hQ9F_s9_S-c,2021-03-09,63
hQ9F_s9_S-c,2021-03-10,87
hQ9F_s9_S-c,2021-03-11,64
hQ9F_s9_S-c,2021-03-12,53
hQ9F_s9_S-c,2021-03-13,52
hQ9F_s9_S-c,2021-03-14,51
hQ9F_s9_S-c,2021-03-15,36
hQ9F_s9_S-c,2021-03-16,37
hQ9F_s9_S-c,2021-03-17,41
hQ9F_s9_S-c,2021-03-18,35
hQ9F_s9_S-c,2021-03-19,43
hQ9F_s9_S-c,2021-03-20,55
hQ9F_s9_S-c,2021-03-21,44
hQ9F_s9_S-c,2021-03-22,51
hQ9F_s9_S-c,2021-03-23,61
hQ9F_s9_S-c,2021-03-24,43
hQ9F_s9_S-c,2021-03-25,67
hQ9F_s9_S-c,2021-03-26,49
hQ9F_s9_S-c,2021-03-27,54
hQ9F_s9_S-c,2021-03-28,107
hQ9F_s9_S-c,2021-03-29,94
hQ9F_s9_S-c,2021-03-30,93
hQ9F_s9_S-c,2021-03-31,95
hQ9F_s9_S-c,2021-04-01,104
hQ9F_s9_S-c,2021-04-02,84
hQ9F_s9_S-c,2021-04-03,70
hQ9F_s9_S-c,2021-04-04,69
hQ9F_s9_S-c,2021-04-05,83
hQ9F_s9_S-c,2021-04-06,80
hQ9F_s9_S-c,2021-04-07,64
hQ9F_s9_S-c,2021-04-08,71
hQ9F_s9_S-c,2021-04-09,52
hQ9F_s9_S-c,2021-04-10,52
hQ9F_s9_S-c,2021-04-11,54
hQ9F_s9_S-c,2021-04-12,45
hQ9F_s9_S-c,2021-04-13,32
hQ9F_s9_S-c,2021-04-14,39
hQ9F_s9_S-c,2021-04-15,50
hQ9F_s9_S-c,2021-04-16,49
hQ9F_s9_S-c,2021-04-17,76
hQ9F_s9_S-c,2021-04-18,56
hQ9F_s9_S-c,2021-04-19,69
hQ9F_s9_S-c,2021-04-20,45
hQ9F_s9_S-c,2021-04-21,66
hQ9F_s9_S-c,2021-04-22,70
hQ9F_s9_S-c,2021-04-23,37
hQ9F_s9_S-c,2021-04-24,62
hQ9F_s9_S-c,2021-04-25,59
hQ9F_s9_S-c,2021-04-26,63
hQ9F_s9_S-c,2021-04-27,76
hQ9F_s9_S-c,2021-04-28,51
hQ9F_s9_S-c,2021-04-29,29
hQ9F_s9_S-c,2021-04-30,31
hQ9F_s9_S-c,2021-05-01,18
hQ9F_s9_S-c,2021-05-02,24
hQ9F_s9_S-c,2021-05-03,29
hQ9F_s9_S-c,2021-05-04,28
hQ9F_s9_S-c,2021-05-05,26
hQ9F_s9_S-c,2021-05-06,19
hQ9F_s9_S-c,2021-05-07,16
hQ9F_s9_S-c,2021-05-08,15
hQ9F_s9_S-c,2021-05-09,27
hQ9F_s9_S-c,2021-05-10,16
hQ9F_s9_S-c,2021-05-11,26
hQ9F_s9_S-c,2021-05-12,38
hQ9F_s9_S-c,2021-05-13,48
hQ9F_s9_S-c,2021-05-14,32
hQ9F_s9_S-c,2021-05-15,21
hQ9F_s9_S-c,2021-05-16,22
hQ9F_s9_S-c,2021-05-17,33
hQ9F_s9_S-c,2021-05-18,17
hQ9F_s9_S-c,2021-05-19,32
hQ9F_s9_S-c,2021-05-20,33
hQ9F_s9_S-c,2021-05-21,23
hQ9F_s9_S-c,2021-05-22,16
hQ9F_s9_S-c,2021-05-23,32
hQ9F_s9_S-c,2021-05-24,25
hQ9F_s9_S-c,2021-05-25,20
hQ9F_s9_S-c,2021-05-26,27
hQ9F_s9_S-c,2021-05-27,11
