videoID,day,likes
h_jXEZFuw38,2019-08-14,0
h_jXEZFuw38,2019-08-15,1
h_jXEZFuw38,2019-08-16,2
h_jXEZFuw38,2019-08-17,1907
h_jXEZFuw38,2019-08-18,1766
h_jXEZFuw38,2019-08-19,803
h_jXEZFuw38,2019-08-20,474
h_jXEZFuw38,2019-08-21,321
h_jXEZFuw38,2019-08-22,187
h_jXEZFuw38,2019-08-23,111
h_jXEZFuw38,2019-08-24,104
h_jXEZFuw38,2019-08-25,105
h_jXEZFuw38,2019-08-26,98
h_jXEZFuw38,2019-08-27,100
h_jXEZFuw38,2019-08-28,82
h_jXEZFuw38,2019-08-29,50
h_jXEZFuw38,2019-08-30,59
h_jXEZFuw38,2019-08-31,62
h_jXEZFuw38,2019-09-01,57
h_jXEZFuw38,2019-09-02,62
h_jXEZFuw38,2019-09-03,53
h_jXEZFuw38,2019-09-04,36
h_jXEZFuw38,2019-09-05,23
h_jXEZFuw38,2019-09-06,25
h_jXEZFuw38,2019-09-07,18
h_jXEZFuw38,2019-09-08,16
h_jXEZFuw38,2019-09-09,14
h_jXEZFuw38,2019-09-10,25
h_jXEZFuw38,2019-09-11,11
h_jXEZFuw38,2019-09-12,31
h_jXEZFuw38,2019-09-13,32
h_jXEZFuw38,2019-09-14,31
h_jXEZFuw38,2019-09-15,15
h_jXEZFuw38,2019-09-16,14
h_jXEZFuw38,2019-09-17,11
h_jXEZFuw38,2019-09-18,11
h_jXEZFuw38,2019-09-19,12
h_jXEZFuw38,2019-09-20,6
h_jXEZFuw38,2019-09-21,3
h_jXEZFuw38,2019-09-22,8
h_jXEZFuw38,2019-09-23,3
h_jXEZFuw38,2019-09-24,10
h_jXEZFuw38,2019-09-25,4
h_jXEZFuw38,2019-09-26,4
h_jXEZFuw38,2019-09-27,11
h_jXEZFuw38,2019-09-28,10
h_jXEZFuw38,2019-09-29,11
h_jXEZFuw38,2019-09-30,7
h_jXEZFuw38,2019-10-01,9
h_jXEZFuw38,2019-10-02,8
h_jXEZFuw38,2019-10-03,4
h_jXEZFuw38,2019-10-04,9
h_jXEZFuw38,2019-10-05,9
h_jXEZFuw38,2019-10-06,10
h_jXEZFuw38,2019-10-07,7
h_jXEZFuw38,2019-10-08,7
h_jXEZFuw38,2019-10-09,12
h_jXEZFuw38,2019-10-10,8
h_jXEZFuw38,2019-10-11,2
h_jXEZFuw38,2019-10-12,7
h_jXEZFuw38,2019-10-13,9
h_jXEZFuw38,2019-10-14,13
h_jXEZFuw38,2019-10-15,16
h_jXEZFuw38,2019-10-16,10
h_jXEZFuw38,2019-10-17,10
h_jXEZFuw38,2019-10-18,6
h_jXEZFuw38,2019-10-19,14
h_jXEZFuw38,2019-10-20,16
h_jXEZFuw38,2019-10-21,11
h_jXEZFuw38,2019-10-22,12
h_jXEZFuw38,2019-10-23,14
h_jXEZFuw38,2019-10-24,5
h_jXEZFuw38,2019-10-25,7
h_jXEZFuw38,2019-10-26,5
h_jXEZFuw38,2019-10-27,8
h_jXEZFuw38,2019-10-28,8
h_jXEZFuw38,2019-10-29,2
h_jXEZFuw38,2019-10-30,3
h_jXEZFuw38,2019-10-31,1
h_jXEZFuw38,2019-11-01,4
h_jXEZFuw38,2019-11-02,1
h_jXEZFuw38,2019-11-03,4
h_jXEZFuw38,2019-11-04,6
h_jXEZFuw38,2019-11-05,0
h_jXEZFuw38,2019-11-06,1
h_jXEZFuw38,2019-11-07,1
h_jXEZFuw38,2019-11-08,0
h_jXEZFuw38,2019-11-09,0
h_jXEZFuw38,2019-11-10,1
h_jXEZFuw38,2019-11-11,8
h_jXEZFuw38,2019-11-12,5
h_jXEZFuw38,2019-11-13,2
h_jXEZFuw38,2019-11-14,5
h_jXEZFuw38,2019-11-15,3
h_jXEZFuw38,2019-11-16,1
h_jXEZFuw38,2019-11-17,1
h_jXEZFuw38,2019-11-18,1
h_jXEZFuw38,2019-11-19,2
h_jXEZFuw38,2019-11-20,1
h_jXEZFuw38,2019-11-21,0
h_jXEZFuw38,2019-11-22,1
h_jXEZFuw38,2019-11-23,2
h_jXEZFuw38,2019-11-24,3
h_jXEZFuw38,2019-11-25,6
h_jXEZFuw38,2019-11-26,1
h_jXEZFuw38,2019-11-27,1
h_jXEZFuw38,2019-11-28,2
h_jXEZFuw38,2019-11-29,5
h_jXEZFuw38,2019-11-30,4
h_jXEZFuw38,2019-12-01,1
h_jXEZFuw38,2019-12-02,2
h_jXEZFuw38,2019-12-03,0
h_jXEZFuw38,2019-12-04,1
h_jXEZFuw38,2019-12-05,1
h_jXEZFuw38,2019-12-06,3
h_jXEZFuw38,2019-12-07,1
h_jXEZFuw38,2019-12-08,4
h_jXEZFuw38,2019-12-09,0
h_jXEZFuw38,2019-12-10,2
h_jXEZFuw38,2019-12-11,2
h_jXEZFuw38,2019-12-12,2
h_jXEZFuw38,2019-12-13,1
h_jXEZFuw38,2019-12-14,5
h_jXEZFuw38,2019-12-15,1
h_jXEZFuw38,2019-12-16,1
h_jXEZFuw38,2019-12-17,3
h_jXEZFuw38,2019-12-18,2
h_jXEZFuw38,2019-12-19,2
h_jXEZFuw38,2019-12-20,0
h_jXEZFuw38,2019-12-21,4
h_jXEZFuw38,2019-12-22,0
h_jXEZFuw38,2019-12-23,1
h_jXEZFuw38,2019-12-24,3
h_jXEZFuw38,2019-12-25,4
h_jXEZFuw38,2019-12-26,1
h_jXEZFuw38,2019-12-27,1
h_jXEZFuw38,2019-12-28,5
h_jXEZFuw38,2019-12-29,2
h_jXEZFuw38,2019-12-30,1
h_jXEZFuw38,2019-12-31,3
h_jXEZFuw38,2020-01-01,0
h_jXEZFuw38,2020-01-02,2
h_jXEZFuw38,2020-01-03,3
h_jXEZFuw38,2020-01-04,1
h_jXEZFuw38,2020-01-05,0
h_jXEZFuw38,2020-01-06,4
h_jXEZFuw38,2020-01-07,0
h_jXEZFuw38,2020-01-08,2
h_jXEZFuw38,2020-01-09,1
h_jXEZFuw38,2020-01-10,4
h_jXEZFuw38,2020-01-11,1
h_jXEZFuw38,2020-01-12,2
h_jXEZFuw38,2020-01-13,2
h_jXEZFuw38,2020-01-14,20
h_jXEZFuw38,2020-01-15,20
h_jXEZFuw38,2020-01-16,16
h_jXEZFuw38,2020-01-17,17
h_jXEZFuw38,2020-01-18,10
h_jXEZFuw38,2020-01-19,4
h_jXEZFuw38,2020-01-20,7
h_jXEZFuw38,2020-01-21,6
h_jXEZFuw38,2020-01-22,3
h_jXEZFuw38,2020-01-23,2
h_jXEZFuw38,2020-01-24,5
h_jXEZFuw38,2020-01-25,3
h_jXEZFuw38,2020-01-26,5
h_jXEZFuw38,2020-01-27,6
h_jXEZFuw38,2020-01-28,5
h_jXEZFuw38,2020-01-29,4
h_jXEZFuw38,2020-01-30,11
h_jXEZFuw38,2020-01-31,5
h_jXEZFuw38,2020-02-01,4
h_jXEZFuw38,2020-02-02,3
h_jXEZFuw38,2020-02-03,-1
h_jXEZFuw38,2020-02-04,4
h_jXEZFuw38,2020-02-05,5
h_jXEZFuw38,2020-02-06,4
h_jXEZFuw38,2020-02-07,4
h_jXEZFuw38,2020-02-08,4
h_jXEZFuw38,2020-02-09,4
h_jXEZFuw38,2020-02-10,4
h_jXEZFuw38,2020-02-11,4
h_jXEZFuw38,2020-02-12,4
h_jXEZFuw38,2020-02-13,5
h_jXEZFuw38,2020-02-14,2
h_jXEZFuw38,2020-02-15,5
h_jXEZFuw38,2020-02-16,1
h_jXEZFuw38,2020-02-17,6
h_jXEZFuw38,2020-02-18,1
h_jXEZFuw38,2020-02-19,4
h_jXEZFuw38,2020-02-20,1
h_jXEZFuw38,2020-02-21,1
h_jXEZFuw38,2020-02-22,3
h_jXEZFuw38,2020-02-23,1
h_jXEZFuw38,2020-02-24,4
h_jXEZFuw38,2020-02-25,1
h_jXEZFuw38,2020-02-26,1
h_jXEZFuw38,2020-02-27,4
h_jXEZFuw38,2020-02-28,16
h_jXEZFuw38,2020-02-29,24
h_jXEZFuw38,2020-03-01,25
h_jXEZFuw38,2020-03-02,29
h_jXEZFuw38,2020-03-03,31
h_jXEZFuw38,2020-03-04,36
h_jXEZFuw38,2020-03-05,37
h_jXEZFuw38,2020-03-06,78
h_jXEZFuw38,2020-03-07,91
h_jXEZFuw38,2020-03-08,103
h_jXEZFuw38,2020-03-09,147
h_jXEZFuw38,2020-03-10,88
h_jXEZFuw38,2020-03-11,58
h_jXEZFuw38,2020-03-12,41
h_jXEZFuw38,2020-03-13,26
h_jXEZFuw38,2020-03-14,25
h_jXEZFuw38,2020-03-15,30
h_jXEZFuw38,2020-03-16,13
h_jXEZFuw38,2020-03-17,14
h_jXEZFuw38,2020-03-18,3
h_jXEZFuw38,2020-03-19,3
h_jXEZFuw38,2020-03-20,2
h_jXEZFuw38,2020-03-21,3
h_jXEZFuw38,2020-03-22,4
h_jXEZFuw38,2020-03-23,3
h_jXEZFuw38,2020-03-24,5
h_jXEZFuw38,2020-03-25,1
h_jXEZFuw38,2020-03-26,3
h_jXEZFuw38,2020-03-27,1
h_jXEZFuw38,2020-03-28,4
h_jXEZFuw38,2020-03-29,0
h_jXEZFuw38,2020-03-30,6
h_jXEZFuw38,2020-03-31,2
h_jXEZFuw38,2020-04-01,5
h_jXEZFuw38,2020-04-02,2
h_jXEZFuw38,2020-04-03,1
h_jXEZFuw38,2020-04-04,3
h_jXEZFuw38,2020-04-05,3
h_jXEZFuw38,2020-04-06,3
h_jXEZFuw38,2020-04-07,8
h_jXEZFuw38,2020-04-08,7
h_jXEZFuw38,2020-04-09,4
h_jXEZFuw38,2020-04-10,2
h_jXEZFuw38,2020-04-11,2
h_jXEZFuw38,2020-04-12,3
h_jXEZFuw38,2020-04-13,4
h_jXEZFuw38,2020-04-14,0
h_jXEZFuw38,2020-04-15,0
h_jXEZFuw38,2020-04-16,4
h_jXEZFuw38,2020-04-17,3
h_jXEZFuw38,2020-04-18,6
h_jXEZFuw38,2020-04-19,1
h_jXEZFuw38,2020-04-20,-1
h_jXEZFuw38,2020-04-21,7
h_jXEZFuw38,2020-04-22,5
h_jXEZFuw38,2020-04-23,3
h_jXEZFuw38,2020-04-24,4
h_jXEZFuw38,2020-04-25,4
h_jXEZFuw38,2020-04-26,7
h_jXEZFuw38,2020-04-27,1
h_jXEZFuw38,2020-04-28,7
h_jXEZFuw38,2020-04-29,4
h_jXEZFuw38,2020-04-30,5
h_jXEZFuw38,2020-05-01,5
h_jXEZFuw38,2020-05-02,4
h_jXEZFuw38,2020-05-03,7
h_jXEZFuw38,2020-05-04,7
h_jXEZFuw38,2020-05-05,7
h_jXEZFuw38,2020-05-06,3
h_jXEZFuw38,2020-05-07,6
h_jXEZFuw38,2020-05-08,7
h_jXEZFuw38,2020-05-09,6
h_jXEZFuw38,2020-05-10,3
h_jXEZFuw38,2020-05-11,0
h_jXEZFuw38,2020-05-12,1
h_jXEZFuw38,2020-05-13,6
h_jXEZFuw38,2020-05-14,6
h_jXEZFuw38,2020-05-15,6
h_jXEZFuw38,2020-05-16,6
h_jXEZFuw38,2020-05-17,12
h_jXEZFuw38,2020-05-18,36
h_jXEZFuw38,2020-05-19,21
h_jXEZFuw38,2020-05-20,9
h_jXEZFuw38,2020-05-21,19
h_jXEZFuw38,2020-05-22,20
h_jXEZFuw38,2020-05-23,35
h_jXEZFuw38,2020-05-24,30
h_jXEZFuw38,2020-05-25,26
h_jXEZFuw38,2020-05-26,21
h_jXEZFuw38,2020-05-27,17
h_jXEZFuw38,2020-05-28,22
h_jXEZFuw38,2020-05-29,15
h_jXEZFuw38,2020-05-30,7
h_jXEZFuw38,2020-05-31,12
h_jXEZFuw38,2020-06-01,15
h_jXEZFuw38,2020-06-02,13
h_jXEZFuw38,2020-06-03,14
h_jXEZFuw38,2020-06-04,15
h_jXEZFuw38,2020-06-05,11
h_jXEZFuw38,2020-06-06,22
h_jXEZFuw38,2020-06-07,17
h_jXEZFuw38,2020-06-08,11
h_jXEZFuw38,2020-06-09,16
h_jXEZFuw38,2020-06-10,14
h_jXEZFuw38,2020-06-11,8
h_jXEZFuw38,2020-06-12,7
h_jXEZFuw38,2020-06-13,6
h_jXEZFuw38,2020-06-14,7
h_jXEZFuw38,2020-06-15,7
h_jXEZFuw38,2020-06-16,5
h_jXEZFuw38,2020-06-17,2
h_jXEZFuw38,2020-06-18,5
h_jXEZFuw38,2020-06-19,5
h_jXEZFuw38,2020-06-20,1
h_jXEZFuw38,2020-06-21,4
h_jXEZFuw38,2020-06-22,1
h_jXEZFuw38,2020-06-23,3
h_jXEZFuw38,2020-06-24,2
h_jXEZFuw38,2020-06-25,2
h_jXEZFuw38,2020-06-26,2
h_jXEZFuw38,2020-06-27,1
h_jXEZFuw38,2020-06-28,5
h_jXEZFuw38,2020-06-29,3
h_jXEZFuw38,2020-06-30,4
h_jXEZFuw38,2020-07-01,1
h_jXEZFuw38,2020-07-02,3
h_jXEZFuw38,2020-07-03,3
h_jXEZFuw38,2020-07-04,3
h_jXEZFuw38,2020-07-05,4
h_jXEZFuw38,2020-07-06,7
h_jXEZFuw38,2020-07-07,4
h_jXEZFuw38,2020-07-08,2
h_jXEZFuw38,2020-07-09,5
h_jXEZFuw38,2020-07-10,5
h_jXEZFuw38,2020-07-11,3
h_jXEZFuw38,2020-07-12,1
h_jXEZFuw38,2020-07-13,3
h_jXEZFuw38,2020-07-14,3
h_jXEZFuw38,2020-07-15,1
h_jXEZFuw38,2020-07-16,1
h_jXEZFuw38,2020-07-17,10
h_jXEZFuw38,2020-07-18,9
h_jXEZFuw38,2020-07-19,4
h_jXEZFuw38,2020-07-20,10
h_jXEZFuw38,2020-07-21,7
h_jXEZFuw38,2020-07-22,8
h_jXEZFuw38,2020-07-23,6
h_jXEZFuw38,2020-07-24,4
h_jXEZFuw38,2020-07-25,5
h_jXEZFuw38,2020-07-26,6
h_jXEZFuw38,2020-07-27,7
h_jXEZFuw38,2020-07-28,3
h_jXEZFuw38,2020-07-29,4
h_jXEZFuw38,2020-07-30,4
h_jXEZFuw38,2020-07-31,4
h_jXEZFuw38,2020-08-01,4
h_jXEZFuw38,2020-08-02,1
h_jXEZFuw38,2020-08-03,0
h_jXEZFuw38,2020-08-04,2
h_jXEZFuw38,2020-08-05,3
h_jXEZFuw38,2020-08-06,2
h_jXEZFuw38,2020-08-07,0
h_jXEZFuw38,2020-08-08,5
h_jXEZFuw38,2020-08-09,3
h_jXEZFuw38,2020-08-10,2
h_jXEZFuw38,2020-08-11,2
h_jXEZFuw38,2020-08-12,1
h_jXEZFuw38,2020-08-13,2
h_jXEZFuw38,2020-08-14,2
h_jXEZFuw38,2020-08-15,-1
h_jXEZFuw38,2020-08-16,3
h_jXEZFuw38,2020-08-17,1
h_jXEZFuw38,2020-08-18,1
h_jXEZFuw38,2020-08-19,2
h_jXEZFuw38,2020-08-20,1
h_jXEZFuw38,2020-08-21,1
h_jXEZFuw38,2020-08-22,1
h_jXEZFuw38,2020-08-23,2
h_jXEZFuw38,2020-08-24,1
h_jXEZFuw38,2020-08-25,1
h_jXEZFuw38,2020-08-26,1
h_jXEZFuw38,2020-08-27,3
h_jXEZFuw38,2020-08-28,1
h_jXEZFuw38,2020-08-29,3
h_jXEZFuw38,2020-08-30,0
h_jXEZFuw38,2020-08-31,0
h_jXEZFuw38,2020-09-01,1
h_jXEZFuw38,2020-09-02,2
h_jXEZFuw38,2020-09-03,1
h_jXEZFuw38,2020-09-04,2
h_jXEZFuw38,2020-09-05,1
h_jXEZFuw38,2020-09-06,0
h_jXEZFuw38,2020-09-07,1
h_jXEZFuw38,2020-09-08,0
h_jXEZFuw38,2020-09-09,9
h_jXEZFuw38,2020-09-10,0
h_jXEZFuw38,2020-09-11,2
h_jXEZFuw38,2020-09-12,7
h_jXEZFuw38,2020-09-13,3
h_jXEZFuw38,2020-09-14,5
h_jXEZFuw38,2020-09-15,0
h_jXEZFuw38,2020-09-16,0
h_jXEZFuw38,2020-09-17,5
h_jXEZFuw38,2020-09-18,6
h_jXEZFuw38,2020-09-19,4
h_jXEZFuw38,2020-09-20,0
h_jXEZFuw38,2020-09-21,9
h_jXEZFuw38,2020-09-22,1
h_jXEZFuw38,2020-09-23,4
h_jXEZFuw38,2020-09-24,2
h_jXEZFuw38,2020-09-25,1
h_jXEZFuw38,2020-09-26,2
h_jXEZFuw38,2020-09-27,3
h_jXEZFuw38,2020-09-28,3
h_jXEZFuw38,2020-09-29,1
h_jXEZFuw38,2020-09-30,2
h_jXEZFuw38,2020-10-01,5
h_jXEZFuw38,2020-10-02,2
h_jXEZFuw38,2020-10-03,2
h_jXEZFuw38,2020-10-04,4
h_jXEZFuw38,2020-10-05,3
h_jXEZFuw38,2020-10-06,1
h_jXEZFuw38,2020-10-07,1
h_jXEZFuw38,2020-10-08,2
h_jXEZFuw38,2020-10-09,3
h_jXEZFuw38,2020-10-10,3
h_jXEZFuw38,2020-10-11,2
h_jXEZFuw38,2020-10-12,2
h_jXEZFuw38,2020-10-13,2
h_jXEZFuw38,2020-10-14,0
h_jXEZFuw38,2020-10-15,8
h_jXEZFuw38,2020-10-16,8
h_jXEZFuw38,2020-10-17,1
h_jXEZFuw38,2020-10-18,6
h_jXEZFuw38,2020-10-19,2
h_jXEZFuw38,2020-10-20,1
h_jXEZFuw38,2020-10-21,7
h_jXEZFuw38,2020-10-22,2
h_jXEZFuw38,2020-10-23,6
h_jXEZFuw38,2020-10-24,1
h_jXEZFuw38,2020-10-25,2
h_jXEZFuw38,2020-10-26,5
h_jXEZFuw38,2020-10-27,6
h_jXEZFuw38,2020-10-28,2
h_jXEZFuw38,2020-10-29,5
h_jXEZFuw38,2020-10-30,0
h_jXEZFuw38,2020-10-31,4
h_jXEZFuw38,2020-11-01,5
h_jXEZFuw38,2020-11-02,6
h_jXEZFuw38,2020-11-03,3
h_jXEZFuw38,2020-11-04,3
h_jXEZFuw38,2020-11-05,1
h_jXEZFuw38,2020-11-06,3
h_jXEZFuw38,2020-11-07,3
h_jXEZFuw38,2020-11-08,2
h_jXEZFuw38,2020-11-09,0
h_jXEZFuw38,2020-11-10,3
h_jXEZFuw38,2020-11-11,2
h_jXEZFuw38,2020-11-12,1
h_jXEZFuw38,2020-11-13,4
h_jXEZFuw38,2020-11-14,4
h_jXEZFuw38,2020-11-15,0
h_jXEZFuw38,2020-11-16,2
h_jXEZFuw38,2020-11-17,1
h_jXEZFuw38,2020-11-18,0
h_jXEZFuw38,2020-11-19,4
h_jXEZFuw38,2020-11-20,3
h_jXEZFuw38,2020-11-21,-1
h_jXEZFuw38,2020-11-22,0
h_jXEZFuw38,2020-11-23,0
h_jXEZFuw38,2020-11-24,4
h_jXEZFuw38,2020-11-25,4
h_jXEZFuw38,2020-11-26,0
h_jXEZFuw38,2020-11-27,2
h_jXEZFuw38,2020-11-28,2
h_jXEZFuw38,2020-11-29,3
h_jXEZFuw38,2020-11-30,3
h_jXEZFuw38,2020-12-01,4
h_jXEZFuw38,2020-12-02,3
h_jXEZFuw38,2020-12-03,3
h_jXEZFuw38,2020-12-04,1
h_jXEZFuw38,2020-12-05,1
h_jXEZFuw38,2020-12-06,2
h_jXEZFuw38,2020-12-07,1
h_jXEZFuw38,2020-12-08,1
h_jXEZFuw38,2020-12-09,5
h_jXEZFuw38,2020-12-10,2
h_jXEZFuw38,2020-12-11,3
h_jXEZFuw38,2020-12-12,2
h_jXEZFuw38,2020-12-13,1
h_jXEZFuw38,2020-12-14,5
h_jXEZFuw38,2020-12-15,2
h_jXEZFuw38,2020-12-16,4
h_jXEZFuw38,2020-12-17,5
h_jXEZFuw38,2020-12-18,4
h_jXEZFuw38,2020-12-19,2
h_jXEZFuw38,2020-12-20,1
h_jXEZFuw38,2020-12-21,1
h_jXEZFuw38,2020-12-22,4
h_jXEZFuw38,2020-12-23,3
h_jXEZFuw38,2020-12-24,4
h_jXEZFuw38,2020-12-25,6
h_jXEZFuw38,2020-12-26,4
h_jXEZFuw38,2020-12-27,7
h_jXEZFuw38,2020-12-28,9
h_jXEZFuw38,2020-12-29,2
h_jXEZFuw38,2020-12-30,3
h_jXEZFuw38,2020-12-31,3
h_jXEZFuw38,2021-01-01,4
h_jXEZFuw38,2021-01-02,3
h_jXEZFuw38,2021-01-03,6
h_jXEZFuw38,2021-01-04,3
h_jXEZFuw38,2021-01-05,2
h_jXEZFuw38,2021-01-06,6
h_jXEZFuw38,2021-01-07,1
h_jXEZFuw38,2021-01-08,6
h_jXEZFuw38,2021-01-09,4
h_jXEZFuw38,2021-01-10,2
h_jXEZFuw38,2021-01-11,2
h_jXEZFuw38,2021-01-12,0
h_jXEZFuw38,2021-01-13,4
h_jXEZFuw38,2021-01-14,4
h_jXEZFuw38,2021-01-15,0
h_jXEZFuw38,2021-01-16,0
h_jXEZFuw38,2021-01-17,0
h_jXEZFuw38,2021-01-18,2
h_jXEZFuw38,2021-01-19,5
h_jXEZFuw38,2021-01-20,2
h_jXEZFuw38,2021-01-21,3
h_jXEZFuw38,2021-01-22,7
h_jXEZFuw38,2021-01-23,4
h_jXEZFuw38,2021-01-24,3
h_jXEZFuw38,2021-01-25,0
h_jXEZFuw38,2021-01-26,6
h_jXEZFuw38,2021-01-27,3
h_jXEZFuw38,2021-01-28,6
h_jXEZFuw38,2021-01-29,6
h_jXEZFuw38,2021-01-30,4
h_jXEZFuw38,2021-01-31,2
h_jXEZFuw38,2021-02-01,4
h_jXEZFuw38,2021-02-02,7
h_jXEZFuw38,2021-02-03,6
h_jXEZFuw38,2021-02-04,8
h_jXEZFuw38,2021-02-05,6
h_jXEZFuw38,2021-02-06,4
h_jXEZFuw38,2021-02-07,6
h_jXEZFuw38,2021-02-08,6
h_jXEZFuw38,2021-02-09,8
h_jXEZFuw38,2021-02-10,5
h_jXEZFuw38,2021-02-11,7
h_jXEZFuw38,2021-02-12,8
h_jXEZFuw38,2021-02-13,3
h_jXEZFuw38,2021-02-14,12
h_jXEZFuw38,2021-02-15,16
h_jXEZFuw38,2021-02-16,9
h_jXEZFuw38,2021-02-17,12
h_jXEZFuw38,2021-02-18,6
h_jXEZFuw38,2021-02-19,7
h_jXEZFuw38,2021-02-20,3
h_jXEZFuw38,2021-02-21,10
h_jXEZFuw38,2021-02-22,8
h_jXEZFuw38,2021-02-23,24
h_jXEZFuw38,2021-02-24,17
h_jXEZFuw38,2021-02-25,32
h_jXEZFuw38,2021-02-26,46
h_jXEZFuw38,2021-02-27,55
h_jXEZFuw38,2021-02-28,104
h_jXEZFuw38,2021-03-01,191
h_jXEZFuw38,2021-03-02,219
h_jXEZFuw38,2021-03-03,371
h_jXEZFuw38,2021-03-04,409
h_jXEZFuw38,2021-03-05,392
h_jXEZFuw38,2021-03-06,350
h_jXEZFuw38,2021-03-07,371
h_jXEZFuw38,2021-03-08,281
h_jXEZFuw38,2021-03-09,184
h_jXEZFuw38,2021-03-10,166
h_jXEZFuw38,2021-03-11,116
h_jXEZFuw38,2021-03-12,44
h_jXEZFuw38,2021-03-13,56
h_jXEZFuw38,2021-03-14,40
h_jXEZFuw38,2021-03-15,17
h_jXEZFuw38,2021-03-16,20
h_jXEZFuw38,2021-03-17,7
h_jXEZFuw38,2021-03-18,15
h_jXEZFuw38,2021-03-19,9
h_jXEZFuw38,2021-03-20,9
h_jXEZFuw38,2021-03-21,18
h_jXEZFuw38,2021-03-22,14
h_jXEZFuw38,2021-03-23,12
h_jXEZFuw38,2021-03-24,5
h_jXEZFuw38,2021-03-25,21
h_jXEZFuw38,2021-03-26,11
h_jXEZFuw38,2021-03-27,12
h_jXEZFuw38,2021-03-28,15
h_jXEZFuw38,2021-03-29,4
h_jXEZFuw38,2021-03-30,17
h_jXEZFuw38,2021-03-31,13
h_jXEZFuw38,2021-04-01,14
h_jXEZFuw38,2021-04-02,15
h_jXEZFuw38,2021-04-03,14
h_jXEZFuw38,2021-04-04,24
h_jXEZFuw38,2021-04-05,24
h_jXEZFuw38,2021-04-06,17
h_jXEZFuw38,2021-04-07,25
h_jXEZFuw38,2021-04-08,26
h_jXEZFuw38,2021-04-09,22
h_jXEZFuw38,2021-04-10,20
h_jXEZFuw38,2021-04-11,17
h_jXEZFuw38,2021-04-12,22
h_jXEZFuw38,2021-04-13,23
h_jXEZFuw38,2021-04-14,23
h_jXEZFuw38,2021-04-15,21
h_jXEZFuw38,2021-04-16,22
h_jXEZFuw38,2021-04-17,19
h_jXEZFuw38,2021-04-18,13
h_jXEZFuw38,2021-04-19,17
h_jXEZFuw38,2021-04-20,27
h_jXEZFuw38,2021-04-21,30
h_jXEZFuw38,2021-04-22,37
h_jXEZFuw38,2021-04-23,28
h_jXEZFuw38,2021-04-24,19
h_jXEZFuw38,2021-04-25,20
h_jXEZFuw38,2021-04-26,28
h_jXEZFuw38,2021-04-27,28
h_jXEZFuw38,2021-04-28,48
h_jXEZFuw38,2021-04-29,33
h_jXEZFuw38,2021-04-30,28
h_jXEZFuw38,2021-05-01,26
h_jXEZFuw38,2021-05-02,39
h_jXEZFuw38,2021-05-03,29
h_jXEZFuw38,2021-05-04,66
h_jXEZFuw38,2021-05-05,72
h_jXEZFuw38,2021-05-06,51
h_jXEZFuw38,2021-05-07,68
h_jXEZFuw38,2021-05-08,52
h_jXEZFuw38,2021-05-09,58
h_jXEZFuw38,2021-05-10,33
h_jXEZFuw38,2021-05-11,44
h_jXEZFuw38,2021-05-12,27
h_jXEZFuw38,2021-05-13,40
